,food_web,node_name
0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trichoptera_larvae
1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Limoniidae_larvae
2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pipinculus sp_NA
3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trichoptera_larvae
4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Limoniidae_larvae
5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pipinculus sp_NA
6,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",Phlaeothripidae phyto_NA
7,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",Phlaeothripidae pred_NA
8,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",Phlaeothripidae_NA
9,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",Insecta_larvae
10,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",Limoniidae_larvae
11,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",Limoniidae_larvae
12,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",Pipinculus sp_NA
13,"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",Limoniidae_larvae
14,"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ",Limoniidae_larvae
15,Chesapeake Bay,Carcinus sp._adults
16,Chesapeake Bay,Portunus spinimanus_adults
17,Chesapeake Bay,Leiostomus xanthurus_juveniles
18,Chesapeake Bay,Plecoptera_larvae
19,Chesapeake Bay,Trichoptera_larvae
20,Carpinteria,Epipellic flora_adults
21,Carpinteria,Monanthocloe littoralis_adults
22,Alert,arthropods_NA
23,Bylot,arthropods_NA
24,Herschel,arthropods_NA
25,Nenetsky,arthropods_NA
26,Svalbard,arthropods_NA
27,Yamal,arthropods_NA
28,Zackenberg,arthropods_NA
29,Gearagh,Bacteria_NA
30,Iceland stream IS7 April 2009,Bacteria_NA
31,Iceland stream IS7 August 2008,Bacteria_NA
32,Iceland stream IS8  April 2009,Bacteria_NA
33,Iceland stream IS8 August 2008,Bacteria_NA
34,FloridaIslandE1,Lasioseius sp._NA
35,FloridaIslandE1,Poecilipa rhizophorae_NA
36,FloridaIslandE1,Lapisma sp._NA
37,FloridaIslandE1,Orgygia detrita_NA
38,FloridaIslandE3,Lasioseius sp._NA
39,FloridaIslandE3,Poecilipa rhizophorae_NA
40,FloridaIslandE3,Lapisma sp._NA
41,FloridaIslandE3,Orgygia detrita_NA
42,Kye Burn,Meiofauna_NA
