food web,node_name,filled_value
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trichoptera,other
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pipinculus sp,flying
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trichoptera,other
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pipinculus sp,flying
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",Phlaeothripidae phyto,flying
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",Phlaeothripidae pred,flying
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",Phlaeothripidae,flying
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",Insecta,other
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",Limoniidae,other
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",Limoniidae,other
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",Pipinculus sp,flying
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",Limoniidae,other
Chesapeake Bay,Carcinus sp.,walking
Chesapeake Bay,Portunus spinimanus,walking
Carpinteria,Epipellic flora,sessile
Carpinteria,Monanthocloe littoralis,sessile
Alert,arthropods,other
Bylot,arthropods,other
Herschel,arthropods,other
Nenetsky,arthropods,other
Svalbard,arthropods,other
Yamal,arthropods,other
Zackenberg,arthropods,other
Gearagh,Bacteria,other
Iceland stream IS7 April 2009,Bacteria,other
Iceland stream IS7 August 2008,Bacteria,other
Iceland stream IS8  April 2009,Bacteria,other
Iceland stream IS8 August 2008,Bacteria,other
FloridaIslandE1,Lasioseius sp.,walking
FloridaIslandE1,Poecilipa rhizophorae,walking
FloridaIslandE1,Lapisma sp.,walking
FloridaIslandE1,Orgygia detrita,flying
FloridaIslandE3,Lasioseius sp.,walking
FloridaIslandE3,Poecilipa rhizophorae,walking
FloridaIslandE3,Lapisma sp.,walking
FloridaIslandE3,Orgygia detrita,flying
Kye Burn,Meiofauna,floating
