,food_web,node_name
0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Oligochaeta
1,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",Oligochaeta
2,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",Oligochaeta
3,"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",Oligochaeta
4,"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ",Oligochaeta
5,Ythan Estuary,Diatoms
6,AEW01,amoebae
7,AEW01,bacteria
8,AEW01,flagellates
9,AEW01,ciliates
10,AEW01,saphrophytes
11,AEW01,mykorrhiza
12,AEW02,amoebae
13,AEW02,bacteria
14,AEW02,flagellates
15,AEW02,ciliates
16,AEW02,saphrophytes
17,AEW02,mykorrhiza
18,AEW03,amoebae
19,AEW03,bacteria
20,AEW03,flagellates
21,AEW03,ciliates
22,AEW03,saphrophytes
23,AEW03,mykorrhiza
24,AEW04,amoebae
25,AEW04,bacteria
26,AEW04,flagellates
27,AEW04,ciliates
28,AEW04,saphrophytes
29,AEW04,mykorrhiza
30,AEW05,amoebae
31,AEW05,bacteria
32,AEW05,flagellates
33,AEW05,ciliates
34,AEW05,saphrophytes
35,AEW05,mykorrhiza
36,AEW06,amoebae
37,AEW06,bacteria
38,AEW06,flagellates
39,AEW06,ciliates
40,AEW06,saphrophytes
41,AEW06,mykorrhiza
42,AEW07,amoebae
43,AEW07,bacteria
44,AEW07,flagellates
45,AEW07,ciliates
46,AEW07,saphrophytes
47,AEW07,mykorrhiza
48,AEW08,amoebae
49,AEW08,bacteria
50,AEW08,flagellates
51,AEW08,ciliates
52,AEW08,saphrophytes
53,AEW08,mykorrhiza
54,AEW09,amoebae
55,AEW09,bacteria
56,AEW09,flagellates
57,AEW09,ciliates
58,AEW09,saphrophytes
59,AEW09,mykorrhiza
60,AEW11,amoebae
61,AEW11,bacteria
62,AEW11,flagellates
63,AEW11,ciliates
64,AEW11,saphrophytes
65,AEW11,mykorrhiza
66,AEW17,amoebae
67,AEW17,bacteria
68,AEW17,flagellates
69,AEW17,ciliates
70,AEW17,saphrophytes
71,AEW17,mykorrhiza
72,AEW18,amoebae
73,AEW18,bacteria
74,AEW18,flagellates
75,AEW18,ciliates
76,AEW18,saphrophytes
77,AEW18,mykorrhiza
78,AEW25,amoebae
79,AEW25,bacteria
80,AEW25,flagellates
81,AEW25,ciliates
82,AEW25,saphrophytes
83,AEW25,mykorrhiza
84,AEW27,amoebae
85,AEW27,bacteria
86,AEW27,flagellates
87,AEW27,ciliates
88,AEW27,saphrophytes
89,AEW27,mykorrhiza
90,AEW30,amoebae
91,AEW30,bacteria
92,AEW30,flagellates
93,AEW30,ciliates
94,AEW30,saphrophytes
95,AEW30,mykorrhiza
96,AEW49,amoebae
97,AEW49,bacteria
98,AEW49,flagellates
99,AEW49,ciliates
100,AEW49,saphrophytes
101,AEW49,mykorrhiza
102,HEW01,amoebae
103,HEW01,bacteria
104,HEW01,flagellates
105,HEW01,ciliates
106,HEW01,saphrophytes
107,HEW01,mykorrhiza
108,HEW02,amoebae
109,HEW02,bacteria
110,HEW02,flagellates
111,HEW02,ciliates
112,HEW02,saphrophytes
113,HEW02,mykorrhiza
114,HEW03,amoebae
115,HEW03,bacteria
116,HEW03,flagellates
117,HEW03,ciliates
118,HEW03,saphrophytes
119,HEW03,mykorrhiza
120,HEW04,amoebae
121,HEW04,bacteria
122,HEW04,flagellates
123,HEW04,ciliates
124,HEW04,saphrophytes
125,HEW04,mykorrhiza
126,HEW05,amoebae
127,HEW05,bacteria
128,HEW05,flagellates
129,HEW05,ciliates
130,HEW05,saphrophytes
131,HEW05,mykorrhiza
132,HEW06,amoebae
133,HEW06,bacteria
134,HEW06,flagellates
135,HEW06,ciliates
136,HEW06,saphrophytes
137,HEW06,mykorrhiza
138,HEW10,amoebae
139,HEW10,bacteria
140,HEW10,flagellates
141,HEW10,ciliates
142,HEW10,saphrophytes
143,HEW10,mykorrhiza
144,HEW11,amoebae
145,HEW11,bacteria
146,HEW11,flagellates
147,HEW11,ciliates
148,HEW11,saphrophytes
149,HEW11,mykorrhiza
150,HEW12,amoebae
151,HEW12,bacteria
152,HEW12,flagellates
153,HEW12,ciliates
154,HEW12,saphrophytes
155,HEW12,mykorrhiza
156,HEW13,amoebae
157,HEW13,bacteria
158,HEW13,flagellates
159,HEW13,ciliates
160,HEW13,saphrophytes
161,HEW13,mykorrhiza
162,HEW16,amoebae
163,HEW16,bacteria
164,HEW16,flagellates
165,HEW16,ciliates
166,HEW16,saphrophytes
167,HEW16,mykorrhiza
168,HEW17,amoebae
169,HEW17,bacteria
170,HEW17,flagellates
171,HEW17,ciliates
172,HEW17,saphrophytes
173,HEW17,mykorrhiza
174,HEW21,amoebae
175,HEW21,bacteria
176,HEW21,flagellates
177,HEW21,ciliates
178,HEW21,saphrophytes
179,HEW21,mykorrhiza
180,HEW22,amoebae
181,HEW22,bacteria
182,HEW22,flagellates
183,HEW22,ciliates
184,HEW22,saphrophytes
185,HEW22,mykorrhiza
186,HEW36,amoebae
187,HEW36,bacteria
188,HEW36,flagellates
189,HEW36,ciliates
190,HEW36,saphrophytes
191,HEW36,mykorrhiza
192,HEW47,amoebae
193,HEW47,bacteria
194,HEW47,flagellates
195,HEW47,ciliates
196,HEW47,saphrophytes
197,HEW47,mykorrhiza
198,SEW01,amoebae
199,SEW01,bacteria
200,SEW01,flagellates
201,SEW01,ciliates
202,SEW01,saphrophytes
203,SEW01,mykorrhiza
204,SEW02,amoebae
205,SEW02,bacteria
206,SEW02,flagellates
207,SEW02,ciliates
208,SEW02,saphrophytes
209,SEW02,mykorrhiza
210,SEW03,amoebae
211,SEW03,bacteria
212,SEW03,flagellates
213,SEW03,ciliates
214,SEW03,saphrophytes
215,SEW03,mykorrhiza
216,SEW04,amoebae
217,SEW04,bacteria
218,SEW04,flagellates
219,SEW04,ciliates
220,SEW04,saphrophytes
221,SEW04,mykorrhiza
222,SEW05,amoebae
223,SEW05,bacteria
224,SEW05,flagellates
225,SEW05,ciliates
226,SEW05,saphrophytes
227,SEW05,mykorrhiza
228,SEW06,amoebae
229,SEW06,bacteria
230,SEW06,flagellates
231,SEW06,ciliates
232,SEW06,saphrophytes
233,SEW06,mykorrhiza
234,SEW07,amoebae
235,SEW07,bacteria
236,SEW07,flagellates
237,SEW07,ciliates
238,SEW07,saphrophytes
239,SEW07,mykorrhiza
240,SEW08,amoebae
241,SEW08,bacteria
242,SEW08,flagellates
243,SEW08,ciliates
244,SEW08,saphrophytes
245,SEW08,mykorrhiza
246,SEW09,amoebae
247,SEW09,bacteria
248,SEW09,flagellates
249,SEW09,ciliates
250,SEW09,saphrophytes
251,SEW09,mykorrhiza
252,SEW18,amoebae
253,SEW18,bacteria
254,SEW18,flagellates
255,SEW18,ciliates
256,SEW18,saphrophytes
257,SEW18,mykorrhiza
258,SEW35,amoebae
259,SEW35,bacteria
260,SEW35,flagellates
261,SEW35,ciliates
262,SEW35,saphrophytes
263,SEW35,mykorrhiza
264,SEW36,amoebae
265,SEW36,bacteria
266,SEW36,flagellates
267,SEW36,ciliates
268,SEW36,saphrophytes
269,SEW36,mykorrhiza
270,SEW37,amoebae
271,SEW37,bacteria
