,id,food.web,ecosystem.type,res.taxonomy,con.taxonomy,res.lifestage,con.lifestage,res.mass,con.mass,res.met,con.met,res.mov,con.mov,int.type,res.taxonomy.level,con.taxonomy.level
0,0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Emberiza schoeniclus,NA,NA,0.000163186,20.0,invertebrate,endotherm vertebrate,flying,flying,predacious,family+,species
1,1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Lycosidae,Emberiza schoeniclus,immature,NA,0.000279476,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,family+,species
2,2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pisaura mirabilis,Emberiza schoeniclus,immature,NA,0.000528551,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
3,3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Salticidae,Emberiza schoeniclus,immature,NA,0.000597642,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,family+,species
4,0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Emberiza schoeniclus,larvae,NA,0.000744173,20.0,invertebrate,endotherm vertebrate,swimming,flying,predacious,family+,species
5,4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Emberiza schoeniclus,NA,NA,0.000784039,20.0,invertebrate,endotherm vertebrate,flying,flying,predacious,family+,species
6,5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Marpissa radiata,Emberiza schoeniclus,immature,NA,0.00107092,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
7,6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Emberiza schoeniclus,larvae,NA,0.001226525,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,unclassified,species
8,7,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tetragnatha sp,Emberiza schoeniclus,immature,NA,0.001620198,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,genus,species
9,6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Emberiza schoeniclus,NA,NA,0.001825128,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,unclassified,species
10,4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Emberiza schoeniclus,larvae,NA,0.005315518,20.0,invertebrate,endotherm vertebrate,NA,flying,predacious,family+,species
11,7,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tetragnatha sp,Emberiza schoeniclus,NA,NA,0.005665511,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,genus,species
12,3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Salticidae,Emberiza schoeniclus,NA,NA,0.007980079,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,family+,species
13,1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Lycosidae,Emberiza schoeniclus,NA,NA,0.008049171,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,family+,species
14,8,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Neoscona adianta,Emberiza schoeniclus,immature,NA,0.021763853,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
15,8,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Neoscona adianta,Emberiza schoeniclus,NA,NA,0.03271487,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
16,5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Marpissa radiata,Emberiza schoeniclus,NA,NA,0.033993065,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
17,9,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ceratopogonidae,Conocephalus dorsalis,NA,NA,0.000141659,0.07568607,invertebrate,invertebrate,flying,walking,predacious,unclassified,species
18,10,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Conocephalus dorsalis,NA,NA,0.000163186,0.07568607,invertebrate,invertebrate,flying,walking,predacious,family+,species
19,2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pisaura mirabilis,Emberiza schoeniclus,NA,NA,0.069782511,20.0,invertebrate,endotherm vertebrate,walking,flying,predacious,species,species
20,11,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Conocephalus dorsalis,larvae,NA,0.000265776,0.07568607,invertebrate,invertebrate,swimming,walking,predacious,family+,species
21,12,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ceratopogonidae,Tettigoniidae,NA,larvae,0.000141659,0.030210826,invertebrate,invertebrate,flying,walking,predacious,unclassified,family+
22,13,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Neoscona adianta,NA,NA,0.000163186,0.03271487,invertebrate,invertebrate,flying,walking,predacious,family+,species
23,14,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Tettigoniidae,NA,larvae,0.000163186,0.030210826,invertebrate,invertebrate,flying,walking,predacious,family+,family+
24,13,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Neoscona adianta,NA,juveniles,0.000163186,0.021763853,invertebrate,invertebrate,flying,walking,predacious,family+,species
25,15,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Lepidoptera,Neoscona adianta,NA,NA,0.000250873,0.03271487,invertebrate,invertebrate,flying,walking,predacious,unclassified,species
26,16,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Cloeon simile,Pisaura mirabilis,NA,NA,0.000589844,0.069782511,invertebrate,invertebrate,flying,walking,predacious,species,species
27,17,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Tettigoniidae,adults,NA,0.000265776,0.030210826,invertebrate,invertebrate,flying,walking,predacious,family+,family+
28,10,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Conocephalus dorsalis,larvae,NA,0.000744173,0.07568607,invertebrate,invertebrate,swimming,walking,predacious,family+,species
