,0
Vulpes vulpes,species
Tipulidae,family+
Emberiza schoeniclus,species
Coleoptera,unclassified
Araneidae,family+
Tettigoniidae,family+
Chironomidae,family+
Acrididae,family+
Stilicus rufipes,species
Trogophloeus corticinus,species
Lepidoptera,unclassified
Lycosidae,family+
Conocephalus dorsalis,species
Liocranidae,family+
Aphtona lutescens,species
Hypostenus sp,genus
Pisaura mirabilis,species
Cloeon simile,species
Tetramesa sp,genus
Salticidae,family+
Delphacidae,family+
Meligethes sp,genus
Jassidae,family+
Brachycera,unclassified
Rhagionidae,family+
Limoniidae,family+
Chrysopidae,family+
Tetrastichus sp,genus
Haemopis sanguisuga,species
Platystethus nodifrons,species
Carabidae,family+
Anacaena limbata,species
Gabrius fermoralis,species
Xysticus sp,genus
Trichoniscidae,family+
Marpissa radiata,species
Heteroptera,unclassified
Chaetocnema confusa,species
Lesteva sicula,species
Tetramorium sp,genus
Limacidae,family+
Pelochares versicolor,species
Diplocampa assimile,species
Tetragnatha sp,genus
Trichoptera,unclassified
Tetartopeus terminatum,species
Pentatomidae,family+
Argiope bruennichi,species
Zelotes sp,genus
Ilione lineata,species
Sitticus sp,genus
Trypoxylon attenuatum,species
Ceratopogonidae,family+
Clubiona sp,genus
Pteronemobius heydenii,species
Propylaea quatuordecimpunctata,species
Staphylinidae,family+
Ligidium hypnorum,species
Falco subbuteo,species
Chartoscirta cincta,species
Pirata sp,genus
Dryops auriculatus,species
Limnia paludicola,species
Pachybrachius sp,species
Paederus riparius,species
Zora spinimana,species
Pachygnatha sp,genus
Somatochlora flavomaculata,species
Hybotidae,family+
Somatochlora sp,genus
Chrysomelidae,family+
Larinioides sp,genus
Dolomedes sp,genus
Ichneumonidae,family+
Tibellus sp,genus
Sympetrum sp,genus
Pirata latitans,species
Pirata tenuitarsis,species
Trochosa sp,genus
Anisoptera,unclassified
Tetanocera ferruginea,species
Cicadella viridis,species
Araneae,unclassified
Opilionida,unclassified
Limnobaris dolorosa,species
Arctosa sp,genus
Aphidoidea,unclassified
Ilione albiseta,species
Pardosa prativaga,species
Pardosa sp,genus
Pterostichus sp,genus
Zygoptera,unclassified
Pirata piscatorius,species
Sciaridae,family+
Stratiomyidae,family+
Tibellus maritimus,species
Coenagrion pulchellum,species
Chrysotus cilipes,species
Psychodidae,family+
Teuchophorus calcaratus,species
Pherbina coryleti,species
Cantharis fulvicollis,species
Neoscona adianta,species
Armadillidium vulgare,species
Oedemera nobilis,species
Coenagrion sp,genus
Drosophilidae,family+
Tetragnatha extensa,species
Agonum viduum,species
Euconulus alderi,species
Pipinculus sp,genus
Natrix natrix,species
Apis mellifera L.,species
Argyra vestita,species
Ephydridae,family+
Trachelipus rathkei,species
Capreolus capreolus,species
Calliphoridae,family+
Muscidae copro,species
Muscidae flor,species
Larinioides cornutus,species
Fulgoroidea,unclassified
Chloropidae,family+
Helicidae,family+
Herina parva,species
Cicadina,unclassified
Herina frondescentiae,species
Hercostomus assimilis,species
Microtus agrestis,species
Hebrus pusillus,species
Entomobryomorpha,unclassified
Poduromorpha,genus
Sminthuridae,family+
Acari phyto,species
Acari pred,species
Dolichopus nubilius,species
Oxyloma elegans,species
Trichia sericea,species
Succinea putris,species
Proctotrupoidea,unclassified
Tetragnathidae,family+
Edaphus blŸhweissi,species
Erichsonius cinerascens,species
Brachygluta sp,genus
Lathrobium fovalum,species
Anotylus sp,genus
Bryaxis sp,genus
Gnathonarium dentatum,species
Theridion sp,genus
Theridiidae,family+
Antistea elegans,species
Bathyphantes gracilis,species
Thomisidae,family+
Chrysotoxum sp,genus
Walckenaeria nudipalpis,species
Gongylidiellum murcidum,species
Linyphiidae,family+
Lepthyphantes tenuis,species
Silometopus elegans,species
Valvata sp,genus
Vertigo antivertigo,species
Vertigo pygmaea,species
Vertigo moulinsiana,species
Tetrix sp,genus
Lithobius piceus,species
Mangora acalypha,species
Aleocharinae,family+
Hypocyphtus discoideus,species
Thanatus sp,genus
Eupterygini,unclassified
Philodromidae,family+
Hemistenus flavipes,species
Culex sp,genus
Parastenus sp,genus
Oligochaeta,family+
Triturus sp,genus
Caelifera,unclassified
Myrmarachne formicaria ,species
Lithobius sp,genus
Robertus sp,genus
Blattodea,unclassified
Staphylininae,family+
Evarcha sp,genus
Robertus insignis,species
Rana temporaria temporaria,species
Thripomorpha verralli,species
Sympetrum striolatum,species
Hyla arborea arborea,species
Jassinae,family+
Stethophyma grossum,species
Pirata piraticus,species
Psacadina zernyi,species
Tachinidae,family+
Demetrias imperialis,species
Phoridae,family+
Aeshnidae,family+
Orthetrum sp,genus
Sympetrum sanguineum,species
Haematopota sp,genus
Ootetrastichus sp,genus
Hylaeus sp,genus
Sympetrum vulgatum,species
Chrysops relictus,species
Pherbellia schoenherri,species
Tipula sp,genus
Mycetophilidae,family+
Campsicnemus scambus,species
Trigonometopus frontalis,species
Empididae,family+
Dolichopus nitidus,species
Araneus diadematus,species
Platycheirus sp,genus
Hebrus ruficeps,species
Cochlicopa nitens,species
Zonitoides nitidus,species
Zora sp,genus
Euconnus hirticollis,species
Hahnia pusilla,species
Erigone atra,species
Chaetarthria seminulum,species
Cepaea hortensis,species
Microlinyphia impigra,species
Vallonia costata,species
Anguis fragilis,species
Callitula ferrierei,species
Deltocephalinae,family+
Cicadoidea,unclassified
Philodromus sp,genus
Phlaeothripidae phyto,species
Phlaeothripidae pred,family+
Nestus carbonarius,species
Saltatoria,unclassified
Marpissa sp,genus
Platystethus sp,genus
Nemotelus pantherinus,species
Agelenidae,family+
Rhopalum sp,genus
Theridion pictum,species
Cecidomyiidae,family+
Delphacinae,family+
Aeshna sp,genus
Nabidae,family+
Libellula depressa,species
Libellulidae,family+
Tetragnatha pinicola,species
Leptoceridae,family+
Theridion impressum,species
Mythimna straminea,species
Enochrus testaceus,species
Lema melanopus,species
