multi_edge_id,autoID,link.citation,link.methodology,interaction.type,interaction.dimensionality,interaction.classification,con.taxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,con.mass.mean.g.,con.mass.max.g.,res.taxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,res.mass.mean.g.,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodweb.name
11,5229,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
11,5230,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
12,5450,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Tibellus sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.022005673,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
12,5451,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Tibellus sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.022005673,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
13,5477,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Arctosa sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.015891067,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
13,5478,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Arctosa sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.015891067,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
14,5492,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Lycosidae,family,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.012851037,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
14,5493,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Lycosidae,family,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.012851037,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
15,5505,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,nibi,Larinioides sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.01126193,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
15,5506,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,nibi,Larinioides sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.01126193,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
16,5507,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Pirata piraticus,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.011227384,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
16,5508,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Pirata piraticus,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.011227384,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
17,5513,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Araneae,NA,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.010881926,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
17,5514,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Araneae,NA,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.010881926,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
18,5516,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Pisaura mirabilis,species,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.010709197,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
18,5517,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Pisaura mirabilis,species,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.010709197,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
19,5547,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Salticidae,family,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.007980079,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
19,5548,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Salticidae,family,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.007980079,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
20,5606,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Staphylinidae,family,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.004707429,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
20,5607,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Staphylinidae,family,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.004707429,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
21,5679,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Paederus riparius,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.002454292,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
21,5680,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Paederus riparius,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.002454292,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
22,5697,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Clubiona juvenis,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.002062384,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
22,5698,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Clubiona juvenis,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.002062384,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
24,5756,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Thomisidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.001381832,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
24,5757,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Thomisidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.001381832,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
25,5834,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Thanatus sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000690916,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
25,5835,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Thanatus sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000690916,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
26,5836,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Theridiidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000690916,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
26,5837,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Theridiidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000690916,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
27,5875,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Hypostenus latifrons,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000490858,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
27,5876,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Hypostenus latifrons,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000490858,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
28,5905,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,nibi,Mangora acalypha,species,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000345458,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
28,5906,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,nibi,Mangora acalypha,species,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000345458,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
29,5907,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,ibi,Tetragnatha sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000345458,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
29,5908,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,ibi,Tetragnatha sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000345458,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
30,5931,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Stilicus rufipes,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000245429,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
30,5932,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Stilicus rufipes,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000245429,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
31,5980,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Theridion sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,9.64E-05,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
31,5981,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Theridion sp,genus,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,9.64E-05,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
32,6026,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Araneidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,3.45E-05,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
32,6027,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,nibi,Araneidae,family,NA,juveniles,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,3.45E-05,-999,Phlaeothripidae,family,NA,NA,invertebrate,NA,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000589844,-999,"Switzerland, Lake Neuchatel",6.98683,46.94191,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2"
33,6853,Cattin Blandenier (2004),published account internet field natural history,parasitic,2D,ibi,Ceratopogonidae,NA,NA,NA,invertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.00014219,-999,Lacerta agilis,species,NA,NA,ectotherm vertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,10,-999,"Switzerland, Lake Neuchatel",6.98483,46.94044,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 "
