,id,food.web,ecosystem.type,res.taxonomy,con.taxonomy,res.lifestage,con.lifestage,res.mass,con.mass,res.met,con.met,res.mov,con.mov,int.type,res.taxonomy.level,con.taxonomy.level
0,0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Tettigoniidae_NA,adults,NA,0.000265776,0.030210826,invertebrate,invertebrate,flying,walking,predacious,family+,family+
1,0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Tettigoniidae_NA,adults,NA,0.000744173,0.030210826,invertebrate,invertebrate,flying,walking,predacious,family+,family+
2,1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Dolichopus nubilius_NA,adults,NA,0.000265776,0.003720863,invertebrate,invertebrate,flying,flying,predacious,family+,species
3,2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Hercostomus assimilis_NA,adults,NA,0.000265776,0.001594655,invertebrate,invertebrate,flying,flying,predacious,family+,species
4,1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Dolichopus nubilius_NA,adults,NA,0.000744173,0.003720863,invertebrate,invertebrate,flying,flying,predacious,family+,species
5,3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Argyra vestita_NA,adults,NA,0.000265776,0.000797328,invertebrate,invertebrate,flying,flying,predacious,family+,species
6,2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Hercostomus assimilis_NA,adults,NA,0.000744173,0.001594655,invertebrate,invertebrate,flying,flying,predacious,family+,species
7,4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Antistea elegans_NA,adults,NA,0.000744173,0.00131965,invertebrate,invertebrate,flying,walking,predacious,family+,species
8,3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Argyra vestita_NA,adults,NA,0.000744173,0.000797328,invertebrate,invertebrate,flying,flying,predacious,family+,species
9,5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Chrysotus cilipes_NA,adults,NA,0.000265776,0.000265776,invertebrate,invertebrate,flying,flying,predacious,family+,species
10,6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Teuchophorus calcaratus_NA,adults,NA,0.000265776,0.000265776,invertebrate,invertebrate,flying,flying,predacious,family+,species
11,4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Antistea elegans_NA,adults,NA,0.000744173,0.000722007,invertebrate,invertebrate,flying,walking,predacious,family+,species
12,5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Chrysotus cilipes_NA,adults,NA,0.000744173,0.000265776,invertebrate,invertebrate,flying,flying,predacious,family+,species
13,6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae_adults,Teuchophorus calcaratus_NA,adults,NA,0.000744173,0.000265776,invertebrate,invertebrate,flying,flying,predacious,family+,species
