,0
Vulpes vulpes_NA,unclassified
Tipulidae_larvae,family+
Emberiza schoeniclus_NA,species
Coleoptera_larvae,unclassified
Araneidae_immature,family+
Tettigoniidae_larvae,family+
Chironomidae_NA,family+
Acrididae_larvae,family+
Stilicus rufipes_NA,species
Trogophloeus corticinus_NA,species
Lepidoptera_NA,unclassified
Lycosidae_immature,family+
Conocephalus dorsalis_NA,species
Liocranidae_immature,family+
Aphtona lutescens_NA,species
Hypostenus sp_NA,genus
Pisaura mirabilis_immature,species
Cloeon simile_NA,species
Tetramesa sp_NA,genus
Salticidae_immature,family+
Delphacidae_larvae,family+
Meligethes sp_NA,genus
Jassidae_larvae,family+
Brachycera_larvae,unclassified
Chironomidae_larvae,family+
Rhagionidae_larvae,family+
Limoniidae_NA,family+
Chrysopidae_larvae,family+
Tetrastichus sp_NA,genus
Haemopis sanguisuga_NA,species
Platystethus nodifrons_NA,species
Carabidae_larvae,family+
Anacaena limbata_NA,species
Gabrius fermoralis_NA,species
Xysticus sp_immature,genus
Trichoniscidae_NA,family+
Marpissa radiata_immature,species
Heteroptera_larvae,unclassified
Chaetocnema confusa_NA,species
Lesteva sicula_NA,species
Tetramorium sp_NA,genus
Limacidae_NA,family+
Pelochares versicolor_NA,species
Diplocampa assimile_NA,species
Tetragnatha sp_immature,genus
Heteroptera_NA,unclassified
Trichoptera_larvae,unclassified
Tetartopeus terminatum_NA,species
Pentatomidae_larvae,family+
Argiope bruennichi_immature,species
Zelotes sp_immature,genus
Ilione lineata_NA,species
Sitticus sp_immature,genus
Trypoxylon attenuatum_NA,species
Ceratopogonidae_larvae,family+
Clubiona sp_immature,genus
Pteronemobius heydenii_NA,species
Propylaea quatuordecimpunctata_NA,species
Staphylinidae_larvae,family+
Ligidium hypnorum_larvae,species
Falco subbuteo_NA,species
Chartoscirta cincta_NA,species
Pirata sp_immature,genus
Dryops auriculatus_NA,species
Limnia paludicola_NA,species
Pachybrachius sp_NA,species
Paederus riparius_NA,species
Zora spinimana_NA,species
Limoniidae_larvae,family+
Pachygnatha sp_immature,genus
Somatochlora flavomaculata_NA,species
Hybotidae_NA,family+
Somatochlora sp_NA,genus
Chrysomelidae_NA,family+
Tetragnatha sp_NA,genus
Larinioides sp_immature,genus
Dolomedes sp_immature,genus
Ichneumonidae_NA,family+
Tibellus sp_immature,genus
Sympetrum sp_NA,genus
Pirata latitans_NA,species
Pirata tenuitarsis_NA,species
Trochosa sp_immature,genus
Anisoptera_NA,unclassified
Salticidae_NA,family+
Lycosidae_NA,family+
Ceratopogonidae_NA,unclassified
Tetanocera ferruginea_NA,species
Cicadella viridis_NA,species
Araneae_NA,unclassified
Opilionida_NA,unclassified
Limnobaris dolorosa_NA,species
Arctosa sp_immature,genus
Aphidoidea_NA,unclassified
Ilione albiseta_NA,species
Pardosa prativaga_NA,species
Pardosa sp_NA,genus
Pterostichus sp_NA,genus
Zygoptera_NA,unclassified
Pirata piscatorius_NA,species
Sciaridae_NA,family+
Stratiomyidae_larvae,family+
Tibellus maritimus_NA,species
Coenagrion pulchellum_NA,species
Chrysotus cilipes_NA,species
Psychodidae_adults,family+
Teuchophorus calcaratus_NA,species
Pherbina coryleti_NA,species
Cantharis fulvicollis_NA,species
Neoscona adianta_immature,species
Armadillidium vulgare_NA,species
Oedemera nobilis_NA,species
Coenagrion sp_NA,genus
Neoscona adianta_NA,species
Drosophilidae_NA,family+
Marpissa radiata_NA,species
Tetragnatha extensa_NA,species
Agonum viduum_NA,species
Euconulus alderi_NA,species
Pipinculus sp_NA,genus
Natrix natrix_NA,species
Apis mellifera L._NA,species
Argyra vestita_NA,species
Ephydridae_NA,family+
Trachelipus rathkei_NA,species
Capreolus capreolus_NA,species
Calliphoridae_NA,family+
Pisaura mirabilis_NA,species
Psychodidae_larvae,family+
Muscidae copro_NA,species
Muscidae flor_NA,species
Larinioides cornutus_NA,species
Fulgoroidea_larvae,unclassified
Chloropidae_NA,family+
Helicidae_NA,family+
Herina parva_NA,species
Cicadina_larvae,unclassified
Herina frondescentiae_NA,species
Hercostomus assimilis_NA,species
Microtus agrestis_NA,species
Neoscona adianta_juveniles,species
Hebrus pusillus_NA,species
Entomobryomorpha_NA,unclassified
Poduromorpha_NA,genus
Sminthuridae_NA,family+
Tettigoniidae_NA,family+
Acari phyto_NA,species
Acari pred_NA,species
Dolichopus nubilius_NA,species
Oxyloma elegans_NA,species
Trichia sericea_NA,species
Succinea putris_NA,species
Proctotrupoidea_NA,unclassified
Argiope bruennichi_juveniles,species
Tetragnathidae_immature,family+
Edaphus blŸhweissi_NA,species
Erichsonius cinerascens_NA,species
Brachygluta sp_NA,genus
Arctosa sp_juveniles,genus
Tibellus sp_juveniles,genus
Clubiona sp_juveniles,genus
Dolomedes sp_juveniles,genus
Lathrobium fovalum_NA,species
Larinioides sp_juveniles,genus
Anotylus sp_NA,genus
Bryaxis sp_NA,genus
Sitticus sp_juveniles,genus
Trochosa sp_juveniles,genus
Pachygnatha sp_juveniles,genus
Pirata sp_juveniles,genus
Gnathonarium dentatum_NA,species
Theridion sp_juveniles,genus
Theridiidae_immature,family+
Marpissa radiata_juveniles,species
Clubiona sp_NA,genus
Antistea elegans_NA,species
Xysticus sp_juveniles,genus
Bathyphantes gracilis_NA,species
Thomisidae_immature,family+
Antistea elegans_juveniles,species
Sitticus sp_NA,genus
Chrysotoxum sp_NA,genus
Zelotes sp_juveniles,genus
Walckenaeria nudipalpis_NA,species
Gongylidiellum murcidum_NA,species
Linyphiidae_juveniles,family+
Argiope bruennichi_NA,species
Salticidae_juveniles,family+
Lepthyphantes tenuis_NA,species
Tetragnatha sp_juveniles,genus
Linyphiidae_immature,family+
Liocranidae_juveniles,family+
Thomisidae_juveniles,family+
Antistea elegans_immature,species
Staphylinidae_NA,family+
Silometopus elegans_NA,species
Lycosidae_juveniles,family+
Xysticus sp_NA,genus
Theridion sp_NA,genus
Pisaura mirabilis_juveniles,species
Araneidae_juveniles,family+
Thomisidae_NA,family+
Theridion sp_immature,genus
Theridiidae_juveniles,family+
Liocranidae_NA,family+
Araneidae_NA,family+
Valvata sp_NA,genus
Vertigo antivertigo_NA,species
Theridiidae_NA,family+
Vertigo pygmaea_NA,species
Vertigo moulinsiana_NA,species
Tetrix sp_NA,genus
Lithobius piceus_NA,species
Mangora acalypha_immature,species
Aleocharinae_NA,family+
Hypocyphtus discoideus_NA,species
Thanatus sp_immature,genus
Eupterygini_NA,unclassified
Philodromidae_immature,family+
Hemistenus flavipes_NA,species
Culex sp_NA,genus
Parastenus sp_NA,genus
Oligochaeta_NA,unclassified
Triturus sp_NA,genus
Caelifera_NA,unclassified
Myrmarachne formicaria _immature,species
Pardosa sp_immature,genus
Lithobius sp_larvae,genus
Robertus sp_immature,genus
Blattodea_larvae,unclassified
Staphylininae_NA,family+
Evarcha sp_immature,genus
Lithobius sp_NA,genus
Robertus insignis_NA,species
Rana temporaria temporaria_NA,species
Thripomorpha verralli_NA,species
Sympetrum striolatum_NA,species
Hyla arborea arborea_NA,species
Jassinae_NA,family+
Stethophyma grossum_NA,species
Pirata piraticus_NA,species
Psacadina zernyi_NA,species
Tachinidae_NA,family+
Demetrias imperialis_NA,species
Phoridae_NA,family+
Aeshnidae_NA,family+
Orthetrum sp_NA,genus
Sympetrum sanguineum_NA,species
Haematopota sp_NA,genus
Ootetrastichus sp_NA,genus
Hylaeus sp_NA,genus
Sympetrum vulgatum_NA,species
Chrysops relictus_NA,species
Pherbellia schoenherri_NA,species
Tipula sp_NA,genus
Mycetophilidae_NA,family+
Campsicnemus scambus_NA,species
Trigonometopus frontalis_NA,species
Empididae_NA,family+
Dolichopus nitidus_NA,species
Araneus diadematus_NA,species
Platycheirus sp_NA,genus
Hebrus ruficeps_NA,species
Cochlicopa nitens_NA,species
Zonitoides nitidus_NA,species
Zora sp_immature,genus
Evarcha sp_juveniles,genus
Robertus sp_juveniles,genus
Euconnus hirticollis_NA,species
Pardosa sp_juveniles,genus
Hahnia pusilla_NA,species
Evarcha sp_NA,genus
Erigone atra_NA,species
Chaetarthria seminulum_NA,species
Cepaea hortensis_NA,species
Microlinyphia impigra_NA,species
Philodromidae_juveniles,family+
Philodromidae_NA,family+
Thanatus sp_juveniles,genus
Thanatus sp_NA,genus
Mangora acalypha_juveniles,species
Vallonia costata_NA,species
Robertus sp_NA,genus
Mangora acalypha_NA,species
Linyphiidae_NA,family+
Zora sp_juveniles,genus
Zora sp_NA,genus
Anguis fragilis_NA,species
Callitula ferrierei_NA,species
Deltocephalinae_larvae,family+
Cicadoidea_larvae,unclassified
Philodromus sp_immature,genus
Phlaeothripidae phyto_NA,species
Phlaeothripidae pred_NA,family+
Fulgoroidea_NA,unclassified
Nestus carbonarius_NA,species
Saltatoria_NA,unclassified
Marpissa sp_immature,genus
Platystethus sp_NA,genus
Nemotelus pantherinus_NA,species
Agelenidae_immature,family+
Rhopalum sp_NA,genus
Aphidoidea_larvae,unclassified
Theridion pictum_NA,species
Cecidomyiidae_NA,family+
Delphacinae_larvae,family+
Aeshna sp_NA,genus
Nabidae_larvae,family+
Libellula depressa_NA,species
Libellulidae_NA,family+
Tetragnatha pinicola_NA,species
Leptoceridae_NA,family+
Theridion impressum_NA,species
Mythimna straminea_NA,species
Enochrus testaceus_NA,species
Lema melanopus_NA,species
Agriotes sp_NA,genus
Swammerdamella brevicornis_NA,species
Agonum thoreyi_NA,species
Sepedon spinipes_NA,species
Lepidoptera_larvae,unclassified
Sternorrhyncha_larvae,unclassified
Tibellus sp_NA,genus
Sarcophagidae_NA,family+
Clubiona stagnatilis_NA,species
Sphaerocidae_NA,family+
Cicadoidea_NA,unclassified
Rhinophoridae_NA,family+
Oxychilus cellarius_NA,species
Dolomedes fimbriatus_NA,species
Stagnicola corvus_NA,species
Oxyloma elegans_immature,species
Planorbis planorbis_NA,species
Thripidae_adults,family+
Episyrphus balteatus_NA,species
Thripidae_NA,family+
Haplothrips sp_NA,genus
