id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -2.0342887372470733 0
1 1 0 0 0 0 1 0 0 0 -1.717541508991926 0
2 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
3 1 0 0 0 0 1 0 0 0 -0.7160086198236506 0
4 1 0 0 0 0 1 0 0 0 -1.1806464258583222 0
5 1 0 0 0 0 1 0 0 0 -1.0621838360812237 0
6 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
7 1 0 0 0 0 1 0 0 0 -1.9023908148246684 0
8 1 0 0 0 0 1 0 0 0 -2.6572700658415185 0
9 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
10 1 0 0 0 0 1 0 0 0 -2.913335202351533 0
11 1 0 0 0 0 1 0 0 0 -2.1530501114173894 0
12 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
13 1 0 0 0 0 1 0 0 0 -0.9551638289685428 0
14 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
15 1 0 0 0 0 1 0 0 0 -2.3147999000753234 0
16 1 0 0 0 0 1 0 0 0 -2.084806490477311 0
17 1 0 0 0 0 1 0 0 0 -3.0913043189736684 0
18 1 0 0 0 0 1 0 0 0 -2.0030303711944484 0
19 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
20 1 0 0 0 0 1 0 0 0 -2.878591512309745 0
21 1 0 0 0 0 1 0 0 0 -2.304265613143428 0
22 1 0 0 0 0 1 0 0 0 -3.6390054185493352 0
23 1 0 0 0 0 1 0 0 0 -3.8040146036420306 0
24 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
25 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
26 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
27 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
28 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
29 1 0 0 0 0 1 0 0 0 -2.689459620216993 0
30 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
31 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
32 1 0 0 0 0 1 0 0 0 -2.9341447842582076 0
33 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
34 1 0 0 0 0 1 0 0 0 -2.9351307489774587 0
35 1 0 0 0 0 1 0 0 0 -2.392291122760822 0
36 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
37 1 0 0 0 0 1 0 0 0 -5.308034897232639 0
38 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
39 1 0 0 0 0 1 0 0 0 -3.1442785841060914 0
40 1 0 0 0 0 1 0 0 0 -4.447331783887806 0
41 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
42 1 0 0 0 0 1 0 0 0 -2.9133352023515333 0
43 1 0 0 0 0 1 0 0 0 -0.6954682743692796 0
44 1 0 0 0 0 1 0 0 0 -1.5814254874887168 0
45 1 0 0 0 0 1 0 0 0 -2.813708321529019 0
46 1 0 0 0 0 1 0 0 0 -2.398241296378829 0
47 1 0 0 0 0 1 0 0 0 -1.0328495331999075 1
48 1 0 0 0 0 1 0 0 0 -4.11690664142431 0
49 1 0 0 0 0 1 0 0 0 -4.354577730650908 0
50 1 0 0 0 0 1 0 0 0 -3.7518623707880274 0
51 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
52 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
53 1 0 0 0 0 1 0 0 0 -6.133122185662501 0
54 1 0 0 0 0 1 0 0 0 -4.3851027839668655 0
55 1 0 0 0 0 1 0 0 0 -4.484126156288321 0
56 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
57 1 0 0 0 0 1 0 0 0 -4.154901959985743 0
58 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
59 1 0 0 0 0 1 0 0 0 -4.505845405981558 0
60 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
61 1 0 0 0 0 1 0 0 0 -4.634512015109101 0
