id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 1 0 -9.636388020107855 0
1 1 0 0 0 1 0 0 0 -3.6064458539430473 0
2 1 0 0 0 1 0 0 0 -2.8398887757643156 0
3 1 0 0 0 1 0 0 0 -4.035269078946371 0
4 1 0 0 0 1 0 0 0 -3.4076710995789874 0
5 1 0 0 0 1 0 0 0 -3.3009023318519626 0
6 1 0 0 0 1 0 0 0 -3.173586968264496 0
7 1 0 0 0 1 0 0 0 -4.5638373529592435 0
8 1 0 0 0 1 0 0 0 -3.88089924359812 0
9 0 0 1 0 0 0 1 0 -9.739928612014925 0
10 0 0 0 1 0 0 0 1 0.1474534696761977 0
11 0 1 0 0 0 1 0 0 -9.739928612014925 1
12 1 0 0 0 1 0 0 0 -3.117259222436984 0
13 1 0 0 0 1 0 0 0 -3.1232402071147067 0
14 1 0 0 0 1 0 0 0 -3.165489013146363 0
15 0 0 1 0 0 0 1 0 -9.471083299722345 0
16 0 0 1 0 0 0 1 0 -9.512861624522813 0
17 0 0 1 0 0 0 1 0 -9.149353764816933 0
18 0 1 0 0 0 1 0 0 -9.739928612014925 1
19 0 0 1 0 0 0 1 0 -9.051098239029786 0
20 0 0 1 0 0 0 1 0 -7.749579997691106 0
21 0 0 1 0 0 0 1 0 -9.0 0
