id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_walking mov_sessile mov_flying mov_other log_mass mass_missing
0 1 0 0 0 0 1 0 2.708845638048179 0
1 1 0 0 0 0 1 0 3.0453229787866576 0
2 1 0 0 1 0 0 0 3.4771212547196626 0
3 1 0 0 1 0 0 0 4.778151250383644 0
4 1 0 0 1 0 0 0 5.3692158574101425 0
5 1 0 0 1 0 0 0 5.0 0
6 0 0 1 0 0 0 1 -2.6989700043360187 0
7 1 0 0 0 0 1 0 2.4742162640762553 0
8 1 0 0 0 0 1 0 1.5314789170422551 0
9 1 0 0 0 0 1 0 2.0028137792246734 0
10 1 0 0 0 0 1 0 3.1055101847699738 0
11 0 1 0 0 1 0 0 -2.6989700043360187 1
12 1 0 0 1 0 0 0 1.6434526764861874 0
13 0 1 0 0 1 0 0 -2.6989700043360187 1
14 0 1 0 0 1 0 0 -2.6989700043360187 1
15 0 1 0 0 1 0 0 -2.6989700043360187 1
