id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 0 0 1 0 0 1 0 -2.0
2 1 0 0 0 0 0 1 -2.0
3 1 0 0 0 0 0 1 -2.0
4 1 0 0 0 0 0 1 -2.0
5 1 0 0 0 0 0 1 -2.0
6 1 0 0 0 0 0 1 0.8169038393756602
7 1 0 0 0 0 0 1 -2.0
8 1 0 0 0 0 0 1 -2.0
9 0 1 0 1 0 0 0 -3.642065152999546
10 1 0 0 1 0 0 0 -2.0
11 0 1 0 1 0 0 0 -3.642065152999546
12 1 0 0 1 0 0 0 -1.3979400086720375
13 1 0 0 1 0 0 0 1.0561422620590524
14 0 1 0 1 0 0 0 -3.642065152999546
15 1 0 0 1 0 0 0 -2.0
16 0 1 0 1 0 0 0 -3.642065152999546
17 1 0 0 1 0 0 0 -1.0969100130080565
18 1 0 0 0 0 0 1 -2.0
19 0 1 0 1 0 0 0 -3.642065152999546
20 0 1 0 0 1 0 0 -4.0
21 1 0 0 1 0 0 0 -2.0
22 1 0 0 0 0 1 0 -3.0
23 1 0 0 0 0 0 1 -2.0
24 0 1 0 1 0 0 0 -3.642065152999546
25 0 1 0 1 0 0 0 -3.642065152999546
26 1 0 0 1 0 0 0 0.9395192526186185
27 1 0 0 1 0 0 0 -2.0
