id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 1 -2.0
2 1 0 0 0 0 1 -2.0
3 1 0 0 0 0 1 -0.4814860601221125
4 1 0 0 0 1 0 -2.0
5 1 0 0 0 0 1 -2.0
6 0 1 1 0 0 0 -3.642065152999546
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 1 0 0 0 -3.642065152999546
9 1 0 1 0 0 0 -1.6989700043360187
10 1 0 0 0 0 1 0.8208579894396999
11 0 1 0 1 0 0 -4.0
12 1 0 0 0 1 0 -3.0
13 1 0 1 0 0 0 -2.0
14 1 0 1 0 0 0 -0.13076828026902382
15 1 0 0 0 1 0 -3.0
16 0 1 1 0 0 0 -3.642065152999546
17 1 0 1 0 0 0 -0.7958800173440752
18 0 1 1 0 0 0 -3.642065152999546
19 1 0 1 0 0 0 -2.0
20 1 0 0 0 0 1 -2.0
21 1 0 0 0 0 1 -2.0
