id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.0 0
3 0 0 1 0 1 0 0 -4.841637507904751 0
4 0 0 1 0 1 0 0 -4.166215625343521 0
5 0 0 1 0 1 0 0 -5.133712660915805 0
6 1 0 0 0 1 0 0 0.7781512503836436 0
7 1 0 0 0 1 0 0 0.6989700043360189 0
8 1 0 0 0 1 0 0 -1.795880017344075 0
9 0 0 1 0 1 0 0 -5.809668301829708 0
10 0 0 1 0 1 0 0 -4.649751981665837 0
11 0 0 1 0 1 0 0 -5.0 0
12 0 0 1 0 1 0 0 -5.164309428507575 0
13 0 0 0 1 0 0 1 -10.438898616350944 0
14 1 0 0 0 1 0 0 2.290034611362518 0
15 1 0 0 0 1 0 0 2.0211892990699383 0
16 1 0 0 0 1 0 0 1.9777236052888478 0
17 1 0 0 0 1 0 0 3.3010299956639813 0
18 0 0 0 1 0 0 1 -10.8153085691824 0
19 0 0 0 1 0 0 1 -9.0 0
20 0 0 0 1 0 0 1 -9.116338564846382 0
21 0 0 1 0 1 0 0 -4.493494967595128 0
22 0 0 1 0 1 0 0 -6.497572880015567 0
23 0 0 0 1 0 0 1 -10.08460016478773 0
24 0 0 0 1 0 0 1 -10.323306390375134 0
25 0 0 1 0 1 0 0 -4.396855627379818 0
26 0 0 1 0 1 0 0 -6.068033885271827 0
27 0 0 1 0 1 0 0 -7.698970004336019 0
28 0 0 1 0 1 0 0 -8.0 0
29 0 0 1 0 1 0 0 -5.723538195826756 0
30 0 0 1 0 1 0 0 -8.0 0
31 0 0 1 0 1 0 0 -8.0 0
32 0 0 1 0 1 0 0 -6.497572880015567 0
33 0 0 1 0 1 0 0 -5.962573502059376 0
34 0 0 1 0 1 0 0 -6.068033885271827 0
35 0 0 1 0 1 0 0 -6.701146923590294 0
36 0 0 1 0 1 0 0 -4.863279432843593 0
37 0 0 1 0 1 0 0 -5.910094888560602 0
38 0 0 1 0 1 0 0 -6.127261172527331 0
39 0 0 1 0 1 0 0 -2.7417564900754847 0
40 0 0 0 1 0 0 1 -10.323306390375134 0
41 0 0 0 1 0 0 1 -9.146301788223825 0
42 0 0 0 1 0 0 1 -8.866461091629782 0
43 0 0 0 1 0 0 1 -9.707743928643524 0
44 1 0 0 0 1 0 0 1.7075701760979363 0
45 0 0 0 1 0 0 1 -10.61798295742513 0
46 0 0 0 1 0 0 1 -9.045275209020938 0
47 0 0 0 1 0 0 1 -7.064996848546345 0
48 0 0 0 1 1 0 0 -7.251811972993799 0
49 0 0 0 1 1 0 0 -7.251811972993799 0
50 0 0 0 1 1 0 0 -7.251811972993799 0
51 0 0 0 1 0 0 1 -9.023191662661933 0
52 0 0 0 1 0 0 1 -10.114638779968487 0
53 0 0 0 1 0 0 1 -9.19586056766465 0
54 0 0 0 1 0 0 1 -8.954677021213342 0
55 0 0 0 1 0 0 1 -9.059483515067432 0
56 0 0 0 1 0 0 1 -8.410050398674292 0
57 0 0 0 1 0 0 1 -8.97061622231479 0
58 0 0 0 1 0 0 1 -9.153662887870194 0
59 0 1 0 0 0 1 0 -10.8153085691824 1
60 1 0 0 0 0 0 1 -1.6968039425795112 0
