id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 0 1 0.2304489213782739
2 0 0 1 0 0 1 0 0.3424226808222063
3 1 0 0 0 0 0 1 0.004321373782642578
4 1 0 0 0 0 1 0 -2.0
5 1 0 0 0 0 0 1 -1.0
6 1 0 0 0 0 0 1 0.35410843914740087
7 1 0 0 0 0 1 0 -0.5228787452803376
8 1 0 0 0 0 0 1 -2.0
9 1 0 0 0 0 0 1 0.42488163663106704
10 1 0 0 1 0 0 0 0.2552725051033061
11 1 0 0 1 0 0 0 -0.39794000867203755
12 1 0 0 0 0 0 1 1.3064250275506875
13 1 0 0 0 0 0 1 0.9138138523837167
14 1 0 0 0 0 0 1 1.0511525224473812
15 1 0 0 0 0 0 1 0.19589965240923374
16 0 1 0 1 0 0 0 -3.642065152999546
17 1 0 0 0 0 1 0 -3.0
18 0 0 1 0 0 1 0 -2.0
19 1 0 0 1 0 0 0 0.7656685547590141
20 0 1 0 1 0 0 0 -3.642065152999546
21 0 1 0 1 0 0 0 -3.642065152999546
22 1 0 0 0 0 0 1 -0.14266750356873156
23 1 0 0 0 0 0 1 -2.0
24 0 1 0 1 0 0 0 -3.642065152999546
25 0 1 0 0 1 0 0 -4.0
26 1 0 0 1 0 0 0 3.7573960287930244
27 1 0 0 0 0 1 0 -3.0
28 1 0 0 0 0 0 1 -2.0
29 0 1 0 1 0 0 0 -3.642065152999546
30 1 0 0 0 0 0 1 2.076094046682475
