id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -0.8181564120552275
1 1 0 0 0 0 0 1 0.40053798939194624
2 1 0 0 0 0 0 1 -0.029188389127482305
3 0 1 0 1 0 0 0 -0.18210424283820462
4 0 1 0 1 0 0 0 -0.6989700043360187
5 0 1 0 1 0 0 0 -0.5451551399914898
6 0 1 0 1 0 0 0 0.6608654780038693
7 0 1 0 1 0 0 0 0.3996737214810381
8 1 0 0 0 1 0 0 -0.6252516539898961
9 1 0 0 0 0 0 1 1.5481436374348454
10 1 0 0 0 1 0 0 1.04883008652835
11 0 0 1 0 0 0 1 -3.642065152999546
12 1 0 0 0 1 0 0 -0.25806092227080124
13 1 0 0 0 0 0 1 -0.6989700043360186
14 1 0 0 0 1 0 0 -2.6989700043360187
15 1 0 0 0 1 0 0 -3.6989700043360187
16 1 0 0 1 0 0 0 -3.3979400086720375
17 1 0 0 0 1 0 0 -0.39469495385889053
18 1 0 0 1 0 0 0 -3.2218487496163566
19 1 0 0 0 1 0 0 -0.790484985457369
20 1 0 0 0 1 0 0 -0.9469215565165803
21 1 0 0 0 1 0 0 -3.154901959985743
22 1 0 0 0 1 0 0 -0.10902040301031093
23 1 0 0 1 0 0 0 0.20951501454263097
24 1 0 0 1 0 0 0 -0.9913998282380825
25 1 0 0 0 1 0 0 -3.0969100130080562
26 1 0 0 0 1 0 0 0.3944516808262163
27 1 0 0 0 1 0 0 0.49692964807321494
28 1 0 0 0 1 0 0 0.7172543127625497
29 1 0 0 0 1 1 1 -0.1972262747080243
30 1 0 0 0 1 0 0 -0.5767541260631921
31 1 0 0 0 1 0 0 -3.0457574905606752
32 1 0 0 0 1 0 0 -0.7904849854573691
33 1 0 0 1 0 0 0 -3.2218487496163566
34 0 1 0 1 0 0 0 -2.0
35 0 0 1 0 0 0 1 -3.642065152999546
36 1 0 0 0 0 0 1 -2.0
37 1 0 0 1 0 0 0 -3.0969100130080562
38 1 0 0 0 0 0 1 -2.3010299956639813
39 1 0 0 0 0 0 1 -2.0
40 0 0 1 0 0 0 1 -3.642065152999546
41 0 0 1 0 0 0 1 -3.642065152999546
42 1 0 0 1 0 0 0 -3.0
43 0 0 1 0 0 0 1 -3.642065152999546
44 0 0 1 0 0 0 1 -3.642065152999546
45 0 0 1 0 0 0 1 -3.642065152999546
46 1 0 0 0 1 0 0 -2.4559319556497243
47 0 0 1 0 0 0 1 -3.642065152999546
48 1 0 0 1 0 0 0 -2.1249387366083
49 1 0 0 0 0 0 1 -2.070581074285707
50 1 0 0 0 0 0 1 -0.8068754016455384
51 1 0 0 0 1 0 0 -2.0
52 1 0 0 0 1 0 0 -3.5228787452803374
53 1 0 0 0 1 0 0 -2.8239087409443187
54 1 0 0 0 1 0 0 -3.3979400086720375
55 0 0 1 0 0 1 0 -4.0
56 1 0 0 1 0 0 0 -3.0
57 1 0 0 0 0 0 1 -0.8239087409443188
58 0 0 1 0 0 0 1 -3.642065152999546
59 0 0 1 0 0 0 1 -3.642065152999546
