id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 1 0 0 0 0 1 0 -1.9281179926938745
1 1 0 0 0 1 0 0 -1.9999999999999998
2 1 0 0 0 0 1 0 -2.0
3 0 1 0 1 0 0 0 0.20951501454263102
4 0 1 0 1 0 0 0 -0.5086383061657272
5 0 1 0 1 0 0 0 -0.3419886033428876
6 0 1 0 1 0 0 0 -0.585026652029182
7 1 0 0 1 0 0 0 -3.0457574905606752
8 1 0 0 1 0 0 0 -0.3467874862246565
9 1 0 0 1 0 0 0 -0.7772835288524167
10 0 0 1 0 1 0 0 -3.642065152999546
11 1 0 0 0 0 1 0 -2.638272163982407
12 1 0 0 1 0 0 0 -2.744727494896694
13 1 0 0 0 0 1 0 -0.4596705252091264
14 1 0 0 1 0 0 0 -3.0969100130080562
15 1 0 0 0 0 1 0 -0.8446639625349383
16 1 0 0 0 0 1 0 -3.3979400086720375
17 1 0 0 0 0 1 0 -2.5228787452803374
18 1 0 0 0 0 1 0 -0.7958800173440752
19 1 0 0 0 0 1 0 0.5809249756756193
20 1 0 0 0 0 1 0 -2.619788758288394
21 1 0 0 1 0 0 0 -3.3979400086720375
22 1 0 0 0 0 1 0 -2.9208187539523753
23 0 0 1 0 1 0 0 -3.642065152999546
24 1 0 0 0 1 0 0 -2.537602002101044
25 0 0 1 0 1 0 0 -3.642065152999546
26 0 0 1 0 1 0 0 -3.642065152999546
27 0 0 1 0 1 0 0 -3.642065152999546
28 1 0 0 1 0 0 0 -3.0
29 1 0 0 0 1 0 0 1.5431985856376467
30 1 0 0 0 0 1 0 -0.5686362358410126
31 0 0 1 0 1 0 0 -3.642065152999546
32 0 0 1 0 1 0 0 -3.642065152999546
33 1 0 0 0 0 1 0 -2.6020599913279625
34 0 0 1 0 1 0 0 -3.642065152999546
35 0 0 1 0 1 0 0 -3.642065152999546
36 1 0 0 1 0 0 0 -3.6989700043360187
37 1 0 0 0 1 0 0 -2.1079053973095196
38 1 0 0 0 0 1 0 -3.0
39 1 0 0 0 1 0 1 -2.5528419686577806
40 1 0 0 0 0 1 0 -2.0
41 1 0 0 0 0 1 0 -3.0457574905606752
42 1 0 0 0 0 1 0 -0.01322826573375516
43 0 0 1 0 0 0 1 -4.0
44 1 0 0 0 1 0 0 -2.619788758288394
45 1 0 0 1 0 0 0 -3.0
46 0 0 1 0 1 0 0 -3.642065152999546
47 0 0 1 0 1 0 0 -3.642065152999546
