id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_other mov_sessile log_mass
0 1 0 0 1 0 0 0 -0.38721614328026455
1 0 1 0 0 1 0 0 -0.6003262785189618
2 0 1 0 0 1 0 0 -0.16813022571949857
3 0 1 0 0 1 0 0 -0.27083521030723007
4 1 0 0 0 1 0 0 -2.657577319177794
5 0 1 0 0 1 0 0 -2.0
6 1 0 0 0 1 0 0 -0.2924298239020637
7 1 0 0 0 1 0 0 -0.14086170270546905
8 1 0 0 0 1 0 0 -0.5214335044061567
9 0 1 0 0 1 0 0 -2.0
10 1 0 0 1 0 0 0 -0.15801519540988615
11 1 0 0 0 0 0 1 1.615950051656401
12 0 0 1 0 0 0 1 -3.642065152999546
13 1 0 0 1 0 0 0 -0.7212463990471711
14 1 0 0 1 0 0 0 -2.958607314841775
15 1 0 0 1 0 0 0 -0.4248121550723389
16 1 0 0 0 1 0 0 -2.0
17 1 0 0 1 0 0 0 -0.6595558851598817
18 1 0 0 1 0 0 0 -0.7212463990471711
19 1 0 0 1 0 0 0 -0.22184874961635648
20 1 0 0 1 0 0 0 -3.3979400086720375
21 1 0 0 1 0 0 0 -0.2732727909734276
22 1 0 0 0 1 0 0 0.18184358794477254
23 1 0 0 1 0 0 0 0.10653085382238137
24 1 0 0 1 0 0 0 -2.0
25 1 0 0 1 0 1 1 -2.0
26 1 0 0 1 0 0 0 -0.3467874862246564
27 1 0 0 1 0 0 0 -2.657577319177794
28 1 0 0 1 0 0 0 -0.7695510786217261
29 1 0 0 0 1 0 0 -3.3979400086720375
30 0 0 1 0 0 0 1 -3.642065152999546
31 1 0 0 0 0 0 1 -2.0
32 1 0 0 0 0 0 1 -2.853871964321762
33 0 0 1 0 0 0 1 -3.642065152999546
34 1 0 0 0 0 0 1 -2.0
35 1 0 0 1 0 0 0 -2.8239087409443187
36 0 0 1 0 0 0 1 -3.642065152999546
37 1 0 0 0 1 0 0 -3.0
38 0 0 1 0 0 0 1 -3.642065152999546
39 0 0 1 0 0 0 1 -3.642065152999546
40 1 0 0 1 0 0 0 -1.4168012260313771
41 1 0 0 1 0 0 0 1.783903579272735
42 0 0 1 0 0 0 1 -3.642065152999546
43 1 0 0 0 0 0 1 -1.7569619513137056
44 1 0 0 0 0 0 1 0.34044411484011833
45 1 0 0 1 0 0 0 1.110252917353403
46 1 0 0 1 0 0 0 -2.0
47 1 0 0 1 0 0 0 -3.0457574905606752
48 0 0 1 0 0 1 0 -4.0
49 1 0 0 0 1 0 0 -3.0
50 1 0 0 1 0 0 0 -2.721246399047171
51 1 0 0 1 0 0 0 -2.6989700043360187
52 1 0 0 1 0 0 0 -2.193820026016113
53 0 0 1 0 0 0 1 -3.642065152999546
54 0 0 1 0 0 0 1 -3.642065152999546
