id met_ectotherm_vertebrate met_endotherm_vertebrate met_invertebrate met_primary_producer met_detritus mov_swimming mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 0 2.683947130751512 0
1 1 0 0 0 0 1 0 0 0 0 5.361727836017593 0
2 1 0 0 0 0 1 0 0 0 0 4.954242509439325 0
3 1 0 0 0 0 1 0 0 0 0 5.544068044350276 0
4 1 0 0 0 0 1 0 0 0 0 5.0 0
5 1 0 0 0 0 1 0 0 0 0 2.8394780473741985 0
6 1 0 0 0 0 1 0 0 0 0 5.827369273053825 0
7 1 0 0 0 0 1 0 0 0 0 5.698970004336019 0
8 1 0 0 0 0 1 0 0 0 0 4.176091259055681 0
9 1 0 0 0 0 1 0 0 0 0 4.0888445627270045 0
10 1 0 0 0 0 1 0 0 0 0 5.041392685158225 0
11 1 0 0 0 0 1 0 0 0 0 3.7007037171450192 0
12 1 0 0 0 0 1 0 0 0 0 4.2552725051033065 0
13 1 0 0 0 0 1 0 0 0 0 2.9542425094393248 0
14 1 0 0 0 0 1 0 0 0 0 3.342422680822206 0
15 1 0 0 0 0 1 0 0 0 0 3.484299839346786 0
16 1 0 0 0 0 1 0 0 0 0 4.376576957056512 0
17 0 1 0 0 0 1 0 0 0 0 2.459392487759231 0
18 1 0 0 0 0 1 0 0 0 0 3.079904467666721 0
19 1 0 0 0 0 1 0 0 0 0 2.890421018800914 0
20 1 0 0 0 0 1 0 0 0 0 3.499687082618404 0
21 1 0 0 0 0 1 0 0 0 0 2.7323937598229686 0
22 1 0 0 0 0 1 0 0 0 0 5.086359830674748 0
23 1 0 0 0 0 1 0 0 0 0 3.741230411025471 0
24 1 0 0 0 0 1 0 0 0 0 4.2315460439969215 0
25 1 0 0 0 0 1 0 0 0 0 2.2576785748691846 0
26 1 0 0 0 0 1 0 0 0 0 3.6364878963533656 0
27 1 0 0 0 0 1 0 0 0 0 4.7619278384205295 0
28 1 0 0 0 0 1 0 0 0 0 3.146128035678238 0
29 1 0 0 0 0 1 0 0 0 0 2.9138138523837167 0
30 1 0 0 0 0 1 0 0 0 0 2.9925535178321354 0
31 1 0 0 0 0 1 0 0 0 0 5.602985138222968 0
32 1 0 0 0 0 1 0 0 0 0 3.5443161417474274 0
33 1 0 0 0 0 1 0 0 0 0 4.535104153801393 0
34 1 0 0 0 0 1 0 0 0 0 3.276921132065774 0
35 1 0 0 0 0 1 0 0 0 0 3.468495024507069 0
36 1 0 0 0 0 1 0 0 0 0 1.1760912590556813 0
37 0 0 1 0 0 1 0 0 0 0 0.6989700043360189 0
38 1 0 0 0 0 1 0 0 0 0 2.929418925714293 0
39 1 0 0 0 0 1 0 0 0 0 3.0791812460476247 0
40 1 0 0 0 0 1 0 0 0 0 2.255272505103306 0
41 1 0 0 0 0 1 0 0 0 0 2.342422680822206 0
42 1 0 0 0 0 1 0 0 0 0 3.679700380871964 0
43 1 0 0 0 0 1 0 0 0 0 1.9138138523837167 0
44 1 0 0 0 0 1 0 0 0 0 3.9542425094393248 0
45 1 0 0 0 0 1 0 0 0 0 2.113943352306837 0
46 1 0 0 0 0 1 0 0 0 0 2.214843848047698 0
47 0 0 1 0 0 0 1 0 0 0 1.7651467901080253 0
48 1 0 0 0 0 1 0 0 0 0 3.2612628687924934 0
49 1 0 0 0 0 1 0 0 0 0 2.462397997898956 0
50 0 0 1 0 0 0 1 0 0 0 0.9584444238670943 0
51 1 0 0 0 0 1 0 0 0 0 2.838849090737255 0
52 1 0 0 0 0 1 0 0 0 0 0.6127838567197355 0
53 1 0 0 0 0 1 0 0 0 0 3.724275869600789 0
54 1 0 0 0 0 1 0 0 0 0 2.27415784926368 0
55 1 0 0 0 0 1 0 0 0 0 2.935003151453655 0
56 1 0 0 0 0 1 0 0 0 0 2.399673721481038 0
57 1 0 0 0 0 1 0 0 0 0 2.681241237375587 0
58 1 0 0 0 0 1 0 0 0 0 3.1020905255118367 0
59 1 0 0 0 0 1 0 0 0 0 3.1335389083702174 0
60 1 0 0 0 0 1 0 0 0 0 3.0737183503461227 0
61 1 0 0 0 0 1 0 0 0 0 1.3979400086720377 0
62 1 0 0 0 0 1 0 0 0 0 2.845098040014257 0
63 1 0 0 0 0 1 0 0 0 0 1.1139433523068367 0
64 1 0 0 0 0 1 0 0 0 0 2.1367205671564067 0
65 1 0 0 0 0 1 0 0 0 0 3.8880671134074367 0
66 1 0 0 0 0 1 0 0 0 0 3.484584529282843 0
67 1 0 0 0 0 1 0 0 0 0 3.244277120801843 0
68 1 0 0 0 0 1 0 0 0 0 3.083860800866573 0
69 1 0 0 0 0 1 0 0 0 0 3.0515383905153275 0
70 1 0 0 0 0 1 0 0 0 0 2.6148972160331345 0
71 1 0 0 0 0 1 0 0 0 0 2.651278013998144 0
72 1 0 0 0 0 1 0 0 0 0 2.6434526764861874 0
73 1 0 0 0 0 1 0 0 0 0 2.598790506763115 0
74 1 0 0 0 0 1 0 0 0 0 3.041392685158225 0
75 1 0 0 0 0 1 0 0 0 0 2.4471580313422194 0
76 1 0 0 0 0 1 0 0 0 0 2.0 0
