id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate met_other met_heterotrophic_bacteria met_endotherm_vertebrate mov_walking mov_swimming mov_sessile mov_other_nonliving mov_flying log_mass mass_missing
0 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
1 1 0 0 0 0 0 0 0 1 0 0 0 -3.7647468618391917 0
2 1 0 0 0 0 0 0 0 1 0 0 0 -3.7647468618391917 0
3 1 0 0 0 0 0 0 1 0 0 0 0 -3.4258737769269776 0
4 0 0 0 1 0 0 0 0 1 0 0 0 2.149813731043464 0
5 0 0 0 1 0 0 0 0 1 0 0 0 2.883674548945864 0
6 0 0 0 1 0 0 0 0 1 0 0 0 2.5563025007672873 0
7 0 0 0 1 0 0 0 0 1 0 0 0 3.7366348170920087 0
8 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
9 0 0 0 1 0 0 0 0 1 0 0 0 2.7223083538200252 0
10 0 0 0 1 0 0 0 0 1 0 0 0 1.2030471161845189 0
11 1 0 0 0 0 0 0 0 1 0 0 0 0.7089538917497332 0
12 1 0 0 0 0 0 0 0 1 0 0 0 -2.5004210921682426 0
13 1 0 0 0 0 0 0 0 1 0 0 0 -3.8608390370082133 0
14 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
15 1 0 0 0 0 0 0 0 1 0 0 0 -1.4612359898862488 0
16 0 0 0 1 0 0 0 0 1 0 0 0 2.3416028397339352 0
17 0 0 0 1 0 0 0 0 1 0 0 0 1.7959123276516 0
18 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
19 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
20 1 0 0 0 0 0 0 0 1 0 0 0 -0.19691001285730864 0
21 1 0 0 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
22 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
23 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
24 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
25 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
26 1 0 0 0 0 0 0 1 0 0 0 0 -1.2949553798790987 0
27 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
28 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
29 1 0 0 0 0 0 0 0 1 0 0 0 -4.157390760389438 0
30 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
31 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
32 0 0 0 1 0 0 0 0 1 0 0 0 2.8045551197286493 0
33 0 0 0 1 0 0 0 0 1 0 0 0 1.9974737588029803 0
34 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
35 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
36 1 0 0 0 0 0 0 0 0 1 0 0 -0.6627923869149773 0
37 0 0 0 1 0 0 0 0 1 0 0 0 1.1040456157898517 0
38 1 0 0 0 0 0 0 1 0 0 0 0 -2.057628978877431 0
39 1 0 0 0 0 0 0 0 1 0 0 0 -3.7647468618391917 0
40 0 0 0 1 0 0 0 0 1 0 0 0 1.879439965995217 0
41 0 0 0 1 0 0 0 0 1 0 0 0 0.7037612178149567 0
42 0 0 0 1 0 0 0 0 1 0 0 0 2.126877868835267 0
43 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
44 0 0 0 1 0 0 0 0 1 0 0 0 1.9078604010327995 0
45 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
46 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
47 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
48 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
49 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
50 0 0 0 1 0 0 0 0 1 0 0 0 0.9396110773739772 0
51 0 0 0 1 0 0 0 0 1 0 0 0 4.02530586526477 0
52 0 0 0 1 0 0 0 0 1 0 0 0 0.22593438785422726 0
53 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
54 1 0 0 0 0 0 0 1 0 0 0 0 -2.057628978877431 0
55 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
56 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
57 1 0 0 0 0 0 0 1 0 0 0 0 -2.2969099920009572 0
58 1 0 0 0 0 0 0 0 1 0 0 0 -2.5004210921682426 0
59 0 0 0 1 0 0 0 0 1 0 0 0 1.0 0
60 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
61 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
