id met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 1 0 1 -9.290730039024169
1 1 0 1 0 -4.841637507904751
2 1 0 1 0 -5.809668301829708
3 1 0 1 0 -4.649751981665837
4 1 0 1 0 -5.0
5 1 0 1 0 -2.1694113313148558
6 1 0 1 0 -5.164309428507575
7 0 1 0 1 -10.03905380426617
8 0 1 0 1 -10.323306390375134
9 1 0 1 0 -8.0
10 1 0 1 0 -6.068033885271827
11 1 0 1 0 -6.701146923590294
12 1 0 1 0 -5.910094888560602
13 1 0 1 0 -2.7417564900754847
14 0 1 0 1 -10.323306390375134
15 0 1 0 1 -8.866461091629782
16 0 1 0 1 -8.493494967595128
17 0 1 0 1 -8.247951552180561
18 0 1 0 1 -7.064996848546345
19 0 1 1 0 -7.251811972993799
20 0 1 0 1 -9.79317412396815
21 0 1 0 1 -8.954677021213342
