id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 0 1 0 1 0 0 0 -2.886056647693163
1 0 1 0 0 0 1 0 -2.3010299956639813
2 0 1 0 0 0 1 0 -2.0
3 0 0 1 0 0 1 0 -3.642065152999546
4 1 0 0 1 0 0 0 -0.11350927482751817
5 1 0 0 1 0 0 0 -0.04575749056067522
6 0 1 0 1 0 0 0 0.13987908640123642
7 0 1 0 0 1 0 0 0.6138418218760693
8 0 1 0 0 1 0 0 -2.136677139879544
9 0 1 0 0 1 0 0 -2.5086383061657274
10 0 1 0 0 1 0 0 -0.6478174818886376
11 0 1 0 0 1 0 0 -2.5228787452803374
12 0 0 1 0 0 1 0 -3.642065152999546
13 0 0 1 0 0 1 0 -3.642065152999546
14 0 1 0 0 0 1 0 -2.0
15 0 1 0 0 1 0 0 -2.0
16 0 1 0 0 1 0 0 -2.0
17 0 0 1 0 0 1 0 -3.642065152999546
18 0 0 1 0 0 1 0 -3.642065152999546
19 0 0 1 0 0 1 0 -3.642065152999546
20 0 0 1 0 0 1 0 -3.642065152999546
21 0 0 1 0 0 1 0 -3.642065152999546
22 0 0 1 0 0 1 0 -3.642065152999546
23 0 1 0 0 0 1 0 -2.0
24 0 1 0 0 1 0 0 -2.0555173278498313
25 0 0 1 0 0 1 0 -3.642065152999546
26 0 0 1 0 0 1 0 -3.642065152999546
27 0 0 1 0 0 1 0 -3.642065152999546
28 0 0 1 0 0 1 0 -3.642065152999546
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 1 0 0 1 0 0 -2.0
31 0 1 0 0 1 0 0 0.4409090820652177
32 0 1 0 0 1 0 0 -3.6989700043360187
33 0 0 1 0 0 1 0 -3.642065152999546
34 0 1 0 0 1 0 0 -3.6989700043360187
35 0 0 1 0 0 1 0 -3.642065152999546
36 0 0 1 0 0 0 1 -4.0
37 0 1 0 0 0 1 0 1.6532125137753437
38 0 1 0 0 0 1 0 1.3424226808222062
39 0 1 0 0 0 1 0 0.9057958803678685
40 0 1 0 1 0 0 0 -3.0
41 0 1 0 0 0 1 0 1.9493900066449128
42 0 1 0 0 0 1 0 -2.0
43 0 1 0 0 0 1 0 -2.0
44 0 1 0 0 0 1 0 -2.0
45 0 1 0 1 0 0 0 -3.0
46 0 1 0 0 1 0 0 -2.3010299956639813
47 0 1 0 0 1 0 0 0.505149978319906
48 0 1 0 0 1 0 0 0.4623979978989561
49 0 0 1 0 0 1 0 -3.642065152999546
50 0 0 1 0 0 1 0 -3.642065152999546
51 0 0 1 0 0 1 0 -3.642065152999546
52 0 0 1 0 0 1 0 -3.642065152999546
53 0 0 1 0 0 1 0 -3.642065152999546
