id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 1 0 0 1 0 0 0 -3.0
1 1 0 0 0 0 1 0 -2.0
2 1 0 0 0 0 0 1 -0.645891560852599
3 1 0 0 1 0 0 0 -3.0969100130080567
4 1 0 0 0 0 0 1 -0.9586073148417749
5 1 0 0 0 0 0 1 -2.1249387366083
6 0 0 1 1 0 0 0 -0.744727494896694
7 1 0 0 1 0 0 0 -2.585026652029182
8 0 0 1 1 0 0 0 0.06818586174616162
9 1 0 0 0 0 0 1 0.5728716022004801
10 0 1 0 0 0 1 0 -3.642065152999546
11 1 0 0 0 0 0 1 -0.15490195998574327
12 1 0 0 0 0 0 1 -0.8860566476931633
13 1 0 0 0 0 0 1 1.0809870469108873
14 1 0 0 0 0 0 1 -3.0969100130080562
15 1 0 0 0 0 0 1 -1.769551078621726
16 1 0 0 0 0 0 1 -0.22184874961635637
17 1 0 0 0 0 0 1 -2.8239087409443187
18 1 0 0 0 0 0 1 -3.154901959985743
19 0 1 0 0 0 1 0 -3.642065152999546
20 0 1 0 0 0 1 0 -3.642065152999546
21 1 0 0 0 0 1 0 -2.0
22 0 1 0 0 0 1 0 -3.642065152999546
23 0 1 0 0 0 1 0 -3.642065152999546
24 0 1 0 0 0 1 0 -3.642065152999546
25 0 1 0 0 0 1 0 -3.642065152999546
26 1 0 0 0 0 0 1 0.13033376849500622
27 1 0 0 0 0 1 0 -2.0
28 0 1 0 0 0 1 0 -3.642065152999546
29 0 1 0 0 0 1 0 -3.642065152999546
30 0 1 0 0 0 1 0 -3.642065152999546
31 0 1 0 0 0 1 0 -3.642065152999546
32 0 1 0 0 1 0 0 -4.0
33 1 0 0 0 0 1 0 -2.0
34 1 0 0 0 0 1 0 -2.0
35 1 0 0 0 0 1 0 -2.0
36 1 0 0 0 0 1 0 -2.795880017344075
37 1 0 0 1 0 0 0 -3.0
38 0 1 0 0 0 1 0 -3.642065152999546
39 0 1 0 0 0 1 0 -3.642065152999546
40 0 1 0 0 0 1 0 -3.642065152999546
41 1 0 0 1 0 0 0 -0.2839966563652008
42 0 1 0 0 0 1 0 -3.6420651529995465
43 0 1 0 0 0 1 0 -3.642065152999546
44 1 0 0 0 0 1 0 -0.204815410317576
