id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 1 0 0 0 -3.0
2 1 0 0 0 0 1 -2.744727494896694
3 1 0 0 0 0 1 -0.005682847330363273
4 1 0 0 0 0 1 -0.6989700043360187
5 1 0 0 0 0 1 -2.2676062401770314
6 1 0 1 0 0 0 -2.7695510786217263
7 1 0 0 0 0 1 -4.0
8 1 0 1 0 0 0 -3.0
9 1 0 0 0 0 1 -2.5850266520291822
10 1 0 1 0 0 0 -1.8386319977650252
11 1 0 0 0 0 1 -3.301029995663981
12 1 0 0 0 1 0 -2.0
13 1 0 0 0 0 1 -0.22184874961635637
14 0 1 0 0 1 0 -3.642065152999546
15 0 1 0 0 1 0 -3.642065152999546
16 0 1 0 0 1 0 -3.642065152999546
17 0 1 0 0 1 0 -3.642065152999546
18 1 0 0 0 0 1 -2.6020599913279625
19 0 1 0 1 0 0 -4.0
20 1 0 0 0 1 0 -2.0
21 1 0 0 0 1 0 -2.0
22 1 0 0 0 1 0 -2.0
23 1 0 1 0 0 0 -3.0
24 0 1 0 0 1 0 -3.642065152999546
25 0 1 0 0 1 0 -3.642065152999546
26 1 0 0 0 1 0 -0.1890957193312996
