id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.438898616350944 0
1 0 0 1 0 1 0 0 -4.236572006437063 0
2 0 0 1 0 1 0 0 -4.995678626217358 0
3 0 0 1 0 1 0 0 -4.841637507904751 0
4 0 0 1 0 1 0 0 -4.166215625343521 0
5 0 0 1 0 1 0 0 -5.661543506395395 0
6 0 0 1 0 1 0 0 -4.649751981665837 0
7 1 0 0 0 1 0 0 -1.795880017344075 0
8 0 0 1 0 1 0 0 -5.73754891026957 0
9 0 0 0 1 0 0 1 -10.323306390375134 0
10 0 0 1 0 1 0 0 -4.396855627379818 0
11 0 0 1 0 1 0 0 -7.698970004336019 0
12 0 0 1 0 1 0 0 -8.0 0
13 0 0 1 0 1 0 0 -6.293282217663242 0
14 0 0 1 0 1 0 0 -2.7417564900754847 0
15 0 0 0 1 0 0 1 -8.866461091629782 0
16 0 0 0 1 0 0 1 -8.247951552180561 0
17 0 0 0 1 0 0 1 -7.064996848546345 0
18 0 0 0 1 0 0 1 -9.19586056766465 0
19 0 1 0 0 0 1 0 -10.438898616350944 1
20 1 0 0 0 0 0 1 -1.6968039425795112 0
21 1 0 0 0 1 0 0 2.346352974450639 0
