id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 0 0 1 0 0 1 0 0.06818586174616162
2 1 0 0 0 0 0 1 -3.0457574905606752
3 1 0 0 0 0 0 1 -2.744727494896694
4 1 0 0 0 0 1 0 -3.3010299956639813
5 1 0 0 0 0 0 1 -3.5228787452803374
6 1 0 0 0 0 0 1 0.24551266781414988
7 1 0 0 0 0 0 1 -4.0
8 0 1 0 1 0 0 0 -3.642065152999546
9 0 1 0 1 0 0 0 -3.642065152999546
10 1 0 0 0 0 0 1 -0.8761483590329142
11 0 1 0 1 0 0 0 -3.642065152999546
12 0 1 0 1 0 0 0 -3.642065152999546
13 0 1 0 1 0 0 0 -3.642065152999546
14 1 0 0 0 0 0 1 -3.3979400086720375
15 1 0 0 0 0 0 1 0.3780343224573315
16 0 1 0 0 1 0 0 -4.0
17 1 0 0 1 0 0 0 -2.0
18 1 0 0 1 0 0 0 -2.0
19 1 0 0 0 0 1 0 -3.0
20 0 1 0 1 0 0 0 -3.642065152999546
21 0 1 0 1 0 0 0 -3.642065152999546
22 0 1 0 1 0 0 0 -3.642065152999546
23 0 1 0 1 0 0 0 -3.642065152999546
24 1 0 0 0 0 0 1 -0.3187587626244128
