id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 0 1 0 0 0 0 1 -3.642065152999546
1 1 0 0 1 0 0 0 -2.161150909262745
2 1 0 0 0 0 1 0 2.0690017170456
3 0 0 1 1 0 0 0 -2.0
4 1 0 0 1 0 0 0 -2.0
5 1 0 0 0 0 1 0 -2.0
6 1 0 0 0 0 1 0 -2.744727494896694
7 1 0 0 0 0 1 0 -3.0
8 1 0 0 1 0 0 0 -2.721246399047171
9 0 0 1 1 0 0 0 -2.0
10 1 0 0 0 0 1 0 -2.0
11 1 0 0 0 0 1 0 -2.0
12 1 0 0 0 0 1 0 -3.0
13 1 0 0 0 0 1 0 -2.0
14 1 0 0 1 0 0 0 -3.0
15 1 0 0 0 0 1 0 -2.7447274948966935
16 0 0 1 1 0 0 0 -0.04575749056067517
17 1 0 0 0 0 1 0 -1.9999999999999998
18 1 0 0 0 0 1 0 0.5705429398818975
19 1 0 0 0 0 1 0 -2.0
20 1 0 0 0 0 1 0 -0.8538719643217618
21 1 0 0 0 0 1 0 0.06069784035361165
22 0 1 0 0 0 0 1 -3.642065152999546
23 0 1 0 0 0 0 1 -3.642065152999546
24 0 1 0 0 0 0 1 -3.642065152999546
25 0 1 0 0 0 0 1 -3.642065152999546
26 0 1 0 0 0 0 1 -3.642065152999546
27 0 0 1 1 0 0 0 -1.0
28 0 1 0 0 0 0 1 -3.642065152999546
29 0 1 0 0 0 0 1 -3.642065152999546
30 0 1 0 0 0 0 1 -3.642065152999546
31 0 1 0 0 0 0 1 -3.642065152999546
32 1 0 0 0 0 1 0 -2.2596373105057563
33 0 1 0 0 0 0 1 -3.642065152999546
34 0 1 0 0 1 0 0 -4.0
35 1 0 0 0 0 0 1 -2.0
36 1 0 0 1 0 0 0 -3.0
37 0 1 0 0 0 0 1 -3.642065152999546
38 0 1 0 0 0 0 1 -3.642065152999546
39 0 1 0 0 0 0 1 -3.642065152999546
