id met_invertebrate met_endotherm_vertebrate met_ectotherm_vertebrate mov_flying mov_swimming mov_walking log_mass
0 1 0 0 0 0 1 -4.462180904926726
1 1 0 0 0 0 1 -4.462180904926726
2 1 0 0 0 0 1 -4.172630726946175
3 1 0 0 0 0 1 -3.6120267600069793
4 1 0 0 0 0 1 -2.3495761947868288
5 1 0 0 0 0 1 -2.5606715701728557
6 1 0 0 1 0 0 -0.6186024885899138
7 0 1 0 1 0 0 1.3010299956639813
8 0 1 0 1 0 0 2.322219294733919
9 1 0 0 0 0 1 -2.762634741282292
10 1 0 0 0 0 1 -2.0418721589546096
11 1 0 0 0 0 1 -1.6369460050005464
12 1 0 0 0 0 1 -2.1187121429049176
13 1 0 0 1 0 0 -0.6186024885899138
14 1 0 0 1 0 0 -1.606013368242587
15 1 0 0 1 0 0 -0.6310194603106326
16 1 0 0 1 0 0 -0.6310194603106327
17 1 0 0 1 0 0 -0.5009088688861187
18 1 0 0 1 0 0 -1.0459928067958781
19 1 0 0 1 0 0 -0.6112145544937153
20 1 0 0 1 0 0 -1.3181050445230151
21 1 0 0 1 0 0 -1.86753480585446
22 1 0 0 0 0 1 -2.776261188947636
23 1 0 0 0 0 1 -3.3090441264835104
24 1 0 0 0 0 1 -3.1329528674278295
25 1 0 0 0 0 1 -2.7649758293430153
26 1 0 0 0 0 1 -3.1329528674278295
27 1 0 0 0 0 1 -2.9187857054692596
28 1 0 0 0 0 1 -4.393618634889395
29 1 0 0 0 0 1 -3.1094225068749637
30 1 0 0 0 0 1 -3.1094225068749637
31 1 0 0 0 0 1 -3.098362984392817
32 1 0 0 0 0 1 -3.400906577311171
33 1 0 0 0 0 1 -1.1611012703521437
34 1 0 0 1 0 0 -2.621241911235645
35 1 0 0 1 0 0 -3.2744542434484982
36 1 0 0 1 0 0 -3.2744542434484982
37 1 0 0 0 0 1 -2.8083922318429666
38 1 0 0 0 0 1 -3.0742146719703403
39 1 0 0 0 0 1 -3.762634741282292
40 1 0 0 0 0 1 -3.832195465231229
41 1 0 0 0 0 1 -3.2414968696286603
42 1 0 0 0 0 1 -2.5435744452727267
43 1 0 0 0 0 1 -0.7072564386802215
44 1 0 0 0 0 1 -3.1094225068749637
45 1 0 0 0 0 1 -2.1715701342557923
46 1 0 0 0 0 1 -2.5321858199040177
47 1 0 0 0 0 1 -3.5357773111746496
48 1 0 0 0 0 1 -2.859544754290348
49 1 0 0 0 0 1 -3.762634741282292
50 1 0 0 1 0 0 -2.084122703413275
51 1 0 0 0 0 1 -0.5440992649484221
52 1 0 0 0 0 1 -3.5230843600010955
53 1 0 0 0 0 1 -1.7393448935744003
54 1 0 0 0 0 1 -1.5186051751878356
55 1 0 0 0 0 1 -2.155112905897468
56 1 0 0 1 0 0 -4.098541678603888
57 1 0 0 0 0 1 -2.178303556200877
58 1 0 0 0 0 1 -2.9632940720996155
59 1 0 0 0 0 1 -3.9918471263535915
60 1 0 0 1 0 0 -4.274088367704952
61 1 0 0 0 0 1 -4.467245621007502
62 1 0 0 1 1 0 -3.0330569405375267
63 1 0 0 0 0 1 -2.410630105216664
64 1 0 0 0 1 0 -0.307042310996805
65 1 0 0 0 0 1 -2.148544703637545
66 1 0 0 0 0 1 -2.676987498399928
67 1 0 0 0 0 1 -1.6720240701889546
68 1 0 0 0 0 1 -1.9564548065845206
69 1 0 0 0 0 1 -2.203926226314021
70 1 0 0 0 0 1 -2.097992809264027
71 1 0 0 0 0 1 -2.2629476904906145
72 1 0 0 1 1 0 -3.456257930420768
73 1 0 0 0 0 1 -1.6103464323120722
74 1 0 0 1 0 0 -2.786609229617536
75 1 0 0 0 0 1 -3.447673758126185
76 1 0 0 0 0 1 -3.4261541673440137
77 1 0 0 0 0 1 -3.285513486562629
78 0 1 0 0 0 1 3.6989700043360187
79 1 0 0 0 0 1 -2.929882304467282
80 1 0 0 0 0 1 -2.4658992321878905
81 1 0 0 0 0 1 -1.6060856180041942
82 1 0 0 0 0 1 -3.6120267600069793
83 1 0 0 0 0 1 -2.3222721733061396
84 1 0 0 0 0 1 -3.2087515882205473
85 1 0 0 0 0 1 -2.1629158380150533
86 1 0 0 1 0 0 -2.0072826917008797
87 1 0 0 0 0 1 -3.1602404752252724
88 1 0 0 1 0 0 -2.11308641025446
89 0 0 1 0 0 1 2.0
90 1 0 0 1 0 0 -3.5302928296108673
91 1 0 0 1 0 0 -3.2292628339468856
92 1 0 0 0 0 1 -0.8443898513144169
93 1 0 0 1 0 0 -2.8046323382542186
94 1 0 0 1 0 0 -2.8765142347764607
95 1 0 0 0 0 1 -2.884486008935477
96 1 0 0 1 0 0 -2.7625711338638617
97 1 0 0 0 0 1 -3.2391155704725763
98 1 0 0 0 0 1 -2.1629158380150533
99 1 0 0 1 0 1 -2.336347468325801
100 1 0 0 0 0 1 -2.2080733245092783
101 1 0 0 1 0 0 -2.4963031292367153
102 1 0 0 0 0 1 -1.9473160211893847
103 0 1 0 0 0 1 1.5440680443502757
104 1 0 0 1 0 0 -2.8987906294876127
105 1 0 0 1 0 0 -2.8987906294876127
106 1 0 0 1 0 0 -1.1441808486652707
107 1 0 0 1 0 0 -2.7973332610726
108 1 0 0 0 0 1 -0.7888930406729021
109 1 0 0 0 0 1 -0.5063749196520467
110 1 0 0 0 0 1 -2.3023970456710776
111 1 0 0 0 0 1 -3.6120267600069793
112 1 0 0 1 0 0 -2.0440055143128637
113 1 0 0 1 0 0 -3.2292628339468856
114 1 0 0 1 0 0 -2.973424247784517
115 1 0 0 0 0 1 -0.49577260502627596
116 1 0 0 0 0 1 -3.0709976858140506
117 1 0 0 0 0 1 -4.530177984021837
118 1 0 0 1 1 0 -3.128326091051556
119 1 0 0 1 0 0 -2.7973332610726
120 1 0 0 1 0 0 -2.7303864325357243
121 1 0 0 1 0 0 -1.6212419112356453
122 1 0 0 1 0 0 -3.1792850495167304
123 1 0 0 1 0 0 -1.9420159735401525
124 1 0 0 0 0 1 -4.530177984021837
125 1 0 0 1 0 0 -3.3879635607191894
126 1 0 0 0 0 1 -0.6201950751655698
127 1 0 0 0 0 1 -3.8404388219670653
128 1 0 0 0 0 1 -0.8753469798074727
129 1 0 0 0 0 1 -1.8196095554465563
130 1 0 0 0 0 1 -0.38222272165668925
131 1 0 0 1 0 0 -3.8765142347764607
132 1 0 0 1 0 0 -4.053056729302175
133 1 0 0 1 0 0 -1.9320317483152039
134 1 0 0 0 0 1 -0.7543738629011334
135 1 0 0 0 0 1 -1.2581586337851094
136 1 0 0 0 0 1 -1.2764392561890843
