id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_flying mov_walking mov_swimming mov_other log_mass
0 0 1 0 0 1 0 0 -4.462180904926726
1 0 1 0 0 1 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -3.2292628339468856
3 0 1 0 0 1 0 0 -2.32721622152707
4 0 1 0 0 1 0 0 -0.7888930406729021
5 0 1 0 0 1 0 0 -0.9716462946727311
6 1 0 0 1 0 0 0 1.3010299956639813
7 0 1 0 0 0 1 0 -0.2842806332932639
8 0 1 0 0 1 0 0 -3.309044126483511
9 0 1 0 0 1 0 0 -2.0246131398487717
10 0 1 0 0 1 0 0 -2.6100737682412256
11 0 1 0 0 1 0 0 -1.9497214233211504
12 0 1 0 0 1 0 0 -2.051365297427476
13 0 1 0 0 1 0 0 -1.4322209914313382
14 0 1 0 0 1 0 0 -1.9483871764008183
15 0 1 0 0 1 0 0 -1.970243092337448
16 0 1 0 1 0 0 0 -0.5009088688861185
17 0 1 0 1 0 0 0 -0.8348109720178511
18 0 1 0 1 0 0 0 -0.6112145544937152
19 0 1 0 1 0 0 0 -0.2872545983254297
20 0 1 0 1 0 0 0 -0.6207366172047323
21 0 1 0 0 1 0 0 -1.7226964167383731
22 0 1 0 0 1 0 0 -2.9048715882966603
23 0 1 0 0 1 0 0 -3.6100741221474917
24 0 1 0 0 1 0 0 -1.9632942317384154
25 0 1 0 0 1 0 0 -1.7988469412662083
26 0 1 0 0 1 0 0 -1.8910618260131176
27 0 1 0 0 1 0 0 -2.2871710299239254
28 0 1 0 0 1 0 0 -3.1605747499543293
29 0 1 0 0 1 0 0 -4.015922966097169
30 0 1 0 0 1 0 0 -4.462180904926726
31 0 1 0 0 1 0 0 -2.249259246488464
32 0 1 0 0 0 1 0 -3.309044126483511
33 0 1 0 0 0 1 0 -0.5531690131423934
34 0 1 0 0 0 1 0 -2.7069839139640983
35 0 1 0 0 1 0 0 -2.859544754290348
36 0 1 0 0 1 0 0 -3.1094225068749637
37 0 1 0 0 1 0 0 -3.1251449306629713
38 0 1 0 0 1 0 0 -2.65883107971952
39 0 1 0 1 0 0 0 -2.0831345879009784
40 0 1 0 0 1 0 0 -1.9862246169664477
41 0 0 1 0 1 0 0 0.3010299956639812
42 0 1 0 1 0 0 0 -1.8636772004474942
43 0 1 0 1 0 0 0 -1.390792989857371
44 0 1 0 1 0 0 0 -4.274088367704952
45 0 1 0 0 1 0 0 -3.017560058231672
46 0 1 0 1 0 0 0 -3.2744542434484982
47 0 1 0 1 0 0 0 -3.339955526194907
48 0 1 0 0 1 0 0 -3.4616047456183106
49 0 1 0 0 1 0 0 -2.9187794699500964
50 0 1 0 0 1 0 0 -3.1605747499543293
51 0 1 0 1 0 1 0 -2.9973466413220433
52 0 1 0 0 1 0 0 -2.410630105216664
53 0 1 0 0 1 0 0 -2.4739384496511563
54 0 1 0 0 1 0 0 -3.3925900170670653
55 0 1 0 0 1 0 0 -2.8261208707597847
56 0 1 0 0 1 0 0 -2.6856304692394426
57 0 1 0 0 1 0 0 -3.4616047456183106
58 0 1 0 1 0 1 0 -3.326530461500159
59 0 1 0 1 0 0 0 -3.0689791863454636
60 0 1 0 0 1 0 0 -3.5867220350305633
61 0 1 0 1 0 0 0 -2.451111338134304
62 0 1 0 1 0 0 0 -3.0440055143128637
63 0 1 0 0 1 0 0 -3.421695520548152
64 0 1 0 0 1 0 0 -2.287854574623353
65 1 0 0 1 0 0 0 2.322219294733919
66 0 0 1 0 1 0 0 2.0
67 1 0 0 0 1 0 0 3.6989700043360187
68 0 1 0 0 1 0 0 -4.462180904926726
69 0 1 0 0 1 0 0 -2.4189025946349605
70 0 1 0 1 0 0 0 -2.8765142347764607
71 0 1 0 0 1 0 0 -3.0704477408025923
72 0 1 0 1 0 0 0 -2.646065505640826
73 0 1 0 0 1 0 0 -3.265673913664899
74 0 1 0 0 1 0 0 -2.3448555120112538
75 0 1 0 1 1 0 0 -2.133799425075113
76 0 1 0 1 0 0 0 -3.098362984392817
77 0 1 0 0 1 0 0 -3.246760989557622
78 1 0 0 0 1 0 0 1.5440680443502757
79 0 1 0 1 0 0 0 -2.8367038237576585
80 0 1 0 1 0 0 0 -2.8367038237576585
81 0 1 0 0 0 0 1 -1.050309204660735
82 0 1 0 1 0 0 0 -3.6723938436052093
83 0 1 0 0 1 0 0 -0.5736502481353907
84 0 1 0 0 1 0 0 -2.2715831483880247
85 0 1 0 0 1 0 0 -4.530177984021837
86 0 1 0 1 0 1 0 -3.128326091051556
87 0 1 0 1 0 0 0 -2.672394456378343
88 0 1 0 1 0 0 0 -3.2744542434484982
89 0 1 0 1 0 0 0 -1.9734244111907553
90 0 1 0 1 0 0 0 -2.144120656515983
91 0 1 0 0 1 0 0 -4.530177984021837
92 0 1 0 0 1 0 0 -1.8211360702599437
93 0 1 0 0 1 0 0 -2.5760501565522347
94 0 1 0 0 1 0 0 -0.44194242548573226
95 0 1 0 0 1 0 0 -3.1378107583813515
