id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_flying mov_other mov_swimming log_mass
0 0 1 0 1 0 0 0 -4.401209493236885
1 0 1 0 1 0 0 0 -4.401209493236885
2 0 1 0 1 0 0 0 -4.241088107602026
3 0 1 0 1 0 0 0 -3.162915585224981
4 0 1 0 0 1 0 0 -3.045992555734253
5 0 1 0 1 0 0 0 -3.6786149377797703
6 0 1 0 1 0 0 0 -1.0333696326390043
7 0 1 0 1 0 0 0 -2.011355664046943
8 0 1 0 1 0 0 0 -1.6499883487058749
9 0 1 0 1 0 0 0 -1.8082521514219363
10 1 0 0 0 1 0 0 2.322219294733919
11 0 0 1 1 0 0 0 1.0
12 1 0 0 0 1 0 0 1.1139433523068367
13 0 1 0 1 0 0 0 -1.7072564408935238
14 0 1 0 1 0 0 0 -0.932466909201775
15 1 0 0 1 0 0 0 3.6989700043360187
16 0 1 0 0 1 0 0 -3.933018468200503
17 0 1 0 0 1 0 0 -1.6186024940037866
18 0 1 0 1 0 0 0 -3.8311755928303914
19 0 1 0 1 0 0 0 -3.8342394583039883
20 0 1 0 1 0 0 0 -3.5585153872046544
21 0 1 0 1 0 0 0 -3.139385331155297
22 0 1 0 1 0 0 0 -1.4123867566219426
23 0 1 0 1 0 0 0 -2.895520878140713
24 0 1 0 1 0 0 0 -3.5301470692438075
25 0 1 0 0 1 0 0 -1.500908873014829
26 0 1 0 0 1 0 0 -1.500908873014829
27 0 1 0 0 1 0 0 -1.61121455981627
28 0 1 0 0 1 0 0 -1.583349375881278
29 0 1 0 0 1 0 0 -1.263120918131119
30 0 1 0 0 1 0 0 -1.2164254233828935
31 0 1 0 1 0 0 0 -2.53372137387798
32 0 1 0 1 0 0 0 -1.7173117851470883
33 0 1 0 1 0 0 0 -3.612250783530338
34 0 1 0 1 0 0 0 -1.9632942317384154
35 0 1 0 1 0 0 0 -1.7962829037194956
36 0 1 0 1 0 0 0 -2.2441208014044043
37 0 1 0 1 0 0 0 -3.4862219090764355
38 0 1 0 1 0 0 0 -3.6786149377797703
39 0 1 0 1 0 0 0 -2.2797612072981064
40 0 1 0 1 0 0 0 -2.2884184940806094
41 0 1 0 1 0 0 0 -2.775653177519495
42 0 1 0 1 0 0 0 -1.7987832409371871
43 0 1 0 1 0 0 0 -2.097992809264027
44 0 0 1 1 0 0 0 1.3010299956639813
45 0 0 1 1 0 0 0 1.6020599913279625
46 0 0 1 1 0 0 0 2.0
47 0 1 0 1 0 0 0 -3.4725995496944693
48 0 1 0 1 0 0 0 -3.4797405502672025
49 0 1 0 1 0 0 0 -1.8541497534445237
50 0 1 0 1 0 0 0 -1.6303750777102142
51 0 1 0 1 0 0 0 -1.06890782289684
52 0 1 0 1 0 0 0 -2.06540540862021
53 0 1 0 1 0 0 0 -2.268480211733375
54 0 1 0 1 0 0 0 -2.053364819592577
55 0 1 0 1 0 0 0 -1.759174239105064
56 0 1 0 1 0 0 0 -1.532185849484152
57 0 1 0 1 0 0 0 -2.4849696120284843
58 0 1 0 1 0 0 0 -3.133224870681251
59 0 1 0 1 0 0 0 -0.6740867738775266
60 0 1 0 0 1 0 0 -1.4820627252632375
61 0 1 0 1 0 0 0 -2.4525330407957555
62 0 1 0 0 1 0 0 -2.2810181954350144
63 0 1 0 0 1 0 0 -3.429356670309371
64 0 1 0 0 1 0 0 -3.111591339971919
65 0 1 0 0 0 0 1 -2.4785743568294087
66 0 1 0 1 0 0 0 -3.6786149377797703
67 0 1 0 1 0 0 0 -3.8809091475782784
68 0 1 0 1 0 0 0 -2.040000828272386
69 0 1 0 0 1 0 0 -3.4516326964348525
70 0 1 0 1 0 0 0 -1.9237856869843326
71 0 1 0 0 1 0 0 -3.5072982656355918
72 0 1 0 1 0 0 0 -2.357801084055539
73 0 1 0 1 0 0 0 -2.6453634264333115
74 0 1 0 1 0 0 0 -1.0678087251340875
75 0 1 0 1 0 0 0 -1.2422885010203517
76 0 1 0 1 0 0 0 -2.1206655248841706
77 0 1 0 1 0 0 0 -2.6361361647489945
78 0 1 0 0 1 0 0 -2.7107487155752117
79 0 1 0 1 0 0 0 -3.227020014641423
80 0 1 0 1 0 0 0 -2.368624689740928
81 0 1 0 0 1 0 0 -3.2744542434484982
82 0 1 0 1 0 0 0 -3.3093167199508917
83 0 1 0 1 0 0 0 -3.1251449306629713
84 0 1 0 1 0 0 0 -4.530177984021837
85 0 1 0 1 0 0 0 -2.291880916146443
86 0 1 0 1 0 0 0 -2.9464463986028333
87 0 1 0 1 0 0 0 -0.7608388212533198
88 0 1 0 1 0 0 0 -3.4359355009512984
89 0 1 0 0 1 0 0 -2.0314163815121953
90 0 1 0 0 1 0 0 -2.8765142347764607
91 0 1 0 0 1 0 0 -2.8765142347764607
92 0 1 0 0 1 0 0 -1.8219013589001187
93 0 1 0 0 1 0 0 -2.2967308101662187
94 0 1 0 1 0 0 0 -3.2991099092982012
95 0 1 0 1 1 0 0 -2.3612692951123675
96 0 1 0 1 0 0 0 -1.9751982087537245
97 0 1 0 0 1 0 0 -2.7973332610726
98 0 1 0 0 0 1 0 -2.2744544068547365
99 0 1 0 0 1 0 0 -3.5988339036358905
100 0 1 0 1 0 0 0 -0.9066147200478085
101 0 1 0 1 0 0 0 -1.9463729242269625
102 0 1 0 1 0 0 0 -1.6616609013012826
103 0 1 0 1 0 0 0 -1.9796459694676447
104 1 0 0 1 0 0 0 1.5440680443502757
105 0 1 0 0 1 0 0 -2.7740808078925348
106 0 1 0 0 1 0 0 -2.7740808078925348
107 0 1 0 0 0 1 0 -0.9973078186772499
108 0 1 0 1 0 0 0 -0.6470521730795386
109 0 1 0 0 1 0 0 -3.6226919272305804
110 0 1 0 1 0 0 0 -2.250299387686847
111 0 1 0 0 1 0 0 -3.195273269744638
112 0 1 0 1 0 0 0 -4.530177984021837
113 0 1 0 1 0 0 0 -1.8908061444494477
114 0 1 0 0 1 0 0 -2.451111338134304
115 0 1 0 0 1 0 0 -3.766597722188105
116 0 1 0 0 1 0 0 -3.5501792371266445
117 0 1 0 1 0 0 0 -2.6077058789985523
118 0 1 0 0 1 0 0 -1.9844197996821227
119 0 1 0 1 0 0 0 -4.530177984021837
120 0 1 0 1 0 0 0 -0.8823041122877335
121 0 1 0 1 0 0 0 -1.8763847056532663
122 0 1 0 0 1 0 0 -1.5224059691578102
123 0 1 0 1 0 0 0 -1.492866142532334
124 0 1 0 0 1 0 0 -2.8765142347764607
125 0 1 0 1 0 0 0 -1.34021663642879
126 0 1 0 1 0 0 0 -1.2581586337851094
