id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
2 1 0 0 0 0 1 0 0 0 -2.4380954374653823 0
3 1 0 0 0 0 1 0 0 0 -2.748441103322807 0
4 1 0 0 0 0 1 0 0 0 -2.5396528129030744 0
5 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
6 1 0 0 0 0 1 0 0 0 -2.43447601664148 0
7 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
8 1 0 0 0 0 1 0 0 0 -3.3305194761167414 0
9 1 0 0 0 0 1 0 0 0 -3.690248502536241 0
10 1 0 0 0 0 1 0 0 0 -3.2591724694538073 0
11 1 0 0 0 0 1 0 0 0 -2.0389074327315884 0
12 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
13 1 0 0 0 0 1 0 0 0 -0.20528899583381566 0
14 1 0 0 0 0 1 0 0 0 -0.2854529461656211 0
15 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
16 1 0 0 0 0 1 0 0 0 -2.001373236475496 0
17 1 0 0 0 0 1 0 0 0 -2.228671556381563 0
18 1 0 0 0 0 1 0 0 0 -1.8328695998238638 0
19 1 0 0 0 0 1 0 0 0 -1.5127857215733602 0
20 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
21 1 0 0 0 0 1 0 0 0 -2.155065471614301 0
22 1 0 0 0 0 1 0 0 0 -2.874855890668581 0
23 1 0 0 0 0 1 0 0 0 -2.639712820871053 0
24 1 0 0 0 0 1 0 0 0 -2.4640283775055027 0
25 1 0 0 0 0 1 0 0 0 -2.5053039890760505 0
26 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
27 1 0 0 0 0 1 0 0 0 -2.3543165447198016 0
28 1 0 0 0 0 1 0 0 0 -2.504042377514516 0
29 1 0 0 0 0 1 0 0 0 -2.4803326330386377 0
30 1 0 0 0 0 1 0 0 0 -2.3042656131434276 0
31 1 0 0 0 0 1 0 0 0 -2.523344413765398 0
32 1 0 0 0 0 1 0 0 0 -2.397892564591475 0
33 1 0 0 0 0 1 0 0 0 -2.7074039382755846 0
34 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
35 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
36 1 0 0 0 0 1 0 0 0 -2.554049744336224 0
37 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
38 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
39 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
40 1 0 0 0 0 1 0 0 0 -2.231738722014685 0
41 1 0 0 0 0 1 0 0 0 -2.855305016168536 0
42 1 0 0 0 0 1 0 0 0 -1.495873746515867 0
43 1 0 0 0 0 1 0 0 0 -4.488116639021126 0
44 1 0 0 0 0 1 0 0 0 -3.670114194945575 0
45 1 0 0 0 0 1 0 0 0 -0.21661413891934903 0
46 1 0 0 0 0 1 0 0 0 -0.6582829158492705 0
47 1 0 0 0 0 1 0 0 0 -1.066454865751787 0
48 1 0 0 0 0 1 0 0 0 -2.9064025311997015 0
49 1 0 0 0 0 1 0 0 0 -0.603696016237837 0
50 1 0 0 0 0 1 0 0 0 -0.3600306764238471 0
51 1 0 0 0 0 1 0 0 0 -0.7159022393149707 0
52 1 0 0 0 0 1 0 0 0 -5.292429823902063 0
53 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
54 1 0 0 0 0 1 0 0 0 -3.75907402741743 0
55 1 0 0 0 0 1 0 0 0 -4.616184634019569 0
56 1 0 0 0 0 1 0 0 0 -4.016824927962187 0
57 1 0 0 0 0 1 0 0 0 -5.213248577854439 0
58 1 0 0 0 0 1 0 0 0 -4.394694953858891 0
59 1 0 0 0 0 1 0 0 0 -4.621602099051862 0
60 1 0 0 0 0 1 0 0 0 -4.095284454721319 0
61 1 0 0 0 0 1 0 0 0 -4.798602875679548 0
62 1 0 0 0 0 1 0 0 0 -5.074172425375258 0
63 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
64 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
65 1 0 0 0 0 1 0 0 0 -4.913640169325252 0
66 1 0 0 0 0 1 0 0 0 -5.147520006363144 0
67 1 0 0 0 0 1 0 0 0 -2.975950487666661 0
68 1 0 0 0 0 1 0 0 0 -2.9908232806905906 0
69 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
70 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
71 1 0 0 0 0 1 0 0 0 -2.9341447842582076 0
72 1 0 0 0 0 1 0 0 0 -2.1306611870648426 0
73 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
74 1 0 0 0 0 1 0 0 0 -5.036212172654444 0
75 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
76 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
77 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
78 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
79 1 0 0 0 0 1 0 0 0 -0.6954682743692796 0
80 1 0 0 0 0 1 0 0 0 -2.5010830982559042 0
81 1 0 0 0 0 1 0 0 0 -3.6636823857539413 0
82 1 0 0 0 0 1 0 0 0 -0.8353167569438102 0
83 1 0 0 0 0 1 0 0 0 -1.3979400086720375 0
84 1 0 0 0 0 1 0 0 0 -1.5231445118815192 1
85 1 0 0 0 0 1 0 0 0 -4.11690664142431 0
86 1 0 0 0 0 1 0 0 0 -5.006563769502388 0
