id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 1 0 0 0 1 0 0 0 -2.2543171533474053 0
1 0 0 0 1 0 0 0 1 0.5276505671266455 0
2 1 0 0 0 1 0 0 0 -4.428291168191312 0
3 1 0 0 0 1 0 0 0 -3.1352896163929027 0
4 1 0 0 0 1 0 0 0 -2.7991645438548676 0
5 1 0 0 0 0 0 0 1 -2.950679619979298 0
6 1 0 0 0 1 0 0 0 -2.7728926405586547 0
7 1 0 0 0 1 0 0 0 -3.425015489443711 0
8 1 0 0 0 1 0 0 0 -2.2649602949662793 0
9 1 0 0 0 1 0 0 0 -3.4070364498832455 0
10 1 0 0 0 1 0 0 0 -3.149512442984616 0
11 1 0 0 0 1 0 0 0 -3.8424163167429337 0
12 1 0 0 0 1 0 0 0 -3.3605573408265563 0
13 1 0 0 0 1 0 0 0 -3.589766185387216 0
14 1 0 0 0 1 0 0 0 -3.8332295705478083 0
15 0 1 0 0 0 1 0 0 -9.7281583934635 1
16 1 0 0 0 1 0 0 0 -3.9565394764220883 0
17 1 0 0 0 1 0 0 0 -3.342541606933079 0
18 1 0 0 0 1 0 0 0 -3.4391396928243534 0
19 1 0 0 0 1 0 0 0 -3.637112448102188 0
20 1 0 0 0 1 0 0 0 -3.4729800860295894 0
21 1 0 0 0 1 0 0 0 -2.654256443343417 0
22 1 0 0 0 1 0 0 0 -3.676152056476325 0
23 1 0 0 0 1 0 0 0 -3.702425498658754 0
24 1 0 0 0 1 0 0 0 -3.307329300843631 0
25 1 0 0 0 1 0 0 0 -3.416801226031377 0
26 1 0 0 0 1 0 0 0 -3.09317167300437 0
27 0 0 1 0 0 0 1 0 -9.405607449624574 0
28 1 0 0 0 1 0 0 0 -3.7534226427697543 0
29 0 0 1 0 0 0 1 0 -9.209011524911185 0
30 0 0 1 0 0 0 1 0 -9.449771646944907 0
31 0 0 1 0 0 0 1 0 -8.823908740944319 0
32 0 0 1 0 0 0 1 0 -9.52432881167557 0
33 0 1 0 0 0 1 0 0 -9.7281583934635 1
34 0 0 1 0 0 0 1 0 -9.193820026016112 0
35 0 0 1 0 0 0 1 0 -9.127843727251706 0
36 0 0 1 0 0 0 1 0 -9.7281583934635 0
37 1 0 0 0 1 0 0 0 -3.610098896302817 0
38 0 0 1 0 0 0 1 0 -9.250263684430939 0
39 0 0 1 0 0 0 1 0 -7.675717544702307 0
40 0 0 1 0 0 0 1 0 -9.0 0
