id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.258848401148216 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.0 0
3 0 0 1 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 -4.841637507904751 0
5 0 0 1 0 1 0 0 -4.166215625343521 0
6 0 0 0 1 0 0 1 -9.821023052706831 0
7 0 0 0 1 0 0 1 -9.621602099051863 0
8 0 0 1 0 1 0 0 -6.497572880015567 0
9 0 0 1 0 1 0 0 -5.133712660915805 0
10 1 0 0 0 1 0 0 2.505149978319906 0
11 1 0 0 0 1 0 0 3.2730012720637376 0
12 0 0 1 0 1 0 0 -4.649751981665837 0
13 0 0 1 0 1 0 0 -3.9136401693252516 0
14 1 0 0 0 1 0 0 1.6989700043360187 0
15 0 0 1 0 1 0 0 -2.341035157335565 0
16 0 0 1 0 1 0 0 -5.0 0
17 1 0 0 0 1 0 0 1.4668676203541093 0
18 1 0 0 0 1 0 0 0.6020599913279624 0
19 1 0 0 0 1 0 0 1.8129133566428555 0
20 1 0 0 0 1 0 0 2.4149733479708178 0
21 0 0 1 0 1 0 0 -5.164309428507575 0
22 1 0 0 0 1 0 0 -1.7958800173440752 0
23 0 0 0 1 0 0 1 -9.290730039024169 0
24 0 0 1 0 1 0 0 -5.809668301829708 0
25 0 0 0 1 0 0 1 -10.438898616350944 0
26 1 0 0 0 1 0 0 2.9745116927373285 0
27 1 0 0 0 1 0 0 2.285557309007774 0
28 1 0 0 0 1 0 0 1.6532125137753437 0
29 1 0 0 0 1 0 0 3.157012094942076 0
30 0 0 0 1 1 0 0 -8.590066876668706 0
31 0 0 0 1 0 0 1 -10.8153085691824 0
32 0 0 0 1 0 0 1 -9.0 0
33 0 0 0 1 0 0 1 -9.116338564846382 0
34 0 0 0 1 0 0 1 -10.137272471682026 0
35 0 0 1 0 1 0 0 -4.493494967595128 0
36 0 0 1 0 1 0 0 -5.73754891026957 0
37 0 0 1 0 1 0 0 -6.497572880015567 0
38 0 0 0 1 0 0 1 -10.323306390375134 0
39 0 0 1 0 1 0 0 -4.396855627379818 0
40 0 0 1 0 1 0 0 -6.068033885271827 0
41 0 0 1 0 1 0 0 -7.698970004336019 0
42 0 0 1 0 1 0 0 -8.0 0
43 0 0 1 0 1 0 0 -8.0 0
44 0 0 1 0 1 0 0 -5.962573502059376 0
45 0 0 1 0 1 0 0 -6.068033885271827 0
46 0 0 1 0 1 0 0 -4.863279432843593 0
47 0 0 1 0 1 0 0 -6.6020599913279625 0
48 0 0 1 0 1 0 0 -6.127261172527331 0
49 0 0 1 0 1 0 0 -2.7417564900754843 0
50 0 0 0 1 0 0 1 -9.978810700930062 0
51 0 0 0 1 0 0 1 -8.866461091629782 0
52 0 0 0 1 0 0 1 -8.866461091629782 0
53 0 0 0 1 0 0 1 -9.707743928643524 0
54 0 0 0 1 0 0 1 -8.54515513999149 0
55 0 0 0 1 0 0 1 -8.027334407733889 0
56 1 0 0 0 1 0 0 2.3521825181113627 0
57 0 0 0 1 0 0 1 -8.247951552180561 0
58 0 0 0 1 0 0 1 -10.61798295742513 0
59 0 0 0 1 0 0 1 -9.045275209020938 0
60 0 0 0 1 0 0 1 -7.064996848546345 0
61 0 0 0 1 1 0 0 -7.251811972993799 0
62 0 0 0 1 1 0 0 -7.251811972993799 0
63 1 0 0 0 1 0 0 3.0293837776852097 0
64 0 0 0 1 0 0 1 -9.023191662661933 0
65 0 0 0 1 0 0 1 -10.114638779968487 0
66 0 0 0 1 0 0 1 -8.954677021213342 0
67 0 0 0 1 0 0 1 -9.059483515067432 0
68 0 0 0 1 0 0 1 -8.97061622231479 0
69 0 1 0 0 0 1 0 -11.45717457304082 1
70 1 0 0 0 0 0 1 -1.6968039425795112 0
71 0 0 0 1 1 0 0 -11.45717457304082 0
