id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_detritus met_heterotrophic_fungi met_ectotherm_vertebrate mov_walking mov_sessile mov_other mov_other_nonliving mov_swimming log_mass mass_missing
0 0 1 0 0 0 0 0 1 0 0 0 -9.705533773838408 0
1 1 0 0 0 0 0 1 0 0 0 0 -4.412289034981089 0
2 1 0 0 0 0 0 1 0 0 0 0 -4.416801226031377 0
3 1 0 0 0 0 0 1 0 0 0 0 -4.6252516539898965 0
4 1 0 0 0 0 0 1 0 0 0 0 -4.772113295386326 0
5 1 0 0 0 0 0 1 0 0 0 0 -4.298432014944073 0
6 1 0 0 0 0 0 1 0 0 0 0 -3.3830311306340266 0
7 1 0 0 0 0 0 0 1 0 0 0 -3.638461028730721 0
8 1 0 0 0 0 0 0 1 0 0 0 -3.5378147087211578 0
9 0 1 0 0 0 0 0 1 0 0 0 -9.735182176990463 0
10 0 1 0 0 0 0 0 1 0 0 0 -10.838631997765026 0
11 0 1 0 0 0 0 0 1 0 0 0 -10.899629454882437 0
12 0 0 1 0 0 0 0 0 1 0 0 -10.899629454882437 1
13 0 0 0 1 0 0 0 0 0 1 0 -10.899629454882437 1
14 0 1 0 0 0 0 0 1 0 0 0 -8.723538195826755 0
15 0 1 0 0 0 0 0 1 0 0 0 -9.367542707815275 0
16 1 0 0 0 0 0 0 0 0 0 1 -2.768591072307421 0
17 1 0 0 0 0 0 1 0 0 0 0 -3.6963072728048822 0
18 0 0 0 0 0 1 0 0 0 0 1 0.8245540493594253 0
19 0 1 0 0 0 0 0 1 0 0 0 -8.698970004336019 0
20 0 1 0 0 0 0 0 1 0 0 0 -9.578396073130168 0
21 0 1 0 0 0 0 0 1 0 0 0 -8.581698708680255 0
22 0 0 0 1 0 0 0 0 0 1 0 -10.899629454882437 1
23 0 1 0 0 0 0 0 1 0 0 0 -9.714442690992227 0
24 0 1 0 0 0 0 0 1 0 0 0 -9.22257317761069 0
25 0 1 0 0 0 0 0 1 0 0 0 -10.1073489661227 0
26 0 0 0 0 1 0 0 1 0 0 0 -10.899629454882437 1
27 0 1 0 0 0 0 0 1 0 0 0 -10.309803919971486 0
28 0 1 0 0 0 0 0 1 0 0 0 -9.931814138253838 0
29 0 1 0 0 0 0 0 1 0 0 0 -10.242603971206975 0
30 1 0 0 0 0 0 0 0 0 0 1 -2.740851393645418 0
31 0 1 0 0 0 0 0 1 0 0 0 -10.899629454882437 1
32 0 1 0 0 0 0 0 1 0 0 0 -10.370590400897282 0
33 0 1 0 0 0 0 0 1 0 0 0 -9.20620961530918 0
34 0 1 0 0 0 0 0 1 0 0 0 -9.302770657240282 0
35 0 1 0 0 0 0 0 1 0 0 0 -10.480172006224281 0
36 0 1 0 0 0 0 0 1 0 0 0 -8.97061622231479 0
37 0 1 0 0 0 0 0 1 0 0 0 -10.504455662453552 0
38 0 1 0 0 0 0 0 1 0 0 0 -9.96657624451305 0
39 0 1 0 0 0 0 0 1 0 0 0 -10.576754126063193 0
40 0 1 0 0 0 0 0 1 0 0 0 -8.045757490560675 0
41 0 1 0 0 0 0 0 1 0 0 0 -8.415668775632469 0
42 0 0 0 1 0 0 0 0 0 1 0 -10.899629454882437 1
