id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -1.6989700043360187
1 1 0 0 0 1 0 0 -0.1191864077192087
2 0 1 0 1 0 0 0 -0.10237290870955855
3 0 1 0 1 0 0 0 0.17897694729316949
4 0 1 0 1 0 0 0 -0.43179827593300507
5 0 1 0 1 0 0 0 -0.8239087409443187
6 0 1 0 1 0 0 0 -0.11350927482751812
7 1 0 0 0 1 0 0 -2.0
8 1 0 0 1 0 0 0 -2.0
9 1 0 0 0 0 0 1 -2.0
10 0 1 0 1 0 0 0 -2.0
11 1 0 0 1 0 0 0 -0.44369749923271273
12 1 0 0 1 0 0 0 -0.6575773191777937
13 0 0 1 0 0 0 1 -3.642065152999546
14 1 0 0 0 1 0 0 -0.9208187539523752
15 1 0 0 0 1 0 0 -2.3010299956639813
16 1 0 0 1 0 0 0 -1.8860566476931633
17 1 0 0 1 0 0 0 -2.6989700043360187
18 1 0 0 0 1 0 0 -1.5228787452803374
19 1 0 0 1 0 0 0 -3.0
20 1 0 0 0 1 0 0 -3.3979400086720375
21 1 0 0 0 1 0 0 -2.0
22 1 0 0 0 1 0 0 1.2229764498933913
23 1 0 0 0 1 0 0 -0.3467874862246564
24 1 0 0 0 1 0 0 -2.3979400086720375
25 1 0 0 0 1 0 0 -1.3979400086720375
26 1 0 0 1 0 0 0 -3.3010299956639813
27 1 0 0 0 1 0 0 -2.0
28 1 0 0 0 1 0 0 -1.958607314841775
29 1 0 0 0 1 0 0 -2.0
30 0 0 1 0 0 0 1 -3.642065152999546
31 1 0 0 0 0 0 1 1.6856521841155243
32 1 0 0 0 0 0 1 -2.0
33 0 0 1 0 0 0 1 -3.642065152999546
34 0 0 1 0 0 0 1 -3.642065152999546
35 0 0 1 0 0 0 1 -3.642065152999546
36 1 0 0 0 1 0 0 -2.0
37 1 0 0 0 1 0 0 -1.3979400086720375
38 0 0 1 0 0 0 1 -3.642065152999546
39 1 0 0 0 0 0 1 -2.154901959985743
40 1 0 0 0 1 0 0 -1.6989700043360187
41 1 0 0 0 0 1 1 -2.0
42 0 0 1 0 0 1 0 -4.0
43 1 0 0 1 0 0 0 -3.0
44 1 0 0 0 1 0 0 -2.221848749616356
45 0 0 1 0 0 0 1 -3.642065152999546
46 0 0 1 0 0 0 1 -3.642065152999546
47 0 0 1 0 0 0 1 -3.642065152999546
