id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.6420651529995465
1 1 0 0 0 0 1 0 0.47275644931721233
2 0 0 1 1 0 0 0 -0.06550154875643234
3 1 0 0 0 0 0 1 -0.4202164033831899
4 0 0 1 1 0 0 0 -0.9999999999999999
5 0 0 1 1 0 0 0 -0.1804560644581313
6 1 0 0 0 0 0 1 -0.7212463990471711
7 1 0 0 0 0 0 1 0.008600171761917474
8 0 1 0 0 0 1 0 -3.6420651529995465
9 1 0 0 0 0 1 0 1.407900540142635
10 1 0 0 0 0 0 1 -0.494850021680094
11 0 1 0 0 0 1 0 -3.6420651529995465
12 0 1 0 0 0 1 0 -3.6420651529995465
13 0 1 0 0 0 1 0 -3.6420651529995465
14 0 1 0 0 0 1 0 -3.6420651529995465
15 0 1 0 0 0 1 0 -3.6420651529995465
16 0 1 0 0 0 1 0 -3.6420651529995465
17 1 0 0 0 0 1 0 0.05690485133647255
18 1 0 0 0 0 0 1 -0.2924298239020637
19 0 1 0 0 0 1 0 -3.6420651529995465
20 0 1 0 0 1 0 0 -4.0
21 1 0 0 1 0 0 0 -3.0
22 0 1 0 0 0 1 0 -3.6420651529995465
