id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_sessile mov_other log_mass
0 1 0 0 1 0 0 0 -2.154901959985743
1 1 0 0 1 0 0 0 0.5237464668115646
2 0 1 0 0 1 0 0 -0.14266750356873156
3 0 1 0 0 1 0 0 -0.12493873660829993
4 1 0 0 1 0 0 0 -0.0506099933550872
5 1 0 0 0 0 1 0 -0.9746941347352298
6 1 0 0 0 1 0 0 -2.0
7 1 0 0 0 0 1 0 0.6464037262230697
8 1 0 0 0 0 1 0 -2.0
9 0 0 1 0 0 1 0 -3.642065152999546
10 1 0 0 0 0 1 0 1.0496056125949733
11 1 0 0 1 0 0 0 -0.9999999999999999
12 1 0 0 1 0 0 0 -2.5086383061657274
13 1 0 0 0 1 0 0 -2.0
14 1 0 0 1 0 0 0 -2.0
15 1 0 0 0 1 0 0 -2.958607314841775
16 1 0 0 1 0 0 0 -0.585026652029182
17 1 0 0 1 0 0 0 -1.853871964321762
18 1 0 0 0 1 0 0 -2.0
19 1 0 0 1 0 0 0 -2.6989700043360187
20 1 0 0 0 1 0 0 -2.0
21 1 0 0 1 0 0 0 -3.154901959985743
22 1 0 0 1 0 0 0 -2.5528419686577806
23 1 0 0 1 0 0 0 0.5658478186735176
24 1 0 0 1 0 0 0 -0.5228787452803376
25 1 0 0 1 0 0 0 -2.0
26 1 0 0 1 0 0 0 -2.6020599913279625
27 1 0 0 1 0 0 0 -2.1023729087095586
28 1 0 0 0 1 0 0 -2.0
29 1 0 0 1 0 0 0 -1.886056647693163
30 0 0 1 0 0 1 0 -3.642065152999546
31 0 0 1 0 0 1 0 -3.642065152999546
32 0 0 1 0 0 1 0 -3.642065152999546
33 0 0 1 0 0 1 0 -3.642065152999546
34 0 0 1 0 0 1 0 -3.642065152999546
35 1 0 0 1 0 0 0 -0.9281179926938746
36 0 0 1 0 0 1 0 -3.642065152999546
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
39 0 0 1 0 0 1 0 -3.642065152999546
40 1 0 0 0 0 1 0 -1.958607314841775
41 1 0 0 0 0 1 0 0.2988530764097066
42 1 0 0 1 0 0 0 -2.0
43 1 0 0 1 0 0 0 -2.0
44 0 0 1 0 0 0 1 -4.0
45 1 0 0 0 0 1 0 -2.0
46 1 0 0 1 0 0 0 -2.2596373105057563
47 1 0 0 0 0 1 0 -2.2006594505464183
48 1 0 0 1 0 0 0 -2.721246399047171
49 1 0 0 0 0 1 0 -2.677780705266081
50 1 0 0 0 1 0 0 -3.0
51 1 0 0 1 0 0 0 -2.5686362358410126
52 1 0 0 1 0 0 0 -2.0
53 0 0 1 0 0 1 0 -3.642065152999546
54 0 0 1 0 0 1 0 -3.642065152999546
55 0 0 1 0 0 1 0 -3.642065152999546
