id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_sessile mov_other mov_walking log_mass
0 1 0 0 0 0 0 1 -2.431798275933005
1 0 0 1 1 0 0 0 -0.05551732784983132
2 0 0 1 1 0 0 0 0.2648178230095366
3 1 0 0 1 0 0 0 -3.154901959985743
4 1 0 0 0 1 0 0 -2.0
5 1 0 0 0 0 0 1 -2.769551078621726
6 0 1 0 0 1 0 0 -3.642065152999546
7 1 0 0 0 1 0 0 0.5037906830571811
8 1 0 0 0 0 0 1 -2.0
9 1 0 0 1 0 0 0 -3.6989700043360187
10 1 0 0 0 0 0 1 -0.5228787452803376
11 1 0 0 0 0 0 1 -2.113509274827518
12 1 0 0 1 0 0 0 -2.0
13 1 0 0 1 0 0 0 -2.744727494896694
14 1 0 0 0 0 0 1 0.31175386105575426
15 1 0 0 0 0 0 1 -3.3979400086720375
16 1 0 0 0 0 0 1 -3.6989700043360187
17 1 0 0 0 0 0 1 -2.744727494896694
18 1 0 0 0 0 0 1 0.5211380837040362
19 1 0 0 0 0 0 1 0.17318626841227402
20 1 0 0 0 0 0 1 -2.721246399047171
21 1 0 0 1 0 0 0 -2.0
22 0 1 0 0 1 0 0 -3.642065152999546
23 0 1 0 0 1 0 0 -3.642065152999546
24 1 0 0 1 0 0 0 -3.0
25 0 1 0 0 1 0 0 -3.642065152999546
26 0 1 0 0 1 0 0 -3.642065152999546
27 0 1 0 0 1 0 0 -3.642065152999546
28 1 0 0 0 1 0 0 0.13987908640123647
29 1 0 0 0 0 0 1 -0.05551732784983132
30 1 0 0 0 0 0 1 -2.0
31 1 0 0 0 0 0 1 -2.0
32 0 1 0 0 0 1 0 -4.0
33 1 0 0 0 1 0 0 0.3053513694466238
34 1 0 0 0 0 0 1 -2.0
35 1 0 0 1 0 0 0 -3.0
36 1 0 0 0 0 0 1 -2.0
37 1 0 0 0 0 0 1 -2.0
38 0 1 0 0 1 0 0 -3.642065152999546
39 0 1 0 0 1 0 0 -3.642065152999546
40 0 1 0 0 1 0 0 -3.642065152999546
