id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 1 0 0 0 0 1 0 -0.6819366650372384
1 1 0 0 0 1 0 0 0.2764618041732441
2 1 0 0 0 1 0 0 0.9740509027928773
3 0 1 0 1 0 0 0 -0.744727494896694
4 0 1 0 1 0 0 0 -0.494850021680094
5 1 0 0 0 0 1 0 0.29446622616159285
6 1 0 0 1 0 0 0 -2.0
7 1 0 0 0 1 0 0 1.2607866686549762
8 1 0 0 0 1 0 0 -0.3010299956639812
9 1 0 0 1 0 0 0 -0.8239087409443189
10 1 0 0 1 0 0 0 -0.42021640338318983
11 1 0 0 0 0 1 0 -2.744727494896694
12 0 0 1 0 1 0 0 -3.642065152999546
13 1 0 0 1 0 0 0 -2.0
14 1 0 0 0 0 1 0 -0.585026652029182
15 1 0 0 1 0 0 0 -2.0
16 1 0 0 0 0 1 0 -2.0
17 1 0 0 0 0 1 0 -3.154901959985743
18 1 0 0 0 0 1 0 -2.0
19 1 0 0 0 0 1 0 -2.0
20 1 0 0 0 0 1 0 -2.0
21 1 0 0 0 0 1 0 -2.0
22 1 0 0 0 0 1 0 -2.0
23 0 0 1 0 1 0 0 -3.642065152999546
24 1 0 0 0 0 1 0 0.05307844348341968
25 0 0 1 0 1 0 0 -3.642065152999546
26 0 0 1 0 1 0 0 -3.642065152999546
27 0 0 1 0 1 0 0 -3.642065152999546
28 1 0 0 0 0 1 0 -2.0
29 1 0 0 1 0 0 0 -2.0
30 1 0 0 0 1 0 0 -1.1739251972991736
31 1 0 0 0 1 0 0 -2.0
32 1 0 0 0 1 0 0 -0.21467016498923297
33 1 0 0 0 0 1 0 -2.0
34 1 0 0 0 0 1 0 -2.0
35 0 0 1 0 0 0 1 -4.0
36 1 0 0 0 0 1 0 -2.0
37 1 0 0 0 1 0 0 -2.0
38 1 0 0 1 0 0 0 -3.0
39 1 0 0 0 1 0 0 -0.5086383061657274
40 0 0 1 0 1 0 0 -3.642065152999546
41 0 0 1 0 1 0 0 -3.642065152999546
42 1 0 0 0 1 0 0 0.17609125905568124
