id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_other mov_swimming mov_sessile log_mass
0 0 1 0 0 1 0 0 -8.355561410532161
1 1 0 0 1 0 0 0 -3.4008912730886314
2 1 0 0 1 0 0 0 -3.5588942711205087
3 1 0 0 1 0 0 0 -3.2686675361141155
4 1 0 0 1 0 0 0 -3.763387171800231
5 1 0 0 1 0 0 0 -5.156144577376839
6 1 0 0 1 0 0 0 -4.004803708402821
7 1 0 0 1 0 0 0 -3.889100670696463
8 1 0 0 1 0 0 0 -3.7773615528335656
9 1 0 0 1 0 0 0 -4.012780770091995
10 1 0 0 1 0 0 0 -4.031517051446065
11 1 0 0 0 0 1 0 -2.3106758653473003
12 0 0 1 0 0 1 0 1.309605077040566
13 1 0 0 1 0 0 0 -3.64458296426271
14 1 0 0 1 0 0 0 -2.1922978480687645
15 1 0 0 1 0 0 0 -2.2293641588601423
16 1 0 0 1 0 0 0 -4.286509456906058
17 0 0 1 0 0 1 0 0.6975627719925391
18 1 0 0 1 0 0 0 -3.173827330018479
19 1 0 0 1 0 0 0 -3.77546434769095
20 1 0 0 1 0 0 0 -2.8916653757999957
21 1 0 0 1 0 0 0 -3.936662887438872
22 1 0 0 0 1 0 0 -2.79215109620908
23 1 0 0 1 0 0 0 -3.420593717711893
24 1 0 0 1 0 0 0 -3.980513989374211
25 0 0 1 0 0 1 0 0.25658459723648624
26 1 0 0 1 0 0 0 -3.4705555287250403
27 1 0 0 1 0 0 0 -3.7060190437655725
28 1 0 0 1 0 0 0 -3.937974871178138
29 1 0 0 0 0 0 1 -3.7759462983253114
30 1 0 0 0 0 0 1 -3.325600944588754
31 0 0 1 0 0 1 0 1.4688412278385674
32 1 0 0 1 0 0 0 -3.8403636379459956
33 1 0 0 1 0 0 0 -4.484126156288321
34 1 0 0 1 0 0 0 -3.8156010358187302
35 0 1 0 0 1 0 0 -8.441291429466835
36 0 1 0 0 1 0 0 -9.039529222465701
37 1 0 0 1 0 0 0 -1.9746582864344515
38 0 0 1 0 0 1 0 2.1156660083007566
39 0 1 0 0 1 0 0 -8.935542010773082
40 1 0 0 1 0 0 0 -1.6985170109455643
41 1 0 0 1 0 0 0 -2.945220765772515
42 1 0 0 1 0 0 0 -2.145560471125291
43 1 0 0 1 0 0 0 -3.240131293363228
44 1 0 0 1 0 0 0 -3.566406158978533
45 1 0 0 1 0 0 0 -3.826400037300484
46 1 0 0 1 0 0 0 -3.4822816789624857
47 1 0 0 1 0 0 0 -2.4956626407089177
48 1 0 0 1 0 0 0 -3.24722040100098
49 1 0 0 0 1 0 1 -3.050652936955039
50 1 0 0 1 0 0 0 -3.9257615408262465
51 1 0 0 1 0 0 0 -4.287350298372789
52 1 0 0 1 0 0 0 -3.3793279170661137
53 1 0 0 1 0 0 0 -2.1174417671093773
54 1 0 0 1 0 0 0 -2.7694695921846395
55 1 0 0 1 0 0 0 -2.7240644934661122
56 1 0 0 1 0 0 0 -4.006123085058789
57 1 0 0 1 0 0 0 -3.2769328216933684
58 0 1 0 0 1 0 0 -9.281498311132726
59 0 0 1 0 0 1 0 0.3496995527725849
60 1 0 0 1 0 0 0 -3.199485685613443
61 0 0 1 0 0 1 0 0.9823027469728683
62 1 0 0 1 0 0 0 -2.3948680595539384
63 1 0 0 1 0 0 0 -2.463376670600505
64 1 0 0 1 0 0 0 -3.46270489192871
65 1 0 0 1 0 0 0 -3.4398625304446457
66 1 0 0 1 0 0 0 -3.4942790285264684
67 1 0 0 1 0 0 0 -3.3287956743911384
68 1 0 0 1 0 0 0 -2.6987969724592924
69 0 1 0 0 1 0 0 -8.163675884293248
70 0 1 0 0 1 0 0 -7.345823458122039
71 0 1 0 0 1 0 0 -7.826813731587726
72 0 1 0 0 1 0 0 -7.221125527997261
73 0 1 0 0 1 0 0 -6.062482107982653
74 0 1 0 0 1 0 0 -8.462180904926726
75 0 1 0 0 1 0 0 -8.118045028660399
76 0 1 0 0 1 0 0 -8.41228903498109
77 0 1 0 0 1 0 0 -7.279840696594043
78 1 0 0 1 0 0 0 -1.6697646081353357
79 0 1 0 0 1 0 0 -8.301029995663981
80 1 0 0 1 0 0 0 -4.024108863598207
81 0 1 0 0 1 0 0 -8.193141970481182
82 1 0 0 0 0 1 0 -3.8210489385798416
83 0 1 0 0 1 0 0 -8.452225294612177
84 0 1 0 0 1 0 0 -7.889410289700751
85 0 1 0 0 1 0 0 -7.950781977329818
86 0 1 0 0 1 0 0 -7.889410289700751
87 0 1 0 0 1 0 0 -7.436518914605589
88 0 1 0 0 1 0 0 -8.447331783887806
89 0 1 0 0 1 0 0 -7.889410289700751
90 0 1 0 0 1 0 0 -7.496209316942819
91 0 1 0 0 1 0 0 -8.954677021213342
92 0 1 0 0 1 0 0 -7.889410289700751
93 0 1 0 0 1 0 0 -7.889410289700751
94 0 1 0 0 1 0 0 -7.889410289700751
95 0 1 0 0 1 0 0 -7.607303046740334
96 0 1 0 0 1 0 0 -8.221848749616356
97 0 1 0 0 1 0 0 -8.221848749616356
98 0 1 0 0 1 0 0 -9.327902142064282
99 0 1 0 0 1 0 0 -8.221848749616356
100 0 1 0 0 1 0 0 -8.221848749616356
101 0 1 0 0 1 0 0 -8.301029995663981
102 0 1 0 0 1 0 0 -7.694648630553377
103 0 1 0 0 1 0 0 -8.0
104 0 1 0 0 1 0 0 -8.684029654543082
