id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_flying mov_walking mov_sessile mov_other log_mass mass_missing
0 1 0 0 1 0 0 0 2.776701183988411 0
1 1 0 0 1 0 0 0 3.2988530764097064 0
2 1 0 0 1 0 0 0 2.978180516937414 0
3 1 0 0 1 0 0 0 2.88280904139244 0
4 1 0 0 1 0 0 0 2.909806014896665 0
5 1 0 0 0 1 0 0 3.5185139398778875 0
6 1 0 0 0 1 0 0 3.4771212547196626 0
7 1 0 0 0 1 0 0 4.096910013008056 0
8 1 0 0 0 1 0 0 5.273001272063738 0
9 1 0 0 0 1 0 0 3.6989700043360187 0
10 1 0 0 0 1 0 0 1.7715874808812555 0
11 1 0 0 0 1 0 0 2.1271047983648077 0
12 1 0 0 1 0 0 0 2.5881596163830918 0
13 1 0 0 0 1 0 0 5.0 0
14 0 0 1 0 0 0 1 -2.6989700043360187 0
15 1 0 0 1 0 0 0 1.5314789170422551 0
16 1 0 0 1 0 0 0 1.768539689474662 0
17 0 1 0 0 0 1 0 -2.6989700043360187 1
18 1 0 0 0 1 0 0 1.6434526764861874 0
19 0 1 0 0 0 1 0 -2.6989700043360187 1
20 1 0 0 1 0 0 0 2.9750523278504812 0
21 0 1 0 0 0 1 0 -2.6989700043360187 1
22 0 1 0 0 0 1 0 -2.6989700043360187 1
23 0 1 0 0 0 1 0 -2.6989700043360187 1
