id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 1 0 0 0 -2.1191864077192086
1 1 0 0 0 0 0 1 -2.0
2 0 0 1 1 0 0 0 0.021189299069938182
3 0 0 1 1 0 0 0 -2.0
4 0 0 1 1 0 0 0 -0.34678748622465627
5 1 0 0 0 0 1 0 0.23552844690754882
6 1 0 0 0 0 1 0 -3.3979400086720375
7 1 0 0 1 0 0 0 -2.8860566476931635
8 0 1 0 0 0 0 1 -3.642065152999546
9 1 0 0 1 0 0 0 -3.0
10 1 0 0 1 0 0 0 -3.154901959985743
11 1 0 0 0 0 1 0 -2.0
12 1 0 0 0 0 1 0 -2.0
13 0 1 0 0 0 0 1 -3.642065152999546
14 1 0 0 0 0 1 0 -2.0
15 0 1 0 0 0 0 1 -3.642065152999546
16 0 1 0 0 1 0 0 -4.0
17 1 0 0 1 0 0 0 -3.0
18 1 0 0 0 0 1 0 -2.0
19 0 1 0 0 0 0 1 -3.642065152999546
20 0 1 0 0 0 0 1 -3.642065152999546
