id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 0 1 -2.0
2 1 0 0 0 0 0 1 -2.0
3 1 0 0 0 0 0 1 -2.0
4 1 0 0 0 0 0 1 -0.031517051446064856
5 1 0 0 0 0 0 1 -2.0
6 0 1 0 1 0 0 0 -3.642065152999546
7 0 0 1 0 0 1 0 -2.0
8 0 1 0 1 0 0 0 -3.642065152999546
9 0 1 0 1 0 0 0 -3.642065152999546
10 1 0 0 1 0 0 0 -1.6989700043360187
11 1 0 0 0 0 0 1 0.5797835966168101
12 0 1 0 0 1 0 0 -4.0
13 1 0 0 1 0 0 0 -2.0
14 1 0 0 0 0 1 0 -3.0
15 1 0 0 0 0 0 1 -2.0
16 0 1 0 1 0 0 0 -3.642065152999546
17 0 1 0 1 0 0 0 -3.642065152999546
