id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.8392314381388719
2 1 0 0 0 0 1 0.20071373396401324
3 1 0 0 0 0 1 -0.7219326691113375
4 1 0 0 0 0 1 -0.9037854146535949
5 1 0 0 0 0 1 -2.0
6 1 0 0 0 0 1 -0.247797846823479
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 1 0 0 0 -3.642065152999546
9 0 1 1 0 0 0 -3.642065152999546
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 0.33525725643453186
13 1 0 0 0 1 0 -3.0
14 0 1 1 0 0 0 -3.642065152999546
15 0 1 1 0 0 0 -3.642065152999546
16 0 1 1 0 0 0 -3.642065152999546
17 0 1 1 0 0 0 -3.642065152999546
18 1 0 0 0 0 1 -1.9586073148417749
19 1 0 0 0 0 1 -3.3979400086720375
