id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 1 0 0 0 -2.0
1 1 0 0 0 0 0 1 -2.886056647693163
2 0 0 1 0 0 1 0 -0.27572413039921084
3 1 0 0 0 0 0 1 0.6589648426644349
4 0 1 0 1 0 0 0 -3.642065152999546
5 1 0 0 0 0 1 0 -3.0
6 1 0 0 0 0 1 0 -3.6989700043360187
7 1 0 0 0 0 0 1 -2.886056647693163
8 1 0 0 0 0 0 1 -3.5228787452803374
9 0 0 1 0 0 1 0 -0.8239087409443188
10 1 0 0 0 0 0 1 -2.0
11 1 0 0 0 0 0 1 -3.5228787452803374
12 0 1 0 1 0 0 0 -3.642065152999546
13 0 1 0 0 1 0 0 -4.0
14 1 0 0 1 0 0 0 -2.0
15 1 0 0 0 0 1 0 -3.0
16 0 1 0 1 0 0 0 -3.642065152999546
17 0 1 0 1 0 0 0 -3.642065152999546
18 0 1 0 1 0 0 0 -3.642065152999546
19 1 0 0 0 0 0 1 -3.5228787452803374
