id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 1 0 0 1 0 0 0 -2.795880017344075
1 0 1 0 1 0 0 0 -0.6478174818886375
2 0 1 0 1 0 0 0 -0.37675070960209955
3 1 0 0 1 0 0 0 -0.27572413039921095
4 1 0 0 1 0 0 0 -0.9208187539523751
5 1 0 0 1 0 0 0 -0.22914798835785583
6 1 0 0 0 0 1 0 1.9804578922761
7 1 0 0 1 0 0 0 -1.6575773191777938
8 0 0 1 0 0 1 0 -3.642065152999546
9 1 0 0 0 1 0 0 -2.0
10 1 0 0 0 1 0 0 -2.638272163982407
11 1 0 0 1 0 0 0 -1.958607314841775
12 1 0 0 0 1 0 0 -1.9999999999999998
13 1 0 0 1 0 0 0 -3.154901959985743
14 1 0 0 0 1 0 0 -0.5199930570428494
15 1 0 0 0 1 0 0 -1.6382721639824072
16 1 0 0 0 1 0 0 -2.9208187539523753
17 1 0 0 1 0 0 0 -3.0969100130080562
18 1 0 0 0 1 0 0 -2.0
19 1 0 0 0 1 0 0 -3.3279021420642825
20 1 0 0 0 1 0 0 -2.657577319177794
21 1 0 0 0 1 0 0 0.22788670461367355
22 1 0 0 0 1 0 0 -0.6197887582883939
23 1 0 0 0 1 0 0 -2.8860566476931635
24 1 0 0 0 1 0 0 -2.8239087409443187
25 1 0 0 1 0 0 0 -3.0969100130080562
26 1 0 0 0 0 1 0 -2.4436974992327127
27 0 0 1 0 0 1 0 -3.642065152999546
28 1 0 0 0 1 0 0 -2.958607314841775
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 0 1 0 0 1 0 -3.642065152999546
31 0 0 1 0 0 1 0 -3.642065152999546
32 0 0 1 0 0 1 0 -3.642065152999546
33 1 0 0 0 1 0 0 -0.7594507517174003
34 1 0 0 0 1 0 0 -2.1804560644581312
35 0 0 1 0 0 1 0 -3.642065152999546
36 1 0 0 1 0 0 0 -1.9208187539523753
37 0 0 1 0 0 1 0 -3.642065152999546
38 1 0 0 0 0 1 0 -1.853871964321762
39 1 0 0 0 1 0 0 -2.00436480540245
40 1 0 0 0 0 1 0 -0.8538719643217619
41 1 0 0 0 1 0 0 -2.431798275933005
42 1 0 0 0 1 0 0 -2.0
43 1 0 0 0 1 0 0 2.1398790864012365
44 0 0 1 0 0 0 1 -4.0
45 1 0 0 1 0 0 0 -3.0
46 0 0 1 0 0 1 0 -3.642065152999546
47 0 0 1 0 0 1 0 -3.642065152999546
48 0 0 1 0 0 1 0 -3.642065152999546
49 1 0 0 0 0 1 0 -2.5686362358410126
