id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -1.408935392973501
1 1 0 0 0 1 0 0 -0.9871627752948278
2 0 1 0 1 0 0 0 -0.6989700043360187
3 1 0 0 0 0 0 1 -2.0457574905606752
4 1 0 0 0 1 0 0 -1.0132282657337552
5 1 0 0 0 1 0 0 -2.744727494896694
6 1 0 0 0 1 0 0 -2.5228787452803374
7 1 0 0 0 0 0 1 -2.0
8 1 0 0 1 0 0 0 -1.0362121726544447
9 1 0 0 0 0 0 1 -2.1023729087095586
10 0 0 1 0 0 0 1 -3.642065152999546
11 1 0 0 1 0 0 0 -3.3010299956639813
12 1 0 0 0 1 0 0 -0.744727494896694
13 1 0 0 1 0 0 0 -3.1549019599857435
14 1 0 0 0 1 0 0 -3.3979400086720375
15 1 0 0 0 1 0 0 -2.769551078621726
16 1 0 0 0 1 0 0 -3.2218487496163566
17 1 0 0 0 1 0 0 -0.16115090926274464
18 1 0 0 0 1 0 0 -2.769551078621726
19 1 0 0 1 0 0 0 -3.3010299956639813
20 1 0 0 0 1 0 0 -2.721246399047171
21 0 0 1 0 0 0 1 -3.642065152999546
22 0 0 1 0 0 0 1 -3.642065152999546
23 0 0 1 0 0 0 1 -3.642065152999546
24 1 0 0 0 1 0 0 -1.0087739243075051
25 1 0 0 0 1 0 0 -2.337242168318426
26 0 0 1 0 0 0 1 -3.642065152999546
27 0 0 1 0 0 0 1 -3.642065152999546
28 1 0 0 0 0 0 1 -1.8239087409443189
29 1 0 0 0 1 0 0 -1.5686362358410126
30 1 0 0 0 0 1 1 0.07554696139253074
31 1 0 0 0 1 0 0 -2.0
32 1 0 0 0 1 0 0 -2.853871964321762
33 1 0 0 0 1 0 0 -3.3010299956639813
34 1 0 0 0 1 0 0 -2.7695510786217263
35 0 0 1 0 0 1 0 -4.0
36 1 0 0 0 0 0 1 -2.161150909262745
37 1 0 0 0 0 0 1 -2.431798275933005
38 1 0 0 1 0 0 0 -3.0
39 0 0 1 0 0 0 1 -3.642065152999546
40 0 0 1 0 0 0 1 -3.642065152999546
