id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 1 0 0 0 1 0 0 1.4471580313422192 0
2 0 0 1 0 1 0 0 -2.1694113313148558 0
3 1 0 0 0 1 0 0 -1.7958800173440752 0
4 0 0 0 1 0 0 1 -9.116338564846382 0
5 0 0 1 0 1 0 0 -4.841637507904751 0
6 0 0 1 0 1 0 0 -5.661543506395395 0
7 0 0 0 1 0 0 1 -10.323306390375134 0
8 0 0 1 0 1 0 0 -6.068033885271827 0
9 0 0 1 0 1 0 0 -7.698970004336019 0
10 0 0 1 0 1 0 0 -8.0 0
11 0 0 1 0 1 0 0 -6.497572880015567 0
12 0 0 1 0 1 0 0 -6.068033885271827 0
13 0 0 1 0 1 0 0 -4.863279432843593 0
14 0 0 1 0 1 0 0 -5.910094888560602 0
15 0 0 1 0 1 0 0 -2.7417564900754847 0
16 0 0 0 1 0 0 1 -10.323306390375134 0
17 0 0 0 1 0 0 1 -8.866461091629782 0
18 0 0 0 1 0 0 1 -8.247951552180561 0
19 0 0 0 1 0 0 1 -9.045275209020938 0
20 0 0 0 1 0 0 1 -7.064996848546345 0
21 0 0 0 1 1 0 0 -7.251811972993799 0
22 0 1 0 0 0 1 0 -10.323306390375134 1
23 1 0 0 0 0 0 1 -1.6968039425795112 0
