id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
2 1 0 0 0 0 1 0 0 0 -2.4398882402125754 0
3 1 0 0 0 0 1 0 0 0 -1.1806464258583222 0
4 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
5 1 0 0 0 0 1 0 0 0 -2.3044448674097318 0
6 1 0 0 0 0 1 0 0 0 -1.5537152350792025 0
7 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
8 1 0 0 0 0 1 0 0 0 -0.8452852534643684 0
9 1 0 0 0 0 1 0 0 0 -0.8502909654397324 0
10 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
11 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
12 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
13 1 0 0 0 0 1 0 0 0 -3.4559480868872057 0
14 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
15 1 0 0 0 0 1 0 0 0 -2.639712820871053 0
16 1 0 0 0 0 1 0 0 0 -2.9759504876666605 0
17 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
18 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
19 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
20 1 0 0 0 0 1 0 0 0 -2.9341447842582076 0
21 1 0 0 0 0 1 0 0 0 -3.3862236970753092 0
22 1 0 0 0 0 1 0 0 0 -3.4064071546946018 0
23 1 0 0 0 0 1 0 0 0 -3.756389060622321 0
24 1 0 0 0 0 1 0 0 0 -3.6570426765624062 0
25 1 0 0 0 0 1 0 0 0 -2.1397848712220413 0
26 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
27 1 0 0 0 0 1 0 0 0 -4.345823458122039 0
28 1 0 0 0 0 1 0 0 0 -5.080921907623926 0
29 1 0 0 0 0 1 0 0 0 -4.841637507904751 0
30 1 0 0 0 0 1 0 0 0 -4.3655227298392685 0
31 1 0 0 0 0 1 0 0 0 -4.728158393463501 0
32 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
33 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
34 1 0 0 0 0 1 0 0 0 -3.9925808401574248 0
35 1 0 0 0 0 1 0 0 0 -4.872895201635193 0
36 1 0 0 0 0 1 0 0 0 -5.0851281824599495 0
37 1 0 0 0 0 1 0 0 0 -3.6636823857539413 0
38 1 0 0 0 0 1 0 0 0 -1.7461924772815864 1
39 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
40 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
41 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
42 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
43 1 0 0 0 0 1 0 0 0 -3.616890487197704 0
44 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
45 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
46 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
47 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
48 1 0 0 0 0 1 0 0 0 -4.954677021213342 0
49 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
50 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
51 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
52 1 0 0 0 0 1 0 0 0 -5.844663962534938 0
53 1 0 0 0 0 1 0 0 0 -5.411168274405793 0
54 1 0 0 0 0 1 0 0 0 -4.2580609222708015 0
55 1 0 0 0 0 1 0 0 0 -4.195860567664649 0
56 1 0 0 0 0 1 0 0 0 -4.205511953340831 0
57 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
58 1 0 0 0 0 1 0 0 0 -3.4352499250505497 0
59 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
60 1 0 0 0 0 1 0 0 0 -3.760082685412345 0
61 1 0 0 0 0 1 0 0 0 -4.431798275933005 0
62 1 0 0 0 0 1 0 0 0 -4.616184634019569 0
63 1 0 0 0 0 1 0 0 0 -4.872895201635193 0
64 1 0 0 0 0 1 0 0 0 -5.101823516502323 0
65 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
66 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
67 1 0 0 0 0 1 0 0 0 -4.220403508742176 0
68 1 0 0 0 0 0 0 1 0 -7.552841968657781 0
69 1 0 0 0 0 1 0 0 0 -0.03533886748059989 0
70 1 0 0 0 0 1 0 0 0 -5.448550002027125 0
71 0 0 1 0 0 0 0 1 0 -15.022276394711152 0
72 1 0 0 0 0 1 0 0 0 -4.686132779630847 0
73 1 0 0 0 0 1 0 0 0 -6.069560405233299 0
74 1 0 0 0 0 0 0 1 0 -8.580044251510243 0
75 1 0 0 0 0 0 0 1 0 -6.440093374963888 0
76 1 0 0 0 0 1 0 0 0 -5.416801226031377 0
77 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
78 1 0 0 0 0 1 0 0 0 -4.869666231504994 0
79 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
80 1 0 0 0 0 1 0 0 0 -6.2716462179787715 0
81 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
82 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
83 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
84 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
85 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
86 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
87 1 0 0 0 0 1 0 0 0 -6.628932137728263 0
88 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
