id met_invertebrate met_primary_producer mov_sessile mov_other mov_walking mov_swimming log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 1 -0.9072793553159009
2 1 0 0 0 1 0 -1.1904402853647322
3 1 0 0 0 1 0 -1.4921441283041692
4 1 0 0 0 1 0 -0.7672579372792632
5 1 0 0 0 1 0 -1.469800301796918
6 1 0 0 0 1 0 -0.9884295564027218
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 1 0 0 0 -3.6989700043360187
9 0 1 1 0 0 0 -3.642065152999546
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 -3.6989700043360187
13 1 0 1 0 0 0 0.39516907482742103
14 1 0 0 0 1 0 -3.6989700043360187
15 1 0 0 0 0 1 -3.0
16 0 1 1 0 0 0 -3.642065152999546
17 0 1 1 0 0 0 -3.642065152999546
18 0 1 1 0 0 0 -3.642065152999546
19 1 0 0 0 1 0 -3.6989700043360187
