id met_invertebrate met_primary_producer mov_walking mov_other mov_swimming mov_sessile log_mass
0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 0 1 0 -0.7980569365983498
2 1 0 0 0 1 0 -3.0
3 1 0 1 0 0 0 -0.03640103740275858
4 1 0 1 0 0 0 -1.5391021572434522
5 1 0 1 0 0 0 -1.408935392973501
6 1 0 1 0 0 0 -2.0
7 1 0 1 0 0 0 -3.6989700043360187
8 1 0 1 0 0 0 -3.5228787452803374
9 1 0 1 0 0 0 -0.5340226317141772
10 0 1 0 0 0 1 -3.642065152999546
11 0 1 0 0 0 1 -3.642065152999546
12 0 1 0 0 0 1 -3.6989700043360187
13 1 0 0 0 0 1 -3.6989700043360187
14 1 0 1 0 0 0 -3.0
15 1 0 1 0 0 0 -3.6989700043360187
16 0 1 0 0 0 1 -3.642065152999546
17 0 1 0 0 0 1 -3.642065152999546
18 0 1 0 1 0 0 -4.0
19 1 0 0 0 0 1 0.4161077123235618
20 1 0 0 0 1 0 -3.0
21 0 1 0 0 0 1 -3.642065152999546
22 0 1 0 0 0 1 -3.642065152999546
23 0 1 0 0 0 1 -3.642065152999546
24 1 0 0 0 0 1 -1.2975694635544748
25 1 0 1 0 0 0 -3.3979400086720375
26 1 0 0 0 1 0 -3.0
