id met_invertebrate met_primary_producer mov_walking mov_other mov_sessile mov_swimming log_mass
0 1 0 1 0 0 0 -0.5337256782107078
1 1 0 1 0 0 0 -0.832682665251824
2 0 1 0 0 1 0 -3.642065152999546
3 1 0 0 0 0 1 -2.3010299956639813
4 1 0 1 0 0 0 -1.4412914294668342
5 1 0 0 0 0 1 -2.5228787452803374
6 1 0 1 0 0 0 -1.5482135644757098
7 1 0 1 0 0 0 -1.449771646944906
8 1 0 1 0 0 0 -2.0
9 1 0 1 0 0 0 -3.6989700043360187
10 0 1 0 0 1 0 -3.6989700043360187
11 0 1 0 0 1 0 -3.642065152999546
12 1 0 0 0 1 0 -3.5228787452803374
13 0 1 0 0 1 0 -3.642065152999546
14 0 1 0 0 1 0 -3.642065152999546
15 0 1 0 1 0 0 -4.0
16 1 0 0 0 1 0 0.42357351973273555
17 1 0 0 0 0 1 -3.0
18 0 1 0 0 1 0 -3.642065152999546
19 0 1 0 0 1 0 -3.642065152999546
20 1 0 1 0 0 0 -3.6989700043360187
