id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.6420651529995465
1 1 0 0 0 1 0 -1.2254830342714504
2 1 0 0 0 1 0 -3.0
3 1 0 0 0 0 1 -2.769551078621726
4 1 0 0 0 0 1 -1.1073489661226996
5 1 0 0 0 0 1 -0.9718355805755301
6 1 0 0 0 0 1 -2.0
7 1 0 0 0 0 1 -0.33705338566737536
8 0 1 1 0 0 0 -3.6989700043360187
9 0 1 1 0 0 0 -3.6420651529995465
10 0 1 1 0 0 0 -3.6420651529995465
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 -3.6989700043360187
13 1 0 1 0 0 0 0.1474289686986561
14 1 0 0 0 1 0 -3.0
15 0 1 1 0 0 0 -3.6420651529995465
16 0 1 1 0 0 0 -3.6420651529995465
17 1 0 1 0 0 0 -1.0109953843014632
18 1 0 0 0 0 1 -3.6989700043360187
