id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.8443603662402236
2 1 0 0 0 0 1 -1.423658649794207
3 1 0 0 0 0 1 -1.0136762229492347
4 1 0 0 0 0 1 -1.068542129310995
5 1 0 0 0 0 1 -1.5686362358410126
6 1 0 0 0 0 1 -0.5199930570428494
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 0 1 0 0 -4.0
9 1 0 1 0 0 0 0.5235253624481239
10 1 0 0 0 1 0 -3.0
11 0 1 1 0 0 0 -3.642065152999546
12 0 1 1 0 0 0 -3.642065152999546
13 1 0 1 0 0 0 -1.1220530483708118
