id met_invertebrate met_primary_producer mov_walking mov_sessile mov_other mov_swimming log_mass
0 1 0 1 0 0 0 -1.7304870557820837
1 1 0 1 0 0 0 -2.657577319177794
2 1 0 1 0 0 0 -0.6491707264170323
3 1 0 0 1 0 0 -3.6989700043360187
4 0 1 0 1 0 0 -3.642065152999546
5 1 0 1 0 0 0 -3.6989700043360187
6 1 0 1 0 0 0 -0.15682953548010214
7 1 0 0 0 0 1 -0.7567138539165539
8 1 0 1 0 0 0 -2.721246399047171
9 1 0 1 0 0 0 -1.0390538042661686
10 1 0 1 0 0 0 -1.3716110699496884
11 1 0 1 0 0 0 -2.0
12 1 0 1 0 0 0 -0.7328282715969863
13 0 1 0 0 1 0 -4.0
14 1 0 0 1 0 0 0.10479428648627828
15 1 0 0 0 0 1 -3.0
16 0 1 0 1 0 0 -3.642065152999546
17 0 1 0 1 0 0 -3.642065152999546
18 1 0 0 1 0 0 -0.7894139750948435
19 1 0 1 0 0 0 -3.0
