id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
1 1 0 0 0 1 0 0 0 0 -4.730487055782084 0
2 1 0 0 0 1 0 0 0 0 -3.816269052295872 0
3 1 0 0 0 1 0 0 0 0 -4.818156412055227 0
4 1 0 0 0 0 0 0 0 1 -4.10292299679058 0
5 1 0 0 0 1 0 0 0 0 -3.433206732448645 0
6 1 0 0 0 1 0 0 0 0 -4.041914151478915 0
7 1 0 0 0 1 0 0 0 0 -4.982966660701219 0
8 1 0 0 0 1 0 0 0 0 -4.435333935747911 0
9 1 0 0 0 0 0 0 0 1 -3.837220590291142 0
10 1 0 0 0 0 0 0 0 1 -3.0866233101862632 0
11 1 0 0 0 1 0 0 0 0 -4.341988603342887 0
12 1 0 0 0 0 0 0 0 1 -3.6212333778806354 0
13 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
14 1 0 0 0 1 0 0 0 0 -4.653647025549361 0
15 1 0 0 0 1 0 0 0 0 -2.8544378462888598 0
16 1 0 0 0 1 0 0 0 0 -3.5662317656894316 0
17 1 0 0 0 1 0 0 0 0 -3.169143267690186 0
18 1 0 0 0 1 0 0 0 0 -4.603800652904264 0
19 1 0 0 0 1 0 0 0 0 -4.549750891680639 0
20 0 0 1 0 0 0 0 1 0 -9.1546981553018 1
21 1 0 0 0 0 0 0 0 1 -3.5743060458952813 0
22 1 0 0 0 0 0 0 0 1 -3.211596155146058 0
23 1 0 0 0 0 0 0 0 1 -3.7311670485724258 0
24 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
25 1 0 0 0 0 0 0 0 1 -3.797361858118332 0
26 1 0 0 0 1 0 0 0 0 -4.338187314462739 0
27 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
28 1 0 0 0 1 0 0 0 0 -3.007376240826474 0
29 0 0 0 1 0 0 0 0 1 1.3979400086720377 0
30 1 0 0 0 1 0 0 0 0 -4.35261702988538 0
31 0 0 1 0 0 0 0 1 0 -9.018936819149399 1
32 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
33 1 0 0 0 0 0 0 0 1 -4.432973633840939 0
34 1 0 0 0 0 0 0 0 1 -3.747831704310292 0
35 1 0 0 0 1 0 0 0 0 -3.816269052295872 0
36 1 0 0 0 0 0 0 0 1 -3.513502929707424 0
37 1 0 0 0 0 0 0 0 1 -3.7664404343740707 0
38 1 0 0 0 0 0 0 0 1 -3.5437478702195757 0
39 1 0 0 0 1 0 0 0 0 -3.188028412396444 0
40 1 0 0 0 0 0 0 0 1 -3.9056057444414667 0
41 1 0 0 0 0 0 0 0 1 -3.5199930570428495 0
42 1 0 0 0 0 0 0 0 1 -4.098541678603888 0
43 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
44 1 0 0 0 1 0 0 0 0 -3.9605700164750126 0
45 1 0 0 0 1 0 0 0 0 -4.403402904373539 0
46 1 0 0 0 1 0 0 0 0 -4.730487055782084 0
47 1 0 0 0 1 0 0 0 0 -4.730487055782084 0
48 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
49 0 0 1 0 0 0 0 1 0 -10.03905380426617 1
50 0 0 1 0 0 0 0 1 0 -7.96105281653477 1
51 1 0 0 0 1 0 0 0 0 -4.634512015109101 0
52 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
53 1 0 0 0 0 0 0 0 1 -3.6981694692836156 0
54 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
55 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
56 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
57 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
58 1 0 0 0 1 0 0 0 0 -4.35261702988538 0
59 1 0 0 0 1 0 0 0 0 -3.966298867191269 0
60 1 0 0 0 0 0 0 0 1 -3.692437646317966 0
61 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
62 0 0 1 0 0 0 0 1 0 -8.355561410532161 1
63 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
64 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
65 1 0 0 0 1 0 0 0 0 -4.199282921717615 0
66 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
67 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
68 0 0 1 0 0 0 0 1 0 -8.03413362010073 1
69 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
70 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
71 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
72 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
73 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
74 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
