id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_walking mov_sessile mov_flying mov_other log_mass mass_missing
0 1 0 0 0 0 1 0 2.708845638048179 0
1 1 0 0 0 0 1 0 3.0453229787866576 0
2 1 0 0 1 0 0 0 3.6334684555795866 0
3 0 0 1 0 0 0 1 -2.6989700043360187 0
4 1 0 0 0 0 1 0 1.5333907080175513 0
5 1 0 0 0 0 1 0 1.8585118698235583 0
6 1 0 0 0 0 1 0 3.1055101847699738 0
7 0 1 0 0 1 0 0 -2.6989700043360187 1
8 1 0 0 1 0 0 0 4.685884987381299 0
9 0 1 0 0 1 0 0 -2.6989700043360187 1
10 0 1 0 0 1 0 0 -2.6989700043360187 1
11 0 1 0 0 1 0 0 -2.6989700043360187 1
12 0 1 0 0 1 0 0 -2.6989700043360187 1
