id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_floating log_mass
0 0 1 0 0 1 -8.818156412055227
1 1 0 0 1 0 -4.236572006437063
2 1 0 0 1 0 -4.057991946977687
3 1 0 0 1 0 -5.055517327849832
4 1 0 0 1 0 -6.853871964321762
5 1 0 0 1 0 -3.5228787452803374
6 1 0 0 1 0 -4.690369832574101
7 1 0 0 1 0 -4.640164517660112
8 1 0 0 1 0 -5.164309428507575
9 1 0 0 1 0 -5.809668301829708
10 0 0 1 1 0 0.004321373782642578
11 0 0 1 1 0 0.06818586174616162
12 0 0 1 1 0 0.11058971029924881
13 0 1 0 0 1 -10.518557371497694
14 1 0 0 1 0 -6.795880017344075
15 1 0 0 1 0 -7.455931955649724
16 1 0 0 1 0 -5.649751981665837
17 1 0 0 1 0 -6.7447274948966935
18 1 0 0 1 0 -6.8696662315049934
19 1 0 0 1 0 -7.698970004336019
20 1 0 0 1 0 -8.0
21 1 0 0 1 0 -8.0
22 1 0 0 1 0 -6.978810700930062
23 1 0 0 1 0 -6.3325470471100465
24 1 0 0 1 0 -6.022276394711152
25 1 0 0 1 0 -6.42021640338319
26 1 0 0 1 0 -6.6020599913279625
27 0 1 0 0 1 -9.621602099051863
28 0 1 0 0 1 -9.625251653989896
29 0 1 0 0 1 -9.692503962086787
30 0 1 0 0 1 -8.821023052706831
31 0 1 0 0 1 -9.87942606879415
32 0 1 0 0 1 -9.294992040666664
33 0 1 0 0 1 -8.61261017366127
34 0 1 0 0 1 -8.804100347590767
35 0 1 0 0 1 -7.818156412055227
36 0 1 0 0 1 -9.193141970481182
37 0 1 0 0 1 -8.122628654130226
38 0 1 0 0 1 -9.0
39 0 1 0 0 1 -8.85078088734462
40 0 1 0 0 1 -7.790484985457369
41 0 1 0 0 1 -9.098541678603887
42 0 1 0 1 0 -7.391473966422806
43 0 1 0 1 0 -7.189767482004916
44 0 1 0 0 1 -8.801342913045577
45 0 1 0 1 0 -7.448550002027125
46 0 1 0 0 1 -9.5654310959658
47 0 1 0 0 1 -7.037157318798758
48 0 1 0 0 1 -9.756961951313706
49 0 1 0 0 1 -9.460923901207224
