id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -9.621602099051863 0
1 0 0 1 0 1 0 0 -4.236572006437063 0
2 0 0 1 0 1 0 0 -4.166215625343521 0
3 0 0 1 0 1 0 0 -5.809668301829708 0
4 0 0 1 0 1 0 0 -5.0 0
5 0 0 1 0 1 0 0 -5.164309428507575 0
6 1 0 0 0 1 0 0 -1.795880017344075 0
7 0 0 0 1 0 0 1 -10.438898616350944 0
8 0 0 1 0 1 0 0 -5.73754891026957 0
9 0 0 0 1 0 0 1 -10.08460016478773 0
10 0 0 0 1 0 0 1 -10.08460016478773 0
11 0 0 0 1 0 0 1 -10.323306390375134 0
12 0 0 1 0 1 0 0 -8.0 0
13 0 0 1 0 1 0 0 -6.068033885271827 0
14 0 0 1 0 1 0 0 -5.910094888560602 0
15 0 0 1 0 1 0 0 -2.7417564900754847 0
16 0 0 0 1 0 0 1 -10.323306390375134 0
17 0 0 0 1 0 0 1 -8.866461091629782 0
18 0 0 0 1 0 0 1 -8.027334407733889 0
19 1 0 0 0 1 0 0 1.6812412373755872 0
20 1 0 0 0 1 0 0 2.6748611407378116 0
21 0 0 0 1 0 0 1 -9.250263684430939 0
22 0 0 0 1 0 0 1 -8.247951552180561 0
23 0 0 0 1 0 0 1 -10.61798295742513 0
24 0 0 0 1 0 0 1 -7.064996848546345 0
25 0 0 0 1 1 0 0 -7.251811972993799 0
26 0 0 0 1 0 0 1 -9.19586056766465 0
27 0 0 0 1 0 0 1 -8.954677021213342 0
28 0 1 0 0 0 1 0 -11.45717457304082 1
29 1 0 0 0 0 0 1 -1.6968039425795112 0
30 0 0 0 1 1 0 0 -11.45717457304082 0
