id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 1 -2.769551078621726
1 1 0 0 0 1 0 -2.9208187539523753
2 0 1 0 0 0 1 -3.6989700043360187
3 1 0 0 0 1 0 -2.0
4 1 0 0 0 1 0 -2.585026652029182
5 1 0 1 0 0 0 -2.958607314841775
6 1 0 0 0 1 0 -0.481881052856847
7 1 0 0 0 1 0 -3.6989700043360187
8 1 0 1 0 0 0 -3.0
9 1 0 1 0 0 0 -3.6989700043360187
10 1 0 0 0 1 0 -3.6989700043360187
11 1 0 0 0 1 0 -2.1191864077192086
12 1 0 0 0 1 0 -3.5228787452803374
13 1 0 1 0 0 0 -3.0
14 1 0 1 0 0 0 -2.0
15 1 0 0 1 0 0 -2.0
16 1 0 1 0 0 0 -2.721246399047171
17 1 0 0 0 1 0 -2.9208187539523753
18 1 0 0 0 1 0 -2.0
19 0 1 0 0 0 1 -3.6989700043360187
20 0 1 0 0 0 1 -3.6989700043360187
21 0 1 0 1 0 0 -4.0
22 1 0 0 0 1 0 -3.2218487496163566
23 1 0 0 0 0 1 -3.6989700043360187
24 1 0 1 0 0 0 -3.0
25 0 1 0 0 0 1 -3.6989700043360187
