id met_primary_producer met_invertebrate met_detritus met_other met_ectotherm_vertebrate met_endotherm_vertebrate mov_sessile mov_swimming mov_other_nonliving mov_walking log_mass mass_missing
0 0 1 0 0 0 0 0 0 0 1 -0.8239087409443188 0
1 0 1 0 0 0 0 0 1 0 0 -0.6197887582883941 0
2 0 1 0 0 0 0 0 0 0 1 0.6232492903979004 0
3 0 1 0 0 0 0 0 1 0 0 0.568201724066995 0
4 0 1 0 0 0 0 0 1 0 0 0.11394335230683694 0
5 0 1 0 0 0 0 0 1 0 0 -0.13667713987954405 0
6 0 1 0 0 0 0 0 0 0 1 0.6232492903979006 0
7 0 1 0 0 0 0 0 0 0 1 0.8512583487190752 0
8 0 1 0 0 0 0 0 1 0 0 1.6989700043360187 0
9 0 1 0 0 0 0 0 0 0 1 0.7634279935629371 0
10 0 1 0 0 0 0 0 0 0 1 0.7853298350107671 0
11 0 1 0 0 0 0 0 0 0 1 0.7634279935629371 0
12 0 1 0 0 0 0 0 0 0 1 -0.09151498112134998 0
13 0 1 0 0 0 0 0 1 0 0 -0.3279021420642827 0
14 0 1 0 0 0 0 0 1 0 0 -0.431798275933005 0
15 0 1 0 0 0 0 0 1 0 0 0.11394335230683694 0
16 0 0 0 0 1 0 0 1 0 0 1.6901960800285136 0
17 0 0 0 0 1 0 0 1 0 0 1.2304489213782739 0
18 0 0 0 0 1 0 0 1 0 0 1.5185139398778875 0
19 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
20 0 1 0 0 0 0 0 1 0 0 -0.6777807052660807 0
21 0 0 0 0 1 0 0 1 0 0 2.8808135922807914 0
22 0 0 0 0 1 0 0 1 0 0 4.380211241711606 0
23 0 0 0 0 1 0 0 1 0 0 1.1139433523068367 0
24 0 1 0 0 0 0 0 0 0 1 2.3010299956639813 0
25 0 1 0 0 0 0 0 0 0 1 1.7558748556724915 0
26 0 1 0 0 0 0 0 1 0 0 1.2787536009528289 0
27 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
28 0 0 0 0 1 0 0 1 0 0 2.4149733479708178 0
29 0 1 0 0 0 0 0 0 0 1 1.9344984512435677 0
30 0 1 0 0 0 0 0 0 0 1 2.041392685158225 0
31 0 1 0 0 0 0 0 1 0 0 -0.22914798835785583 0
32 0 0 0 0 1 0 0 1 0 0 2.8512583487190755 0
33 0 1 0 0 0 0 0 0 0 1 -0.24412514432750865 0
34 0 1 0 0 0 0 0 1 0 0 -0.09151498112135009 0
35 0 1 0 0 0 0 0 1 0 0 0.8061799739838871 0
36 0 1 0 0 0 0 0 0 0 1 0.27875360095282886 0
37 0 1 0 0 0 0 0 0 0 1 0.8750612633917001 0
38 0 1 0 0 0 0 0 0 0 1 -0.3767507096020995 0
39 0 1 0 0 0 0 0 0 0 1 -0.5528419686577806 0
40 0 0 0 0 1 0 0 1 0 0 0.5440680443502757 0
41 0 1 0 0 0 0 0 1 0 0 0.8061799739838871 0
42 0 0 0 0 1 0 0 1 0 0 2.278753600952829 0
43 0 0 0 0 1 0 0 1 0 0 1.9030899869919435 0
44 0 0 0 0 1 0 0 1 0 0 2.361727836017593 0
45 0 0 0 0 1 0 0 1 0 0 2.6434526764861874 0
46 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
47 0 1 0 0 0 0 0 1 0 0 -0.744727494896694 0
48 0 1 0 0 0 0 0 0 0 1 -1.0 0
49 0 1 0 0 0 0 0 0 0 1 -1.0 0
50 0 0 0 0 1 0 0 1 0 0 2.8195439355418688 0
51 0 0 0 0 1 0 0 1 0 0 2.4771212547196626 0
52 0 0 0 0 1 0 0 1 0 0 1.9777236052888478 0
53 0 1 0 0 0 0 0 1 0 0 0.11394335230683686 0
54 0 1 0 0 0 0 0 1 0 0 -0.22914798835785583 0
55 0 1 0 0 0 0 0 1 0 0 -0.3279021420642827 0
56 0 1 0 0 0 0 0 1 0 0 0.278753600952829 0
57 0 1 0 0 0 0 0 0 0 1 -0.8239087409443188 0
58 0 1 0 0 0 0 0 0 0 1 0.7323937598229685 0
59 0 1 0 0 0 0 0 0 0 1 3.7634279935629373 0
60 0 1 0 0 0 0 0 0 0 1 1.6989700043360187 0
61 0 1 0 0 0 0 0 0 0 1 3.7634279935629373 0
62 0 1 0 0 0 0 0 0 0 1 3.7634279935629373 0
63 0 1 0 0 0 0 0 0 0 1 0.5185139398778874 0
64 0 1 0 0 0 0 0 0 0 1 0.5910646070264991 0
65 1 0 0 0 0 0 1 0 0 0 -10.391473966422806 0
66 0 1 0 0 0 0 0 0 0 1 -3.3565473235138126 0
67 0 1 0 0 0 0 0 0 0 1 -3.3565473235138126 0
68 0 1 0 0 0 0 0 0 0 1 -0.09151498112135004 0
69 0 1 0 0 0 0 0 1 0 0 1.1139433523068367 0
70 0 1 0 0 0 0 1 0 0 0 0.11394335230683678 0
71 0 1 0 0 0 0 0 0 0 1 1.6989700043360187 0
72 0 1 0 0 0 0 0 0 0 1 0.8976270912904414 0
73 0 1 0 0 0 0 0 0 0 1 -3.3565473235138126 0
74 0 1 0 0 0 0 0 1 0 0 -2.2596373105057563 0
75 0 1 0 0 0 0 0 1 0 0 -2.2441251443275085 0
76 0 1 0 0 0 0 0 0 0 1 -1.275724130399211 0
77 0 1 0 0 0 0 1 0 0 0 -8.920818753952375 0
78 0 1 0 0 0 0 1 0 0 0 -8.920818753952375 0
79 0 1 0 0 0 0 1 0 0 0 -1.0705810742857071 0
80 0 1 0 0 0 0 0 1 0 0 -3.3565473235138126 0
81 0 1 0 0 0 0 0 1 0 0 -0.494850021680094 0
82 0 1 0 0 0 0 0 0 0 1 -1.5086383061657271 0
83 0 1 0 0 0 0 1 0 0 0 -1.744727494896694 0
84 0 1 0 0 0 0 0 1 0 0 0.278753600952829 0
85 0 1 0 0 0 0 0 1 0 0 0.568201724066995 0
86 0 1 0 0 0 0 0 1 0 0 -1.0757207139381184 0
87 0 1 0 0 0 0 0 1 0 0 0.6720978579357175 0
88 0 1 0 0 0 0 0 0 0 1 -1.275724130399211 0
89 0 1 0 0 0 0 0 1 0 0 0.07918124604762482 0
90 0 1 0 0 0 0 0 1 0 0 -0.7695510786217261 0
91 0 1 0 0 0 0 0 1 0 0 0.7403626894942439 0
92 0 1 0 0 0 0 1 0 0 0 3.7634279935629373 0
93 0 1 0 0 0 0 1 0 0 0 -8.920818753952375 0
94 0 1 0 0 0 0 0 0 0 1 -1.5086383061657271 0
95 0 1 0 0 0 0 0 1 0 0 -1.5086383061657271 0
96 0 1 0 0 0 0 0 1 0 0 -2.2441251443275085 0
97 0 1 0 0 0 0 0 1 0 0 -2.1307682802690238 0
98 0 1 0 0 0 0 1 0 0 0 -1.744727494896694 0
99 0 1 0 0 0 0 1 0 0 0 -1.3665315444204136 0
100 0 1 0 0 0 0 1 0 0 0 -8.920818753952375 0
101 0 1 0 0 0 0 0 0 0 1 -3.3565473235138126 0
102 0 1 0 0 0 0 0 1 0 0 -2.638272163982407 0
103 0 1 0 0 0 0 1 0 0 0 0.4471580313422192 0
104 0 1 0 0 0 0 0 1 0 0 0.07918124604762472 0
105 0 1 0 0 0 0 1 0 0 0 -8.920818753952375 0
106 0 1 0 0 0 0 0 0 0 1 -1.0000000000000002 0
107 0 1 0 0 0 0 0 0 0 1 -1.0000000000000002 0
108 0 1 0 0 0 0 0 0 0 1 -1.1739251972991736 0
109 0 1 0 0 0 0 0 0 0 1 -1.3872161432802645 0
110 0 1 0 0 0 0 0 0 0 1 -1.5086383061657271 0
111 0 1 0 0 0 0 1 0 0 0 0.11394335230683678 0
112 0 1 0 0 0 0 0 1 0 0 -2.0915149811213505 0
113 0 1 0 0 0 0 0 0 0 1 -1.3665315444204136 0
114 1 0 0 0 0 0 0 1 0 0 -12.481486060122112 0
115 0 1 0 0 0 0 0 0 0 1 -2.721246399047171 0
116 0 1 0 0 0 0 0 0 0 1 -1.0 0
117 0 1 0 0 0 0 0 0 0 1 -1.136677139879544 0
118 0 1 0 0 0 0 0 0 0 1 -0.494850021680094 0
119 0 1 0 0 0 0 0 1 0 0 -1.6989700043360187 0
120 0 1 0 0 0 0 0 0 0 1 -2.7212463990471707 0
121 0 1 0 0 0 0 0 1 0 0 -2.1307682802690238 0
122 0 1 0 0 0 0 0 1 0 0 -0.8538719643217618 0
123 0 1 0 0 0 0 1 0 0 0 -2.657577319177794 0
124 0 1 0 0 0 0 0 0 0 1 0.9294189257142927 0
125 0 1 0 0 0 0 0 0 0 1 0.4623979978989561 0
126 0 1 0 0 0 0 0 1 0 0 -0.8239087409443188 0
127 0 1 0 0 0 0 0 0 0 1 -2.408935392973501 0
128 0 1 0 0 0 0 0 0 0 1 -1.275724130399211 0
129 1 0 0 0 0 0 1 0 0 0 -10.785156151952302 0
130 1 0 0 0 0 0 1 0 0 0 -11.396855627379818 0
131 0 1 0 0 0 0 0 0 0 1 -0.22914798835785583 0
132 0 1 0 0 0 0 0 1 0 0 1.462397997898956 0
133 0 0 0 0 1 0 0 1 0 0 2.278753600952829 0
134 0 0 0 0 1 0 0 1 0 0 2.380211241711606 0
135 0 0 0 0 1 0 0 1 0 0 2.681241237375587 0
136 0 0 0 0 1 0 0 1 0 0 2.4771212547196626 0
137 0 0 0 0 1 0 0 1 0 0 2.1760912590556813 0
138 0 1 0 0 0 0 0 0 0 1 -1.7447274948966938 0
139 0 1 0 0 0 0 0 0 0 1 -0.7695510786217261 0
140 0 1 0 0 0 0 0 0 0 1 -0.0506099933550872 0
141 0 1 0 0 0 0 0 0 0 1 0.568201724066995 0
142 0 1 0 0 0 0 0 0 0 1 0.4471580313422191 0
143 0 0 0 0 1 0 0 1 0 0 1.5563025007672873 0
144 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
145 0 0 0 0 1 0 0 1 0 0 3.3010299956639813 0
146 0 1 0 0 0 0 0 0 0 1 -0.698970004336019 0
147 0 1 0 0 0 0 0 0 0 1 -3.4685210829577446 0
148 0 0 0 0 1 0 0 1 0 0 2.3979400086720375 0
149 0 0 0 0 0 1 0 1 0 0 4.041392685158225 0
150 0 0 0 0 0 1 0 1 0 0 5.505149978319906 0
151 0 0 0 0 1 0 0 1 0 0 2.5185139398778875 0
152 0 0 0 0 0 1 0 1 0 0 6.146128035678238 0
153 0 0 0 0 0 1 0 1 0 0 5.886490725172482 0
154 0 0 0 0 1 0 0 1 0 0 3.57978359661681 0
155 0 0 0 0 1 0 0 1 0 0 3.7075701760979363 0
156 0 0 0 0 0 1 0 1 0 0 6.698970004336019 0
157 0 0 0 0 0 1 0 1 0 0 5.568201724066995 0
158 0 0 0 0 1 0 0 1 0 0 2.785329835010767 0
159 0 1 0 0 0 0 0 1 0 0 0.5185139398778875 0
160 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
161 0 1 0 0 0 0 1 0 0 0 -0.8860566476931633 0
162 0 1 0 0 0 0 0 0 0 1 0.5314789170422551 0
163 0 1 0 0 0 0 0 1 0 0 0.2787536009528289 0
164 0 1 0 0 0 0 0 1 0 0 1.0 0
165 0 1 0 0 0 0 0 0 0 1 -0.537602002101044 0
166 0 1 0 0 0 0 0 0 0 1 -0.09151498112135004 0
167 0 0 0 0 1 0 0 1 0 0 1.9777236052888478 0
168 0 1 0 0 0 0 0 0 0 1 0.20411998265592485 0
169 0 1 0 0 0 0 0 1 0 0 0.17609125905568124 0
170 0 1 0 0 0 0 0 1 0 0 -1.9208187539523753 0
171 0 1 0 0 0 0 0 1 0 0 0.7481880270062004 0
172 0 1 0 0 0 0 0 1 0 0 -3.3565473235138126 0
173 0 1 0 0 0 0 0 1 0 0 -0.8239087409443189 0
174 0 1 0 0 0 0 0 1 0 0 -0.8239087409443189 0
175 0 0 0 0 1 0 0 1 0 0 1.591064607026499 0
176 0 1 0 0 0 0 0 0 0 1 -1.7958800173440752 0
177 0 0 0 0 1 0 0 1 0 0 3.146128035678238 0
178 0 0 0 0 1 0 0 1 0 0 1.3979400086720377 0
179 0 0 0 0 1 0 0 1 0 0 2.041392685158225 0
180 0 0 0 0 1 0 0 1 0 0 1.5563025007672873 0
181 0 1 0 0 0 0 0 1 0 0 -0.7212463990471708 0
182 0 1 0 0 0 0 0 0 0 1 0.5910646070264993 0
183 0 1 0 0 0 0 0 1 0 0 -0.6197887582883941 0
184 0 1 0 0 0 0 1 0 0 0 0.17609125905568124 0
185 0 0 0 0 1 0 0 1 0 0 1.806179973983887 0
186 0 0 0 0 1 0 0 1 0 0 0.7481880270062006 0
187 0 0 0 0 1 0 0 1 0 0 2.6334684555795866 0
188 0 1 0 0 0 0 0 1 0 0 -0.8239087409443189 0
189 0 1 0 0 0 0 0 1 0 0 -0.9208187539523752 0
190 0 1 0 0 0 0 1 0 0 0 -1.537602002101044 0
191 0 1 0 0 0 0 0 1 0 0 -3.9586073148417746 0
192 0 1 0 0 0 0 0 1 0 0 -3.9586073148417746 0
193 0 1 0 0 0 0 1 0 0 0 -0.8860566476931633 0
194 0 1 0 0 0 0 0 0 0 1 0.11394335230683669 0
195 0 1 0 0 0 0 0 1 0 0 1.462397997898956 0
196 0 0 0 0 0 1 0 1 0 0 6.278753600952829 0
197 0 0 0 0 0 1 0 1 0 0 6.9344984512435675 0
198 0 0 0 0 0 1 0 1 0 0 5.380211241711606 0
199 0 0 0 0 0 1 0 1 0 0 5.8750612633917 0
200 0 0 0 0 0 1 0 1 0 0 3.6127838567197355 0
201 0 1 0 0 0 0 0 1 0 0 5.041392685158225 0
202 0 1 0 0 0 0 0 1 0 0 2.929418925714293 0
203 0 0 0 0 0 1 0 1 0 0 6.6020599913279625 0
204 0 0 0 0 0 1 0 1 0 0 2.230448921378274 0
205 0 0 0 0 0 1 0 1 0 0 7.3979400086720375 0
206 0 0 0 0 0 1 0 1 0 0 6.361727836017593 0
207 0 1 0 0 0 0 0 0 0 1 -0.24412514432750865 0
208 0 1 0 0 0 0 0 0 0 1 -2.0 0
209 0 1 0 0 0 0 0 1 0 0 -11.397940008672037 0
210 1 0 0 0 0 0 1 0 0 0 -12.642065152999546 0
211 0 1 0 0 0 0 0 1 0 0 -9.920818753952375 0
212 0 1 0 0 0 0 1 0 0 0 2.8573324964312685 0
213 0 1 0 0 0 0 0 0 0 1 0.43136376415898714 0
214 0 1 0 0 0 0 0 0 0 1 1.2041199826559248 0
215 0 1 0 0 0 0 0 0 0 1 1.2041199826559248 0
216 0 1 0 0 0 0 0 0 0 1 1.1760912590556813 0
217 0 1 0 0 0 0 0 0 0 1 0.49136169383427275 0
218 0 1 0 0 0 0 0 0 0 1 0.278753600952829 0
219 0 1 0 0 0 0 0 0 0 1 0.568201724066995 0
220 0 1 0 0 0 0 0 0 0 1 0.5440680443502757 0
221 0 1 0 0 0 0 0 0 0 1 -0.537602002101044 0
222 0 1 0 0 0 0 0 0 0 1 -1.0757207139381184 0
223 0 1 0 0 0 0 0 0 0 1 0.20411998265592474 0
224 0 1 0 0 0 0 0 0 0 1 0.9912260756924949 0
225 0 1 0 0 0 0 0 0 0 1 -2.958607314841775 0
226 0 1 0 0 0 0 0 0 0 1 -0.45593195564972416 0
227 0 0 0 0 0 1 0 1 0 0 6.7160033436347994 0
228 0 0 0 0 1 0 0 1 0 0 2.322219294733919 0
229 0 0 0 0 1 0 0 1 0 0 3.342422680822206 0
230 0 1 0 0 0 0 0 0 0 1 1.9912260756924949 0
231 0 1 0 0 0 0 1 0 0 0 0.7481880270062005 0
232 0 1 0 0 0 0 0 0 0 1 0.11394335230683662 0
233 0 1 0 0 0 0 1 0 0 0 -0.8860566476931633 0
234 0 1 0 0 0 0 1 0 0 0 -0.16115090926274472 0
235 0 1 0 0 0 0 0 0 0 1 0.5910646070264991 0
236 0 1 0 0 0 0 0 0 0 1 -0.9586073148417749 0
237 0 1 0 0 0 0 0 0 0 1 -0.13667713987954425 0
238 0 1 0 0 0 0 0 0 0 1 0.5314789170422551 0
239 0 1 0 0 0 0 1 0 0 0 -0.8239087409443187 0
240 0 1 0 0 0 0 0 0 0 1 -3.1804560644581312 0
241 0 1 0 0 0 0 1 0 0 0 0.8129133566428556 0
242 1 0 0 0 0 0 1 0 0 0 -10.943095148663527 0
243 1 0 0 0 0 0 1 0 0 0 -11.396855627379818 0
244 0 1 0 0 0 0 0 0 0 1 -0.16115090926274472 0
245 0 1 0 0 0 0 0 0 0 1 -3.318758762624413 0
246 0 1 0 0 0 0 0 0 0 1 -0.12493873660829993 0
247 0 1 0 0 0 0 1 0 0 0 0.0791812460476249 0
248 0 0 0 0 1 0 0 1 0 0 1.4313637641589874 0
249 0 0 0 0 0 1 0 1 0 0 2.5185139398778875 0
250 0 0 0 0 1 0 0 1 0 0 3.041392685158225 0
251 0 0 0 0 1 0 0 1 0 0 2.568201724066995 0
252 0 0 0 0 0 1 0 1 0 0 3.7403626894942437 0
253 0 0 0 0 0 1 0 1 0 0 4.146128035678238 0
254 0 1 0 0 0 0 0 1 0 0 2.929418925714293 0
255 0 0 0 0 0 1 0 1 0 0 2.361727836017593 0
256 0 0 0 0 0 1 0 1 0 0 3.6720978579357175 0
