id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
2 1 0 0 0 0 1 0 0 0 -3.2601469183630347 0
3 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
4 1 0 0 0 0 1 0 0 0 -4.1911141326401875 0
5 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
6 1 0 0 0 0 1 0 0 0 -2.241076380296132 0
7 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
8 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
9 1 0 0 0 0 1 0 0 0 -1.7015494107650018 0
10 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
11 1 0 0 0 0 1 0 0 0 -4.991399828238082 0
12 1 0 0 0 0 1 0 0 0 -3.9130460907660094 0
13 1 0 0 0 0 1 0 0 0 -3.1610313373891867 0
14 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
15 1 0 0 0 0 1 0 0 0 -3.1442785841060914 0
16 1 0 0 0 0 1 0 0 0 -3.205602586043845 0
17 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
18 1 0 0 0 0 1 0 0 0 -4.086716098239582 0
19 1 0 0 0 0 1 0 0 0 -4.6777807052660805 0
20 1 0 0 0 0 1 0 0 0 -4.283162276700476 0
21 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
22 1 0 0 0 0 1 0 0 0 -3.6848822956176086 0
23 1 0 0 0 0 1 0 0 0 -3.4306495031174813 0
24 1 0 0 0 0 1 0 0 0 -4.621602099051862 0
25 1 0 0 0 0 1 0 0 0 -4.394694953858891 0
26 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
27 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
28 1 0 0 0 0 1 0 0 0 -1.495873746515867 0
29 1 0 0 0 0 1 0 0 0 -2.9856823754029516 0
30 1 0 0 0 0 1 0 0 0 -2.3305910624808894 0
31 1 0 0 0 0 1 0 0 0 -2.7408580893623347 0
32 1 0 0 0 0 1 0 0 0 -2.878591512309745 0
33 1 0 0 0 0 1 0 0 0 -2.7144595680487216 0
34 1 0 0 0 0 1 0 0 0 -2.3978925645914755 0
35 1 0 0 0 0 1 0 0 0 -2.7074039382755846 0
36 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
37 1 0 0 0 0 1 0 0 0 -2.9844470349145027 0
38 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
39 1 0 0 0 0 1 0 0 0 -2.5540497443362233 0
40 1 0 0 0 0 1 0 0 0 -2.689459620216993 0
41 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
42 1 0 0 0 0 1 0 0 0 -2.69948168740102 0
43 1 0 0 0 0 1 0 0 0 -2.839792664340997 0
44 1 0 0 0 0 1 0 0 0 -2.8090050384799254 0
45 1 0 0 0 0 1 0 0 0 -3.29160119760267 0
46 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
47 1 0 0 0 0 1 0 0 0 -4.361510743045363 0
48 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
49 1 0 0 0 0 1 0 0 0 -5.189767482004916 0
50 1 0 0 0 0 1 0 0 0 -4.701146923590294 0
51 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
52 1 0 0 0 0 1 0 0 0 -5.243363891754152 0
53 1 0 0 0 0 1 0 0 0 -3.7349768797611174 0
54 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
55 1 0 0 0 0 1 0 0 0 -4.5718652059712115 0
56 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
57 1 0 0 0 0 1 0 0 0 -3.8999294284560735 0
58 1 0 0 0 0 1 0 0 0 -3.5471835293631724 0
59 1 0 0 0 0 1 0 0 0 -2.7050423190439146 1
60 1 0 0 0 0 1 0 0 0 -4.354577730650908 0
61 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
62 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
63 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
64 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
65 1 0 0 0 0 1 0 0 0 -4.3851027839668655 0
66 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
67 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
68 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
69 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
70 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
71 1 0 0 0 0 1 0 0 0 -3.760082685412345 0
72 1 0 0 0 0 1 0 0 0 -3.6085444046223287 0
73 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
74 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
75 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
76 1 0 0 0 0 1 0 0 0 -4.2580609222708015 0
77 1 0 0 0 0 1 0 0 0 -4.195860567664649 0
78 1 0 0 0 0 1 0 0 0 -2.858379991445851 0
79 1 0 0 0 0 1 0 0 0 -5.175223537524454 0
80 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
81 1 0 0 0 0 1 0 0 0 -4.000434511774018 0
82 1 0 0 0 0 1 0 0 0 -3.907058405452982 0
83 1 0 0 0 0 1 0 0 0 -4.167491087293763 0
84 1 0 0 0 0 1 0 0 0 -3.9544540623693325 0
85 1 0 0 0 0 1 0 0 0 -4.777283528852417 0
86 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
87 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
