id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 1 0 -9.621602099051863 0
1 1 0 0 0 1 0 0 0 -3.5276765987245544 0
2 1 0 0 0 1 0 0 0 -3.3228869273942157 0
3 1 0 0 0 1 0 0 0 -2.9952797744942545 0
4 1 0 0 0 1 0 0 0 -3.701424174879398 0
5 1 0 0 0 1 0 0 0 -2.885119916630648 0
6 1 0 0 0 1 0 0 0 -3.704459288352024 0
7 1 0 0 0 1 0 0 0 -4.3655227298392685 0
8 1 0 0 0 1 0 0 0 -3.4725492664460775 0
9 1 0 0 0 1 0 0 0 -3.526413773968389 0
10 1 0 0 0 1 0 0 0 -3.3543468888370236 0
11 1 0 0 0 1 0 0 0 -3.1116531130472023 0
12 1 0 0 0 1 0 0 0 -2.9643813747911643 0
13 1 0 0 0 1 0 0 0 -3.3141373921260673 0
14 1 0 0 0 1 0 0 0 -3.3620152168790747 0
15 0 0 1 0 0 0 1 0 -9.619788758288394 0
16 0 0 1 0 0 0 1 0 -9.628932137728263 0
17 0 0 0 1 0 0 0 1 0.7663065221553806 0
18 1 0 0 0 1 0 0 0 -3.1628018446210024 0
19 1 0 0 0 1 0 0 0 -3.019700226964611 0
20 1 0 0 0 1 0 0 0 -3.1890420231786716 0
21 1 0 0 0 1 0 0 0 -3.1044967909756784 0
22 0 1 0 0 0 1 0 0 -9.991399828238082 1
23 1 0 0 0 1 0 0 0 -3.6965965678677266 0
24 1 0 0 0 1 0 0 0 -4.131943638176958 0
25 1 0 0 0 1 0 0 0 -3.284857746604389 0
26 1 0 0 0 1 0 0 0 -2.624417218049822 0
27 0 0 1 0 0 0 1 0 -9.193820026016112 0
28 0 0 1 0 0 0 1 0 -8.863279432843592 0
29 0 0 1 0 0 0 1 0 -9.132532512140948 0
30 0 0 1 0 0 0 1 0 -9.991399828238082 0
31 0 1 0 0 0 1 0 0 -9.991399828238082 1
32 0 0 1 0 0 0 1 0 -9.057991946977687 0
33 0 0 1 0 0 0 1 0 -9.09799710864927 0
34 0 0 1 0 0 0 1 0 -8.237321436272564 0
35 0 0 1 0 0 0 1 0 -8.271646217978772 0
36 0 0 1 0 0 0 1 0 -8.876148359032914 0
