id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -0.8181564120552274
1 1 0 0 0 0 0 1 0.6637009253896482
2 1 0 0 0 0 0 1 -0.2676062401770315
3 1 0 0 0 1 0 0 -0.7958800173440752
4 0 1 0 1 0 0 0 0.4899584794248347
5 0 1 0 1 0 0 0 -0.5331323796458906
6 0 1 0 1 0 0 0 -0.7544873321858501
7 0 1 0 1 0 0 0 0.11892575282577673
8 0 1 0 1 0 0 0 -0.3448615651886179
9 1 0 0 0 0 0 1 -0.619788758288394
10 1 0 0 0 1 0 0 -0.6073030467403343
11 1 0 0 0 0 0 1 1.4151403521958728
12 1 0 0 1 0 0 0 -3.0969100130080562
13 0 1 0 1 0 0 0 -2.0
14 0 1 0 1 0 0 0 -0.9999999999999999
15 1 0 0 1 0 0 0 -0.8068754016455385
16 1 0 0 0 1 0 0 0.0
17 0 0 1 0 0 0 1 -3.642065152999546
18 1 0 0 0 1 0 0 0.0863598306747483
19 1 0 0 0 1 0 0 -2.494850021680094
20 1 0 0 1 0 0 0 -3.3979400086720375
21 1 0 0 0 1 0 0 -0.3829996588791011
22 1 0 0 1 0 0 0 -3.154901959985743
23 1 0 0 0 1 0 0 -0.7721132953863264
24 1 0 0 0 1 0 0 -2.0
25 1 0 0 0 1 0 0 0.15836249209524964
26 1 0 0 0 1 0 0 -3.3979400086720375
27 1 0 0 0 1 0 0 -0.5376020021010439
28 1 0 0 1 0 0 0 0.05307844348341959
29 1 0 0 0 1 0 0 -3.5228787452803374
30 1 0 0 0 1 0 0 0.6324572921847242
31 1 0 0 0 1 1 0 -0.14752000636314372
32 1 0 0 0 1 0 0 -0.9586073148417749
33 1 0 0 0 1 0 0 -1.958607314841775
34 1 0 0 0 1 0 0 -0.8507808873446201
35 1 0 0 1 0 0 0 -3.301029995663981
36 1 0 0 0 1 0 0 -3.6989700043360187
37 0 0 1 0 0 0 1 -3.642065152999546
38 1 0 0 0 0 0 1 -2.0915149811213505
39 1 0 0 0 0 0 1 -2.0
40 1 0 0 0 1 0 0 -1.958607314841775
41 1 0 0 0 1 0 0 -0.8239087409443189
42 0 0 1 0 0 0 1 -3.642065152999546
43 0 0 1 0 0 0 1 -3.642065152999546
44 1 0 0 1 0 0 0 -3.0
45 1 0 0 0 1 0 0 -0.1904402853647322
46 0 0 1 0 0 0 1 -3.642065152999546
47 0 0 1 0 0 0 1 -3.642065152999546
48 0 0 1 0 0 0 1 -3.642065152999546
49 0 0 1 0 0 0 1 -3.642065152999546
50 1 0 0 0 0 0 1 -1.910094888560602
51 1 0 0 0 0 1 1 -0.0004345117740176917
52 1 0 0 0 1 0 0 1.6720978579357175
53 1 0 0 0 1 0 0 -2.0
54 1 0 0 0 1 0 0 -3.0457574905606752
55 1 0 0 0 0 0 1 -1.4621809049267258
56 1 0 0 0 1 0 0 -2.0
57 0 0 1 0 0 1 0 -4.0
58 1 0 0 0 1 0 0 -2.0
59 1 0 0 1 0 0 0 -3.0
60 1 0 0 0 1 0 0 -2.0969100130080562
61 0 0 1 0 0 0 1 -3.642065152999546
62 0 0 1 0 0 0 1 -3.642065152999546
